game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ANA201604050,2016-04-05,ANA,CHN,0,0
ANA201604070,2016-04-07,ANA,TEX,0,1
ANA201604220,2016-04-22,ANA,SEA,0,2
ANA201604250,2016-04-25,ANA,KCA,3,0
ANA201605060,2016-05-06,ANA,TBA,0,4
ANA201605100,2016-05-10,ANA,SLN,0,1
ANA201605180,2016-05-18,ANA,LAN,1,0
ANA201605200,2016-05-20,ANA,BAL,0,2
ANA201605270,2016-05-27,ANA,HOU,0,0
ANA201605300,2016-05-30,ANA,DET,0,0
ANA201606100,2016-06-10,ANA,CLE,1,4
ANA201606130,2016-06-13,ANA,MIN,0,1
ANA201606230,2016-06-23,ANA,OAK,0,0
ANA201606270,2016-06-27,ANA,HOU,0,0
ANA201607150,2016-07-15,ANA,CHA,0,0
ANA201607180,2016-07-18,ANA,TEX,0,3
ANA201607280,2016-07-28,ANA,BOS,0,0
ANA201608020,2016-08-02,ANA,OAK,0,0
ANA201608150,2016-08-15,ANA,SEA,0,0
ANA201608190,2016-08-19,ANA,NYA,0,1
ANA201608290,2016-08-29,ANA,CIN,3,2
ANA201609090,2016-09-09,ANA,TEX,0,0
ANA201609120,2016-09-12,ANA,SEA,0,0
ANA201609150,2016-09-15,ANA,TOR,0,0
ANA201609260,2016-09-26,ANA,OAK,0,0
ANA201609300,2016-09-30,ANA,HOU,0,0
ARI201604050,2016-04-05,ARI,COL,1,0
ARI201604070,2016-04-07,ARI,CHN,3,0
ARI201604220,2016-04-22,ARI,PIT,0,0
ARI201604250,2016-04-25,ARI,SLN,0,2
ARI201604290,2016-04-29,ARI,COL,0,0
ARI201605120,2016-05-12,ARI,SFN,1,0
ARI201605160,2016-05-16,ARI,NYA,1,0
ARI201605270,2016-05-27,ARI,SDN,0,1
ARI201605300,2016-05-30,ARI,HOU,1,0
ARI201606060,2016-06-06,ARI,TBA,0,0
ARI201606100,2016-06-10,ARI,MIA,0,1
ARI201606130,2016-06-13,ARI,LAN,1,1
ARI201606270,2016-06-27,ARI,PHI,0,0
ARI201607010,2016-07-01,ARI,SFN,3,0
ARI201607040,2016-07-04,ARI,SDN,2,0
ARI201607150,2016-07-15,ARI,LAN,0,1
ARI201607190,2016-07-19,ARI,TOR,1,0
ARI201608010,2016-08-01,ARI,WAS,1,4
ARI201608050,2016-08-05,ARI,MIL,0,0
ARI201608150,2016-08-15,ARI,NYN,3,0
ARI201608220,2016-08-22,ARI,ATL,0,3
ARI201608260,2016-08-26,ARI,CIN,0,0
ARI201609090,2016-09-09,ARI,SFN,0,0
ARI201609120,2016-09-12,ARI,COL,0,0
ARI201609150,2016-09-15,ARI,LAN,0,0
ARI201609300,2016-09-30,ARI,SDN,1,0
ATL201604060,2016-04-06,ATL,WAS,0,0
ATL201604080,2016-04-08,ATL,SLN,0,0
ATL201604190,2016-04-19,ATL,LAN,2,0
ATL201604220,2016-04-22,ATL,NYN,0,0
ATL201604250,2016-04-25,ATL,BOS,0,0
ATL201605060,2016-05-06,ATL,ARI,0,0
ATL201605100,2016-05-10,ATL,PHI,0,0
ATL201605240,2016-05-24,ATL,MIL,0,0
ATL201605270,2016-05-27,ATL,MIA,0,0
ATL201605300,2016-05-30,ATL,SFN,0,0
ATL201606100,2016-06-10,ATL,CHN,0,0
ATL201606130,2016-06-13,ATL,CIN,2,3
ATL201606230,2016-06-23,ATL,NYN,0,0
ATL201606270,2016-06-27,ATL,CLE,0,1
ATL201606300,2016-06-30,ATL,MIA,0,0
ATL201607150,2016-07-15,ATL,COL,0,1
ATL201607280,2016-07-28,ATL,PHI,0,5
ATL201608020,2016-08-02,ATL,PIT,0,0
ATL201608160,2016-08-16,ATL,MIN,0,1
ATL201608180,2016-08-18,ATL,WAS,0,2
ATL201608300,2016-08-30,ATL,SDN,0,0
ATL201609090,2016-09-09,ATL,NYN,0,0
ATL201609120,2016-09-12,ATL,MIA,1,0
ATL201609160,2016-09-16,ATL,WAS,0,2
ATL201609270,2016-09-27,ATL,PHI,0,4
ATL201609300,2016-09-30,ATL,DET,0,3
BAL201604060,2016-04-06,BAL,MIN,0,0
BAL201604080,2016-04-08,BAL,TBA,0,1
BAL201604190,2016-04-19,BAL,TOR,0,0
BAL201604280,2016-04-28,BAL,CHA,1,2
BAL201605030,2016-05-03,BAL,NYA,0,0
BAL201605072,2016-05-07,BAL,OAK,0,0
BAL201605120,2016-05-12,BAL,DET,0,1
BAL201605170,2016-05-17,BAL,SEA,0,2
BAL201605300,2016-05-30,BAL,BOS,0,1
BAL201606030,2016-06-03,BAL,NYA,0,0
BAL201606060,2016-06-06,BAL,KCA,0,0
BAL201606170,2016-06-17,BAL,TOR,1,3
BAL201606210,2016-06-21,BAL,SDN,0,1
BAL201606240,2016-06-24,BAL,TBA,0,3
BAL201607080,2016-07-08,BAL,ANA,1,2
BAL201607220,2016-07-22,BAL,CLE,3,0
BAL201607250,2016-07-25,BAL,COL,0,0
BAL201608020,2016-08-02,BAL,TEX,0,0
BAL201608160,2016-08-16,BAL,BOS,0,0
