Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA▲,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Corey Kluber,31,CLE,AL,7.9,18,4,.818,2.25,29,29,0,5,3,0,203.2,141,56,51,21,36,2,265,5,0,4,777,202,2.50,0.869,6.2,0.9,1.6,11.7,7.36,ASCYA-1MVP-7,klubeco01
2,Clayton Kershaw,29,LAD,NL,5.0,18,4,.818,2.31,27,27,0,1,0,0,175.0,136,49,45,23,30,0,202,0,2,4,679,179,3.07,0.949,7.0,1.2,1.5,10.4,6.73,ASCYA-2MVP-17,kershcl01
3,Max Scherzer,32,WSN,NL,7.2,16,6,.727,2.51,31,31,0,2,0,0,200.2,126,62,56,22,55,2,268,11,0,4,780,178,2.90,0.902,5.7,1.0,2.5,12.0,4.87,ASCYA-1MVP-10,scherma01
4,Stephen Strasburg,28,WSN,NL,6.3,15,4,.789,2.52,28,28,0,1,1,0,175.1,131,55,49,13,47,5,204,7,0,3,701,178,2.72,1.015,6.7,0.7,2.4,10.5,4.34,ASCYA-3,strasst01
5,Robbie Ray,25,ARI,NL,4.8,15,5,.750,2.89,28,28,0,1,1,0,162.0,116,57,52,23,71,3,218,5,0,8,665,163,3.72,1.154,6.4,1.3,3.9,12.1,3.07,ASCYA-7,rayro02
6,Chris Sale,28,BOS,AL,5.9,17,8,.680,2.90,32,32,0,1,0,0,214.1,165,73,69,24,43,0,308,8,0,3,851,157,2.45,0.970,6.9,1.0,1.8,12.9,7.16,ASCYA-2MVP-9,salech01
7,Gio González,31,WSN,NL,6.5,15,9,.625,2.96,32,32,0,0,0,0,201.0,158,69,66,21,79,5,188,7,0,7,827,152,3.93,1.179,7.1,0.9,3.5,8.4,2.38,CYA-6,gonzagi01
8,Luis Severino,23,NYY,AL,5.2,14,6,.700,2.98,31,31,0,0,0,0,193.1,150,73,64,21,51,0,230,6,0,6,783,152,3.08,1.040,7.0,1.0,2.4,10.7,4.51,ASCYA-3,severlu01
9,Marcus Stroman,26,TOR,AL,5.1,13,9,.591,3.09,33,33,0,2,0,0,201.0,201,82,69,21,62,1,164,6,1,3,834,145,3.90,1.308,9.0,0.9,2.8,7.3,2.65,CYA-8GG,stromma01
10,Zack Greinke,33,ARI,NL,5.8,17,7,.708,3.20,32,32,0,1,0,0,202.1,172,80,72,25,45,0,215,0,0,12,801,147,3.31,1.072,7.7,1.1,2.0,9.6,4.78,ASCYA-4MVP-20GG,greinza01
11,Ervin Santana,34,MIN,AL,4.9,16,8,.667,3.28,33,33,0,5,3,0,211.1,177,85,77,31,61,2,167,8,1,12,864,135,4.46,1.126,7.5,1.3,2.6,7.1,2.74,ASCYA-7,santaer01
12,Carlos Carrasco,30,CLE,AL,5.2,18,6,.750,3.29,32,32,0,1,0,0,200.0,173,73,73,21,46,2,226,10,0,10,798,139,3.10,1.095,7.8,0.9,2.1,10.2,4.91,CYA-4,carraca01
13,Drew Pomeranz,28,BOS,AL,3.8,17,6,.739,3.32,32,32,0,0,0,0,173.2,166,69,64,19,69,0,174,4,0,6,740,137,3.84,1.353,8.6,1.0,3.6,9.0,2.52,,pomerdr01
