game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gametype,umplf,umprf
SFN201804030,SEA,SFN,SFO03,2018/04/03,0,1:47PM,day,false,barrt901,barkl901,ortir901,littw901,park,pitches,younj701,61,tocf,7,unknown,unknown,sunny,182,40901,gonzm005,blact002,diaze006,,,
SFN201804040,SEA,SFN,SFO03,2018/04/04,0,4:15PM,day,false,barkl901,ortir901,littw901,barrt901,park,pitches,younj701,62,tocf,16,unknown,unknown,cloudy,172,42582,cuetj001,hernf002,,,,
SFN201804070,LAN,SFN,SFO03,2018/04/07,0,3:05PM,day,false,marqa901,drecb901,fairc901,estam901,park,pitches,thomc701,62,tocf,17,unknown,unknown,unknown,316,42308,gomer002,fontw001,,,,
SFN201804080,LAN,SFN,SFO03,2018/04/08,0,1:05PM,day,false,drecb901,fairc901,estam901,marqa901,park,pitches,dybdc701,63,tocf,14,unknown,unknown,cloudy,184,42374,fielj002,johnp001,jansk001,,,
SFN201804090,ARI,SFN,SFO03,2018/04/09,0,7:15PM,night,false,danlk901,nauep901,barrs901,torrc901,park,pitches,feldd701,64,tocf,8,unknown,unknown,cloudy,153,36997,godlz001,holld003,brada001,,,
SFN201804100,ARI,SFN,SFO03,2018/04/10,0,7:18PM,night,false,nauep901,barrs901,torrc901,danlk901,park,pitches,feldd701,55,tocf,13,unknown,unknown,overcast,204,37869,strih001,delaj001,,,,
SFN201804110,ARI,SFN,SFO03,2018/04/11,0,12:45PM,day,false,barrs901,torrc901,danlk901,nauep901,park,pitches,feldd701,58,tocf,14,unknown,unknown,cloudy,189,35041,salaf001,suara002,,,,
SFN201804230,WAS,SFN,SFO03,2018/04/23,0,7:15PM,night,false,millb901,herna901,ticht901,porta901,park,pitches,feldd701,58,tocf,15,unknown,unknown,cloudy,164,36983,strac001,gonzg003,strih001,,,
SFN201804240,WAS,SFN,SFO03,2018/04/24,0,7:15PM,night,false,herna901,ticht901,porta901,millb901,park,pitches,younj701,54,tocf,13,unknown,unknown,cloudy,147,37147,moror001,roart001,strih001,,,
SFN201804250,WAS,SFN,SFO03,2018/04/25,0,12:45PM,day,false,ticht901,porta901,millb901,herna901,park,pitches,feldd701,59,tocf,13,unknown,unknown,cloudy,193,35126,schem001,samaj001,,,,
SFN201804270,LAN,SFN,SFO03,2018/04/27,0,7:15PM,night,false,johna901,gibsh902,gormb901,iassd901,park,pitches,feldd701,58,tocf,12,unknown,unknown,cloudy,207,41936,dysos001,cingt001,strih001,,,
SFN201804281,LAN,SFN,SFO03,2018/04/28,1,1:05PM,day,false,gibsh902,ortir901,iassd901,johna901,park,pitches,thomc701,60,tocf,12,unknown,unknown,cloudy,233,41809,buehw001,strac001,,,,
SFN201804282,LAN,SFN,SFO03,2018/04/28,2,7:15PM,night,false,gormb901,iassd901,johna901,ortir901,park,pitches,thomc701,58,tocf,13,unknown,unknown,cloudy,178,40608,cuetj001,wooda002,,,,
SFN201804290,LAN,SFN,SFO03,2018/04/29,0,2:04PM,day,false,iassd901,johna901,gibsh902,gormb901,park,pitches,feldd701,60,tocf,21,unknown,unknown,unknown,160,42020,blact002,maedk001,strih001,,,
SFN201804300,SDN,SFN,SFO03,2018/04/30,0,7:15PM,night,false,vanol901,wendh902,guccc901,rackd901,park,pitches,ducam701,56,tocf,18,unknown,unknown,sunny,199,35470,johnp001,handb001,,,,
SFN201805010,SDN,SFN,SFO03,2018/05/01,0,7:15PM,night,false,wendh902,guccc901,rackd901,vanol901,park,pitches,ducam701,56,tolf,18,unknown,unknown,cloudy,144,36735,yatek001,strih001,handb001,,,
SFN201805020,SDN,SFN,SFO03,2018/05/02,0,12:45PM,day,false,guccc901,rackd901,vanol901,wendh902,park,pitches,feldd701,63,torf,13,unknown,unknown,sunny,182,36475,holld003,richc002,,,,
SFN201805140,CIN,SFN,SFO03,2018/05/14,0,7:15PM,night,false,rippm901,westj901,eddid901,fostm901,park,pitches,younj701,57,tocf,13,unknown,unknown,cloudy,182,36156,strac001,romas001,,,,
SFN201805150,CIN,SFN,SFO03,2018/05/15,0,7:15PM,night,false,westj901,eddid901,fostm901,rippm901,park,pitches,younj701,60,tocf,16,unknown,unknown,cloudy,173,37809,johnp001,mahlt001,strih001,,,
SFN201805160,CIN,SFN,SFO03,2018/05/16,0,12:44PM,day,false,eddid901,fostm901,rippm901,westj901,park,pitches,younj701,63,tocf,13,unknown,unknown,unknown,161,38662,hughj001,suara002,igler001,,,
SFN201805170,COL,SFN,SFO03,2018/05/17,0,7:15PM,night,false,segac901,onorb901,buckc901,conrc901,park,pitches,younj701,58,tocf,18,unknown,unknown,cloudy,240,37224,mcgej001,johnp001,daviw001,,,
SFN201805180,COL,SFN,SFO03,2018/05/18,0,7:15PM,night,false,onorb901,buckc901,conrc901,segac901,park,pitches,younj701,56,tocf,18,unknown,unknown,unknown,180,40970,freek001,holld003,,,,
SFN201805190,COL,SFN,SFO03,2018/05/19,0,1:05PM,day,false,buckc901,conrc901,segac901,onorb901,park,pitches,dybdc701,61,tocf,22,unknown,unknown,cloudy,185,39195,strac001,grayj003,,,,
SFN201805200,COL,SFN,SFO03,2018/05/20,0,1:05PM,day,false,conrc901,segac901,onorb901,buckc901,park,pitches,dybdc701,60,tocf,21,unknown,unknown,cloudy,205,40334,dysos001,shawb001,,,,
SFN201806010,PHI,SFN,SFO03,2018/06/01,0,7:15PM,night,false,hicke901,mealj901,segac901,morag901,park,pitches,thomc701,63,tocf,14,unknown,unknown,sunny,169,38119,strac001,piven001,,,,
SFN201806020,PHI,SFN,SFO03,2018/06/02,0,7:04PM,night,false,mealj901,segac901,morag901,hicke901,park,pitches,thomc701,68,tocf,14,unknown,unknown,sunny,144,39208,suara002,velav001,strih001,,,
SFN201806030,PHI,SFN,SFO03,2018/06/03,0,1:11PM,day,false,segac901,morag901,hicke901,mealj901,park,pitches,dybdc701,72,tocf,9,unknown,unknown,sunny,148,40491,rodrd001,arrij001,,,,
SFN201806040,ARI,SFN,SFO03,2018/06/04,0,7:10PM,night,false,barrl901,randt901,welkb901,knigb901,park,pitches,feldd701,60,tocf,19,unknown,unknown,cloudy,191,36542,johnp001,godlz001,,,,
SFN201806050,ARI,SFN,SFO03,2018/06/05,0,7:15PM,night,false,randt901,welkb901,knigb901,barrl901,park,pitches,feldd701,59,tocf,17,unknown,unknown,sunny,185,36925,corbp001,bumgm001,boxbb001,,,
SFN201806060,ARI,SFN,SFO03,2018/06/06,0,12:46PM,day,false,welkb901,knigb901,barrl901,randt901,park,pitches,younj701,63,tocf,20,unknown,unknown,cloudy,218,41042,strih001,chafa001,,,,
SFN201806180,MIA,SFN,SFO03,2018/06/18,0,7:15PM,night,false,gonzm901,fleta901,viscj901,diazl901,park,pitches,ducam701,61,tocf,13,unknown,unknown,cloudy,167,36743,guert001,strih001,barrk002,,,
SFN201806190,MIA,SFN,SFO03,2018/06/19,0,7:15PM,night,false,fleta901,viscj901,diazl901,gonzm901,park,pitches,ducam701,58,tocf,17,unknown,unknown,cloudy,171,37242,rodrd001,strad003,dysos001,,,
SFN201806200,MIA,SFN,SFO03,2018/06/20,0,12:45PM,day,false,viscj901,diazl901,gonzm901,fleta901,park,pitches,feldd701,61,tocf,13,unknown,unknown,unknown,184,35903,holld003,urenj001,moror001,,,
SFN201806210,SDN,SFN,SFO03,2018/06/21,0,7:15PM,night,false,davig901,knigb901,hobep901,lentn901,park,pitches,younj701,61,tocf,16,unknown,unknown,sunny,143,37497,bumgm001,rosst001,melam001,,,
SFN201806220,SDN,SFN,SFO03,2018/06/22,0,7:14PM,night,false,knigb901,hobep901,lentn901,davig901,park,pitches,younj701,67,tocf,15,unknown,unknown,sunny,173,40546,richc002,strac001,,,,
SFN201806230,SDN,SFN,SFO03,2018/06/23,0,1:05PM,day,false,hobep901,lentn901,davig901,knigb901,park,pitches,dybdc701,83,tocf,10,unknown,unknown,sunny,156,40348,moror001,cimba001,,,,
SFN201806240,SDN,SFN,SFO03,2018/06/24,0,1:05PM,day,false,lentn901,davig901,knigb901,hobep901,park,pitches,dybdc701,72,tocf,13,unknown,unknown,cloudy,182,39230,blact002,handb001,,,,
SFN201806260,COL,SFN,SFO03,2018/06/26,0,7:14PM,night,false,tumpj901,dimum901,wegnm901,reynj901,park,pitches,feldd701,61,tocf,15,unknown,unknown,sunny,177,36070,watst001,ottaa001,dysos001,,,
SFN201806270,COL,SFN,SFO03,2018/06/27,0,7:15PM,night,false,dimum901,wegnm901,reynj901,tumpj901,park,pitches,feldd701,56,tocf,17,unknown,unknown,overcast,154,36046,moror001,musgh001,,,,
SFN201806280,COL,SFN,SFO03,2018/06/28,0,12:45PM,day,false,wegnm901,reynj901,tumpj901,dimum901,park,pitches,feldd701,66,tocf,13,unknown,unknown,sunny,190,37529,ottaa001,dysos001,daviw001,,,
SFN201807050,SLN,SFN,SFO03,2018/07/05,0,7:15PM,night,false,culbf901,buckc901,conrc901,onorb901,park,pitches,feldd701,65,tocf,16,unknown,unknown,cloudy,155,38766,weavl001,cuetj001,,,,
SFN201807060,SLN,SFN,SFO03,2018/07/06,0,7:15PM,night,false,buckc901,conrc901,onorb901,culbf901,park,pitches,younj701,73,tocf,15,unknown,unknown,cloudy,146,37996,moror001,brebj001,smitw002,,,
SFN201807070,SLN,SFN,SFO03,2018/07/07,0,1:05PM,day,false,conrc901,onorb901,culbf901,buckc901,park,pitches,feldd701,70,tocf,20,unknown,unknown,sunny,171,39606,martc006,samaj001,norrb001,,,
SFN201807080,SLN,SFN,SFO03,2018/07/08,0,1:05PM,day,false,onorb901,culbf901,buckc901,conrc901,park,pitches,feldd701,70,tocf,14,unknown,unknown,sunny,227,38855,bumgm001,brebj001,,,,
