last_name,first_name,player_id,year,p_era,Player,Player-additional
Ray,Robbie,592662,2018,3.93,Robbie Ray,ray-r002
Ross,Tyson,475115,2018,4.15,Tyson Ross,rosst001
Martinez,Carlos,593372,2018,3.11,Carlos Martinez,martc006
Mahle,Tyler,641816,2018,4.98,Tyler Mahle,mahlt001
Hill,Rich,448179,2018,3.66,Rich Hill,hillr001
Lauer,Eric,641778,2018,4.34,Eric Lauer,lauee001
Rodriguez,Eduardo,593958,2018,3.82,Eduardo Rodriguez,rodre004
Richards,Trevor,670950,2018,4.42,Trevor Richards,richt001
Skaggs,Tyler,572140,2018,4.02,Tyler Skaggs,skagt001
Sánchez,Aníbal,434671,2018,2.83,Aníbal Sánchez,sanca004
Kennedy,Ian,453178,2018,4.66,Ian Kennedy,kenni001
Eflin,Zach,621107,2018,4.36,Zach Eflin,efliz001
Bettis,Chad,518452,2018,5.01,Chad Bettis,bettc001
Bumgarner,Madison,518516,2018,3.26,Madison Bumgarner,bumgm001
Gray,Sonny,543243,2018,4.9,Sonny Gray,grays001
Blach,Ty,621389,2018,4.25,Ty Blach,blact002
Velasquez,Vincent,592826,2018,4.85,Vincent Velasquez,velav001
Archer,Chris,502042,2018,4.31,Chris Archer,archc001
Matz,Steven,571927,2018,3.97,Steven Matz,matzs001
Keller,Brad,641745,2018,3.08,Brad Keller,kellb003
Hammel,Jason,434628,2018,6.02,Jason Hammel,hammj002
Cole,Gerrit,543037,2018,2.88,Gerrit Cole,coleg001
Newcomb,Sean,656794,2018,3.9,Sean Newcomb,newcs001
Lynn,Lance,458681,2018,4.77,Lance Lynn,lynnl001
Minor,Mike,501985,2018,4.18,Mike Minor,minom001
Kershaw,Clayton,477132,2018,2.73,Clayton Kershaw,kersc001
Teheran,Julio,527054,2018,3.94,Julio Teheran,tehej001
Estrada,Marco,462136,2018,5.64,Marco Estrada,estrm001
Romano,Sal,607219,2018,5.31,Sal Romano,romas001
Price,David,456034,2018,3.58,David Price,pricd001
Suárez,Andrew,605498,2018,4.49,Andrew Suárez,suara002
Hernández,Félix,433587,2018,5.55,Félix Hernández,hernf002
Harvey,Matt,518774,2018,4.94,Matt Harvey,harvm001
Freeland,Kyle,607536,2018,2.85,Kyle Freeland,freek001
Verlander,Justin,434378,2018,2.52,Justin Verlander,verlj001
Gray,Jon,592351,2018,5.12,Jon Gray,grayj003
Wheeler,Zack,554430,2018,3.31,Zack Wheeler,wheez001
Richard,Clayton,453385,2018,5.33,Clayton Richard,richc002
Anderson,Tyler,542881,2018,4.55,Tyler Anderson,andet002
Cobb,Alex,502171,2018,4.9,Alex Cobb,cobba001
Godley,Zack,643327,2018,4.74,Zack Godley,godlz001
deGrom,Jacob,594798,2018,1.7,Jacob deGrom,degrj001
Williams,Trevor,592866,2018,3.11,Trevor Williams,willt002
Ureña,José,570632,2018,3.98,José Ureña,urenj001
Colon,Bartolo,112526,2018,5.78,Bartolo Colon,colob001
Berríos,José,621244,2018,3.84,José Berríos,berrj001
Clevinger,Mike,605182,2018,3.02,Mike Clevinger,clevm001
Giolito,Lucas,608337,2018,6.13,Lucas Giolito,gioll001
Roark,Tanner,543699,2018,4.34,Tanner Roark,roart001
Chacín,Jhoulys,468504,2018,3.5,Jhoulys Chacín,chacj001
