year,game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher,home_ERA,vis_ERA
2019,ANA201904040,ANA,TEX,1,5,harvm001,sprij001,7.09,6.4
2019,ANA201904050,ANA,TEX,0,0,andej005,lynnl001,5.55,3.67
2019,ANA201904060,ANA,TEX,0,0,skagt001,smyld001,4.29,6.24
2019,ANA201904070,ANA,TEX,0,0,andej005,mills001,5.55,8.59
2019,ANA201904080,ANA,MIL,0,0,cahit001,chacj001,5.98,6.01
2019,ANA201904090,ANA,MIL,6,0,bedrc001,claua001,3.23,4.06
2019,ANA201904100,ANA,MIL,0,0,barrj003,woodb005,6.42,3.62
2019,ANA201904180,ANA,SEA,0,0,allec002,swara001,6.26,4.56
2019,ANA201904190,ANA,SEA,0,0,allec002,rossz001,6.26,5.0
2019,ANA201904200,ANA,SEA,0,2,cahit001,kikuy001,5.98,5.46
2019,ANA201904210,ANA,SEA,0,0,barrj003,leakm001,6.42,4.29
2019,ANA201904220,ANA,NYA,0,1,bardl001,holdj002,4.78,6.31
2019,ANA201904230,ANA,NYA,0,1,strac001,germd001,5.57,4.03
2019,ANA201904240,ANA,NYA,1,0,buttt001,loaij001,3.98,4.55
2019,ANA201904250,ANA,NYA,0,0,ramin002,tanam001,3.99,4.45
2019,ANA201904300,ANA,TOR,0,0,buttt001,teper001,3.98,4.98
2019,ANA201905010,ANA,TOR,1,0,penaf002,strom001,4.58,3.22
2019,ANA201905020,ANA,TOR,0,0,skagt001,sanca006,4.29,5.89
2019,ANA201905040,ANA,HOU,0,1,cahit001,milew001,5.98,3.98
2019,ANA201905050,ANA,HOU,1,0,harvm001,verlj001,7.09,2.58
2019,ANA201905170,ANA,KCA,0,0,harvm001,kellb003,7.09,4.19
2019,ANA201905180,ANA,KCA,1,0,canng001,junij001,4.58,
2019,ANA201905190,ANA,KCA,0,0,skagt001,duffd001,4.29,4.34
2019,ANA201905200,ANA,MIN,0,0,buttt001,roget001,3.98,2.61
2019,ANA201905210,ANA,MIN,1,0,bardl001,pinem001,4.78,4.01
2019,ANA201905230,ANA,MIN,0,0,harvm001,perem004,7.09,5.12
2019,ANA201905240,ANA,TEX,0,1,bedrc001,smyld001,3.23,6.24
2019,ANA201905250,ANA,TEX,0,0,roblh001,kells001,2.48,4.94
2019,ANA201905260,ANA,TEX,1,0,garcl005,sprij001,4.35,6.4
2019,ANA201906040,ANA,OAK,0,0,canng001,montf001,4.58,2.63
2019,ANA201906050,ANA,OAK,1,0,roblh001,trivl001,2.48,5.25
2019,ANA201906060,ANA,OAK,0,0,skagt001,fierm001,4.29,3.9
2019,ANA201906070,ANA,SEA,0,0,heana001,gonzm005,4.91,3.99
2019,ANA201906080,ANA,SEA,3,0,peted001,kikuy001,5.38,5.46
2019,ANA201906090,ANA,SEA,0,0,suarj001,leblw001,7.11,5.71
2019,ANA201906100,ANA,LAN,0,0,buttt001,kellj001,3.98,4.56
2019,ANA201906110,ANA,LAN,5,0,penaf002,maedk001,4.58,4.04
2019,ANA201906250,ANA,CIN,1,1,heana001,mahlt001,4.91,5.14
2019,ANA201906260,ANA,CIN,0,0,bedrc001,igler001,3.23,4.16
2019,ANA201906270,ANA,OAK,0,0,canng001,andet003,4.58,6.04
2019,ANA201906280,ANA,OAK,0,2,ramin002,fierm001,3.99,3.9
2019,ANA201906290,ANA,OAK,0,0,skagt001,andeb004,4.29,3.89
2019,ANA201906300,ANA,OAK,0,0,heana001,bassc001,4.91,3.81
2019,ANA201907120,ANA,SEA,7,0,penaf002,leakm001,4.58,4.29
2019,ANA201907130,ANA,SEA,0,0,harvm001,leblw001,7.09,5.71
2019,ANA201907140,ANA,SEA,0,1,buttt001,bassa001,3.98,3.56
2019,ANA201907150,ANA,HOU,0,1,andej005,valdf001,5.55,5.86
2019,ANA201907160,ANA,HOU,6,0,ramin002,rondh001,3.99,3.71
2019,ANA201907170,ANA,HOU,0,3,penaf002,coleg001,4.58,2.5
2019,ANA201907180,ANA,HOU,0,2,harvm001,milew001,7.09,3.98
2019,ANA201907250,ANA,BAL,1,0,canng001,scott003,4.58,4.78
2019,ANA201907260,ANA,BAL,0,1,tropn001,wojca001,9.88,4.92
2019,ANA201907270,ANA,BAL,2,2,buttt001,bleir001,3.98,5.37
2019,ANA201907280,ANA,BAL,0,0,colet001,givem001,5.92,4.57
2019,ANA201907290,ANA,DET,0,1,barrj003,zimmj003,6.42,6.91
2019,ANA201907300,ANA,DET,0,0,canng001,verhd001,4.58,5.9
2019,ANA201907310,ANA,DET,0,0,suarj001,norrd002,7.11,4.49
2019,ANA201908120,ANA,PIT,0,3,suarj001,kellm003,7.11,7.13
2019,ANA201908130,ANA,PIT,3,0,colet001,willt002,5.92,5.38
2019,ANA201908140,ANA,PIT,0,2,peted001,archc001,5.38,5.19
