game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save
MIN201903280,CLE,MIN,MIN04,2019/03/28,0,3:17PM,day,true,hallt901,cuzzp901,ticht901,hamaa901,park,pitches,trayk701,49,torf,14,unknown,unknown,cloudy,138,39519,berrj001,klubc001,roget001
MIN201903300,CLE,MIN,MIN04,2019/03/30,0,1:12PM,day,true,cuzzp901,ticht901,hamaa901,hallt901,park,pitches,wongg701,34,fromlf,17,unknown,unknown,sunny,180,15271,edwaj001,parkb001,handb001
MIN201903310,CLE,MIN,MIN04,2019/03/31,0,1:13PM,day,true,ticht901,hamaa901,hallt901,cuzzp901,park,pitches,thors701,34,tolf,7,unknown,unknown,cloudy,159,15613,perem004,carrc003,
MIN201904130,DET,MIN,MIN04,2019/04/13,0,1:11PM,day,true,everm901,welkb901,guccc901,barrl901,park,pitches,trayk701,37,torf,11,unknown,unknown,cloudy,187,16484,pinem001,rosst001,parkb001
MIN201904140,DET,MIN,MIN04,2019/04/14,0,1:12PM,day,true,welkb901,guccc901,barrl901,everm901,park,pitches,thors701,40,fromcf,9,unknown,unknown,cloudy,199,14774,berrj001,zimmj003,hildt001
MIN201904150,TOR,MIN,MIN04,2019/04/15,0,6:42PM,night,true,estam901,emmep901,drecb901,barbs901,park,pitches,thors701,54,fromcf,13,unknown,unknown,cloudy,180,11727,gavis001,mejia001,biagj001
MIN201904160,TOR,MIN,MIN04,2019/04/16,0,6:40PM,night,true,emmep901,drecb901,barbs901,estam901,park,pitches,thors701,66,fromrf,5,unknown,unknown,cloudy,186,13365,sanca006,may-t001,gilek001
MIN201904170,TOR,MIN,MIN04,2019/04/17,0,7:34PM,night,true,drecb901,barbs901,estam901,emmep901,park,pitches,thors701,44,ltor,13,unknown,unknown,overcast,177,11465,odorj001,thort002,parkb001
MIN201904180,TOR,MIN,MIN04,2019/04/18,0,12:11PM,day,true,barbs901,estam901,emmep901,drecb901,park,pitches,wongg701,46,ltor,11,unknown,unknown,overcast,180,12523,biagj001,pinem001,gilek001
MIN201904260,BAL,MIN,MIN04,2019/04/26,0,7:11PM,night,true,rehaj901,davig901,conrc901,hobep901,park,pitches,thors701,57,ltor,12,unknown,unknown,cloudy,187,23658,perem004,cobba001,
MIN201904270,BAL,MIN,MIN04,2019/04/27,0,1:10PM,day,true,davig901,conrc901,hobep901,rehaj901,park,pitches,wongg701,45,fromlf,7,unknown,unknown,overcast,204,18878,berrj001,fry-p001,
MIN201904280,BAL,MIN,MIN04,2019/04/28,0,1:12PM,day,true,conrc901,hobep901,rehaj901,davig901,park,pitches,wongg701,54,tolf,12,unknown,unknown,cloudy,162,20034,gibsk002,bundd001,parkb001
MIN201904290,HOU,MIN,MIN04,2019/04/29,0,6:41PM,night,true,johna901,millb901,segac901,eddid901,park,pitches,trayk701,54,ltor,7,unknown,unknown,cloudy,151,12615,odorj001,verlj001,parkb001
MIN201904300,HOU,MIN,MIN04,2019/04/30,0,6:41PM,night,true,millb901,segac901,eddid901,johna901,park,pitches,thors701,45,tocf,14,unknown,unknown,overcast,198,12181,coleg001,pinem001,
MIN201905010,HOU,MIN,MIN04,2019/05/01,0,7:11PM,night,true,segac901,eddid901,johna901,millb901,park,pitches,thors701,46,ltor,8,unknown,unknown,overcast,148,14115,perem004,mchuc001,
MIN201905020,HOU,MIN,MIN04,2019/05/02,0,12:10PM,day,true,eddid901,johna901,millb901,segac901,park,pitches,wongg701,49,torf,7,unknown,unknown,cloudy,152,17271,berrj001,peacb001,
MIN201905100,DET,MIN,MIN04,2019/05/10,0,7:12PM,night,true,nauep901,whitc901,wendh902,bakej902,park,pitches,trayk701,60,tocf,7,unknown,unknown,sunny,156,26789,odorj001,rosst001,
MIN201905111,DET,MIN,MIN04,2019/05/11,1,1:11PM,day,true,wendh902,tosia901,bakej902,nauep901,park,pitches,thors701,62,rtol,10,unknown,unknown,cloudy,204,28840,jimej003,hildt001,grees005
MIN201905112,DET,MIN,MIN04,2019/05/11,2,7:10PM,night,true,whitc901,bakej902,nauep901,tosia901,park,pitches,thors701,61,rtol,21,unknown,unknown,cloudy,165,20724,stewk001,sotog003,
MIN201905120,DET,MIN,MIN04,2019/05/12,0,1:12PM,day,true,bakej902,nauep901,whitc901,wendh902,park,pitches,thors701,58,rtol,8,unknown,unknown,cloudy,187,27373,norrd002,perem004,grees005
MIN201905130,ANA,MIN,MIN04,2019/05/13,0,6:41PM,night,true,littw901,westj901,coope901,fleta901,park,pitches,thors701,66,tolf,8,unknown,unknown,cloudy,194,21359,skagt001,berrj001,roblh001
MIN201905140,ANA,MIN,MIN04,2019/05/14,0,6:40PM,night,true,westj901,coope901,fleta901,littw901,park,pitches,wongg701,72,tolf,9,unknown,unknown,cloudy,186,26747,gibsk002,bedrc001,parkb001
MIN201905150,ANA,MIN,MIN04,2019/05/15,0,12:12PM,day,true,coope901,fleta901,littw901,westj901,park,pitches,thors701,69,ltor,3,unknown,unknown,cloudy,221,31919,odorj001,cahit001,morim002
MIN201905240,CHA,MIN,MIN04,2019/05/24,0,7:11PM,night,true,barbs901,vanol901,rackd901,reynj901,park,pitches,thors701,72,tolf,13,unknown,unknown,cloudy,207,29638,berrj001,loper003,
MIN201905250,CHA,MIN,MIN04,2019/05/25,0,1:11PM,day,true,vanol901,rackd901,reynj901,barbs901,park,pitches,thors701,66,rtol,14,unknown,unknown,cloudy,196,39139,gibsk002,banum001,
