game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs
ANA202007280,2020-07-28,ANA,SEA,0,0
ANA202007290,2020-07-29,ANA,SEA,0,0
ANA202007300,2020-07-30,ANA,SEA,0,3
ANA202007310,2020-07-31,ANA,HOU,0,0
ANA202008010,2020-08-01,ANA,HOU,0,0
ANA202008020,2020-08-02,ANA,HOU,0,0
ANA202008100,2020-08-10,ANA,OAK,3,0
ANA202008110,2020-08-11,ANA,OAK,0,0
ANA202008120,2020-08-12,ANA,OAK,1,1
ANA202008140,2020-08-14,ANA,LAN,0,0
ANA202008150,2020-08-15,ANA,LAN,2,0
ANA202008160,2020-08-16,ANA,LAN,0,0
ANA202008170,2020-08-17,ANA,SFN,0,2
ANA202008180,2020-08-18,ANA,SFN,1,1
ANA202008280,2020-08-28,ANA,SEA,0,0
ANA202008290,2020-08-29,ANA,SEA,1,0
ANA202008300,2020-08-30,ANA,SEA,0,0
ANA202008310,2020-08-31,ANA,SEA,0,0
ANA202009020,2020-09-02,ANA,SDN,0,0
ANA202009030,2020-09-03,ANA,SDN,0,0
ANA202009040,2020-09-04,ANA,HOU,3,0
ANA202009051,2020-09-05,ANA,HOU,1,0
ANA202009052,2020-09-05,ANA,HOU,0,1
ANA202009060,2020-09-06,ANA,HOU,0,2
ANA202009150,2020-09-15,ANA,ARI,0,2
ANA202009160,2020-09-16,ANA,ARI,0,0
ANA202009170,2020-09-17,ANA,ARI,3,0
ANA202009180,2020-09-18,ANA,TEX,0,0
ANA202009190,2020-09-19,ANA,TEX,0,3
ANA202009200,2020-09-20,ANA,TEX,0,2
ANA202009210,2020-09-21,ANA,TEX,0,1
ARI202007300,2020-07-30,ARI,LAN,0,3
ARI202007310,2020-07-31,ARI,LAN,0,0
ARI202008010,2020-08-01,ARI,LAN,1,0
ARI202008020,2020-08-02,ARI,LAN,0,2
ARI202008040,2020-08-04,ARI,HOU,0,1
ARI202008050,2020-08-05,ARI,HOU,0,0
ARI202008060,2020-08-06,ARI,HOU,0,0
ARI202008140,2020-08-14,ARI,SDN,0,0
ARI202008150,2020-08-15,ARI,SDN,0,1
ARI202008160,2020-08-16,ARI,SDN,0,0
ARI202008170,2020-08-17,ARI,OAK,0,0
ARI202008180,2020-08-18,ARI,OAK,5,0
ARI202008240,2020-08-24,ARI,COL,0,1
ARI202008250,2020-08-25,ARI,COL,0,2
ARI202008260,2020-08-26,ARI,COL,0,2
ARI202008280,2020-08-28,ARI,SFN,1,0
ARI202008290,2020-08-29,ARI,SFN,0,2
ARI202008300,2020-08-30,ARI,SFN,0,1
ARI202009080,2020-09-08,ARI,LAN,0,0
ARI202009090,2020-09-09,ARI,LAN,0,1
ARI202009100,2020-09-10,ARI,LAN,0,0
ARI202009110,2020-09-11,ARI,SEA,3,0
ARI202009120,2020-09-12,ARI,SEA,0,4
ARI202009130,2020-09-13,ARI,SEA,1,1
ARI202009220,2020-09-22,ARI,TEX,0,0
ARI202009230,2020-09-23,ARI,TEX,0,1
ARI202009252,2020-09-25,ARI,COL,6,1
ARI202009251,2020-09-25,ARI,COL,0,0
ARI202009260,2020-09-26,ARI,COL,1,0
ARI202009270,2020-09-27,ARI,COL,2,0
ATL202007290,2020-07-29,ATL,TBA,0,0
ATL202007300,2020-07-30,ATL,TBA,0,0
ATL202007310,2020-07-31,ATL,NYN,2,0
ATL202008010,2020-08-01,ATL,NYN,2,0
ATL202008020,2020-08-02,ATL,NYN,0,0
ATL202008030,2020-08-03,ATL,NYN,0,0
ATL202008040,2020-08-04,ATL,TOR,0,0
ATL202008050,2020-08-05,ATL,TOR,0,0
ATL202008060,2020-08-06,ATL,TOR,2,0
ATL202008170,2020-08-17,ATL,WAS,0,0
ATL202008180,2020-08-18,ATL,WAS,1,0
ATL202008210,2020-08-21,ATL,PHI,0,1
ATL202008220,2020-08-22,ATL,PHI,0,2
ATL202008230,2020-08-23,ATL,PHI,0,0
ATL202008261,2020-08-26,ATL,NYA,1,0
ATL202008262,2020-08-26,ATL,NYA,0,0
ATL202009042,2020-09-04,ATL,WAS,1,1
ATL202009041,2020-09-04,ATL,WAS,1,0
ATL202009050,2020-09-05,ATL,WAS,1,2
ATL202009060,2020-09-06,ATL,WAS,0,0
ATL202009070,2020-09-07,ATL,MIA,2,0
ATL202009080,2020-09-08,ATL,MIA,0,0
ATL202009090,2020-09-09,ATL,MIA,0,0
ATL202009210,2020-09-21,ATL,MIA,4,3
ATL202009220,2020-09-22,ATL,MIA,1,0
ATL202009230,2020-09-23,ATL,MIA,3,2
ATL202009240,2020-09-24,ATL,MIA,0,0
ATL202009250,2020-09-25,ATL,BOS,1,0
ATL202009260,2020-09-26,ATL,BOS,0,0
ATL202009270,2020-09-27,ATL,BOS,1,1
BAL202007290,2020-07-29,BAL,NYA,1,2
BAL202007300,2020-07-30,BAL,NYA,2,5
BAL202007310,2020-07-31,BAL,TBA,0,1
BAL202008010,2020-08-01,BAL,TBA,0,0
BAL202008020,2020-08-02,BAL,TBA,0,0
BAL202008040,2020-08-04,BAL,MIA,0,0
BAL202008052,2020-08-05,BAL,MIA,0,2
BAL202008051,2020-08-05,BAL,MIA,0,0
BAL202008060,2020-08-06,BAL,MIA,0,1
BAL202008140,2020-08-14,BAL,WAS,1,0
BAL202008150,2020-08-15,BAL,WAS,2,0
BAL202008160,2020-08-16,BAL,WAS,1,3
BAL202008170,2020-08-17,BAL,TOR,0,0
BAL202008180,2020-08-18,BAL,TOR,2,0
BAL202008190,2020-08-19,BAL,TOR,0,0
BAL202008200,2020-08-20,BAL,BOS,0,0
BAL202008210,2020-08-21,BAL,BOS,0,0
BAL202008220,2020-08-22,BAL,BOS,0,0
BAL202008230,2020-08-23,BAL,BOS,0,1
BAL202009010,2020-09-01,BAL,NYN,3,0
BAL202009020,2020-09-02,BAL,NYN,0,2
BAL202009042,2020-09-04,BAL,NYA,0,0
BAL202009041,2020-09-04,BAL,NYA,1,0
BAL202009050,2020-09-05,BAL,NYA,0,0
BAL202009060,2020-09-06,BAL,NYA,2,0
BAL202009140,2020-09-14,BAL,ATL,1,0
BAL202009150,2020-09-15,BAL,ATL,0,0
BAL202009160,2020-09-16,BAL,ATL,0,0
BAL202009172,2020-09-17,BAL,TBA,0,3
BAL202009171,2020-09-17,BAL,TBA,0,0
BAL202009180,2020-09-18,BAL,TBA,0,1
BAL202009190,2020-09-19,BAL,TBA,1,0
BAL202009200,2020-09-20,BAL,TBA,2,0
BOS202007250,2020-07-25,BOS,BAL,0,3
BOS202007260,2020-07-26,BOS,BAL,0,2
BOS202007270,2020-07-27,BOS,NYN,0,0
BOS202007280,2020-07-28,BOS,NYN,0,0
BOS202008070,2020-08-07,BOS,TOR,1,1
BOS202008080,2020-08-08,BOS,TOR,0,0
BOS202008090,2020-08-09,BOS,TOR,0,0
BOS202008100,2020-08-10,BOS,TBA,3,0
BOS202008110,2020-08-11,BOS,TBA,0,1
BOS202008120,2020-08-12,BOS,TBA,0,1
BOS202008130,2020-08-13,BOS,TBA,3,2
BOS202008180,2020-08-18,BOS,PHI,1,0
BOS202008190,2020-08-19,BOS,PHI,0,2
BOS202008280,2020-08-28,BOS,WAS,0,0
BOS202008290,2020-08-29,BOS,WAS,3,0
BOS202008300,2020-08-30,BOS,WAS,3,0
BOS202008310,2020-08-31,BOS,ATL,1,1
BOS202009010,2020-09-01,BOS,ATL,0,2
BOS202009020,2020-09-02,BOS,ATL,3,0
BOS202009030,2020-09-03,BOS,TOR,0,0
BOS202009041,2020-09-04,BOS,TOR,0,0
BOS202009042,2020-09-04,BOS,TOR,0,0
BOS202009050,2020-09-05,BOS,TOR,0,0
BOS202009060,2020-09-06,BOS,TOR,3,0
BOS202009180,2020-09-18,BOS,NYA,0,0
BOS202009190,2020-09-19,BOS,NYA,0,2
BOS202009200,2020-09-20,BOS,NYA,0,0
BOS202009220,2020-09-22,BOS,BAL,0,1
BOS202009230,2020-09-23,BOS,BAL,2,0
BOS202009240,2020-09-24,BOS,BAL,0,0
CHA202007250,2020-07-25,CHA,MIN,0,0
CHA202007260,2020-07-26,CHA,MIN,0,4
CHA202008050,2020-08-05,CHA,MIL,0,0
CHA202008060,2020-08-06,CHA,MIL,0,0
CHA202008070,2020-08-07,CHA,CLE,1,0
CHA202008080,2020-08-08,CHA,CLE,0,0
CHA202008090,2020-08-09,CHA,CLE,0,0
CHA202008151,2020-08-15,CHA,SLN,0,4
CHA202008152,2020-08-15,CHA,SLN,0,0
CHA202008160,2020-08-16,CHA,SLN,1,0
CHA202008170,2020-08-17,CHA,DET,2,0
CHA202008180,2020-08-18,CHA,DET,1,0
CHA202008190,2020-08-19,CHA,DET,0,0
CHA202008200,2020-08-20,CHA,DET,3,0
CHA202008250,2020-08-25,CHA,PIT,0,0
CHA202008260,2020-08-26,CHA,PIT,0,0
CHA202008280,2020-08-28,CHA,KCA,0,0
CHA202008290,2020-08-29,CHA,KCA,0,0
CHA202008300,2020-08-30,CHA,KCA,0,0
CHA202009110,2020-09-11,CHA,DET,0,0
CHA202009120,2020-09-12,CHA,DET,3,0
CHA202009130,2020-09-13,CHA,DET,0,1
CHA202009140,2020-09-14,CHA,MIN,0,0
CHA202009150,2020-09-15,CHA,MIN,1,0
CHA202009160,2020-09-16,CHA,MIN,0,0
CHA202009170,2020-09-17,CHA,MIN,0,0
CHA202009250,2020-09-25,CHA,CHN,0,0
CHA202009260,2020-09-26,CHA,CHN,0,0
CHA202009270,2020-09-27,CHA,CHN,0,0
CHN202007250,2020-07-25,CHN,MIL,1,0
CHN202007260,2020-07-26,CHN,MIL,0,0
CHN202007310,2020-07-31,CHN,PIT,0,0
CHN202008010,2020-08-01,CHN,PIT,0,0
CHN202008020,2020-08-02,CHN,PIT,0,1
CHN202008030,2020-08-03,CHN,KCA,0,0
CHN202008040,2020-08-04,CHN,KCA,0,0
CHN202008130,2020-08-13,CHN,MIL,1,0
CHN202008140,2020-08-14,CHN,MIL,0,0
CHN202008150,2020-08-15,CHN,MIL,2,0
CHN202008160,2020-08-16,CHN,MIL,3,0
CHN202008171,2020-08-17,CHN,SLN,0,0
CHN202008172,2020-08-17,CHN,SLN,1,0
CHN202008180,2020-08-18,CHN,SLN,0,0
CHN202008191,2020-08-19,CHN,SLN,1,4
CHN202008192,2020-08-19,CHN,SLN,0,0
CHN202008210,2020-08-21,CHN,CHA,0,0
