game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location
LAN202007240,2020-07-24,LAN,SFN,1,0,5.84,4.37,1e-06,1e-06,LAN,LAN
WAS202007250,2020-07-25,WAS,NYA,0,0,2.66,6.64,1e-06,1e-06,WAS,WAS
CHA202007250,2020-07-25,CHA,MIN,0,0,1.99,4.05,1e-06,1e-06,CHA,CHA
OAK202007250,2020-07-25,OAK,ANA,0,0,4.5,3.29,1e-06,1e-06,OAK,OAK
LAN202007250,2020-07-25,LAN,SFN,1,1,6.39,4.03,1e-06,1e-06,LAN,LAN
PHI202007250,2020-07-25,PHI,MIA,0,0,2.92,18.69,1e-06,1e-06,PHI,PHI
CHN202007250,2020-07-25,CHN,MIL,1,0,2.01,3.13,1e-06,1e-06,CHN,CHN
SDN202007250,2020-07-25,SDN,ARI,0,0,2.09,6.62,1e-06,1e-06,SDN,SDN
NYN202007250,2020-07-25,NYN,ATL,0,0,8.1,6.84,1e-06,1e-06,NYN,NYN
BOS202007250,2020-07-25,BOS,BAL,0,3,4.5,4.3,1e-06,1e-06,BOS,BOS
HOU202007250,2020-07-25,HOU,SEA,1,0,3.93,2.7,1e-06,1e-06,HOU,HOU
TBA202007250,2020-07-25,TBA,TOR,0,0,0.55,9.0,1e-06,1e-06,TBA,TBA
TEX202007250,2020-07-25,TEX,COL,0,0,5.56,3.65,1e-06,1e-06,TEX,TEX
CIN202007250,2020-07-25,CIN,DET,1,1,2.74,3.8,1e-06,1e-06,CIN,CIN
SLN202007250,2020-07-25,SLN,PIT,1,0,3.15,6.18,1e-06,1e-06,SLN,SLN
CLE202007250,2020-07-25,CLE,KCA,0,2,2.67,4.2,1e-06,1e-06,CLE,CLE
CLE202007260,2020-07-26,CLE,KCA,2,0,2.91,12.27,1e-06,1e-06,CLE,CLE
NYN202007260,2020-07-26,NYN,ATL,0,2,5.64,7.2,1e-06,1e-06,NYN,NYN
TEX202007260,2020-07-26,TEX,COL,0,0,11.57,4.33,1e-06,1e-06,TEX,TEX
CHA202007260,2020-07-26,CHA,MIN,0,4,6.49,2.7,1e-06,1e-06,CHA,CHA
OAK202007260,2020-07-26,OAK,ANA,5,0,1.66,37.8,1e-06,1e-06,OAK,OAK
LAN202007260,2020-07-26,LAN,SFN,0,0,3.09,3.29,1e-06,1e-06,LAN,LAN
WAS202007260,2020-07-26,WAS,NYA,0,0,5.87,3.51,1e-06,1e-06,WAS,WAS
PHI202007260,2020-07-26,PHI,MIA,4,0,17.18,9.0,1e-06,1e-06,PHI,PHI
SLN202007260,2020-07-26,SLN,PIT,0,0,2.77,2.91,1e-06,1e-06,SLN,SLN
CHN202007260,2020-07-26,CHN,MIL,0,0,5.3,3.99,1e-06,1e-06,CHN,CHN
BOS202007260,2020-07-26,BOS,BAL,0,2,4.4,8.06,1e-06,1e-06,BOS,BOS
TBA202007260,2020-07-26,TBA,TOR,0,0,2.89,8.06,1e-06,1e-06,TBA,TBA
CIN202007260,2020-07-26,CIN,DET,0,0,4.28,3.03,1e-06,1e-06,CIN,CIN
SDN202007260,2020-07-26,SDN,ARI,0,0,12.46,2.95,1e-06,1e-06,SDN,SDN
HOU202007260,2020-07-26,HOU,SEA,1,2,14.73,5.75,1e-06,1e-06,HOU,HOU
DET202007270,2020-07-27,DET,KCA,0,0,7.27,0.0,380.0544669682655,145.52553501827433,CIN,CLE
CIN202007270,2020-07-27,CIN,CHN,0,4,5.65,5.16,1e-06,406.25273298859213,CIN,CHN
OAK202007270,2020-07-27,OAK,ANA,0,0,2.25,3.99,1e-06,1e-06,OAK,OAK
WAS202007270,2020-07-27,WAS,TOR,0,1,6.62,2.7,1e-06,1340.493838211085,WAS,TBA
SDN202007270,2020-07-27,SDN,ARI,1,0,2.25,6.58,1e-06,1e-06,SDN,SDN
TBA202007270,2020-07-27,TBA,ATL,0,0,1.66,16.2,1e-06,1638.0556824552712,TBA,NYN
PIT202007270,2020-07-27,PIT,MIL,0,0,7.11,6.53,898.8824563980571,660.0502267315369,SLN,CHN
HOU202007270,2020-07-27,HOU,SEA,0,0,6.75,5.79,1e-06,1e-06,HOU,HOU
BOS202007270,2020-07-27,BOS,NYN,0,0,6.38,6.62,1e-06,306.2037667286439,BOS,NYN
DET202007280,2020-07-28,DET,KCA,0,0,3.96,4.09,1e-06,1e-06,DET,DET
HOU202007280,2020-07-28,HOU,LAN,0,0,3.57,0.95,1e-06,2205.5170699182067,HOU,LAN
BOS202007280,2020-07-28,BOS,NYN,0,0,18.69,3.44,1e-06,1e-06,BOS,BOS
MIN202007280,2020-07-28,MIN,SLN,0,0,3.38,9.9,571.0232496384983,750.9189277472408,CHA,SLN
CLE202007282,2020-07-28,CLE,CHA,3,0,4.88,8.22,1e-06,494.38381964269325,CLE,CHA
CLE202007281,2020-07-28,CLE,CHA,2,0,4.74,4.01,1e-06,1e-06,CLE,CLE
CIN202007280,2020-07-28,CIN,CHN,0,0,4.5,4.48,1e-06,1e-06,CIN,CIN
ANA202007280,2020-07-28,ANA,SEA,0,0,4.5,3.58,592.0809005913671,2169.9670210701,OAK,HOU
PIT202007280,2020-07-28,PIT,MIL,0,0,3.63,11.57,1e-06,1e-06,PIT,PIT
TBA202007280,2020-07-28,TBA,ATL,0,0,2.7,5.21,1e-06,1e-06,TBA,TBA
OAK202007280,2020-07-28,OAK,COL,0,0,3.65,3.44,1e-06,2350.5503898425545,OAK,TEX
WAS202007280,2020-07-28,WAS,TOR,0,0,6.34,6.8,1e-06,1e-06,WAS,WAS
SFN202007280,2020-07-28,SFN,SDN,1,0,9.72,2.73,559.4406195325591,738.1265117326025,LAN,SDN
TEX202007280,2020-07-28,TEX,ARI,0,3,5.35,2.59,1e-06,1879.9176992056841,TEX,SDN
HOU202007290,2020-07-29,HOU,LAN,0,0,5.71,5.29,1e-06,1e-06,HOU,HOU
WAS202007290,2020-07-29,WAS,TOR,0,0,6.1,8.06,1e-06,1e-06,WAS,WAS
ATL202007290,2020-07-29,ATL,TBA,0,0,1.1,5.73,688.5440708416155,688.5440708416155,TBA,TBA
TEX202007290,2020-07-29,TEX,ARI,0,0,2.9,6.52,1e-06,1e-06,TEX,TEX
BAL202007290,2020-07-29,BAL,NYA,1,2,6.81,2.84,578.81170796599,55.02896457567408,BOS,WAS
CIN202007290,2020-07-29,CIN,CHN,0,0,3.7,2.88,1e-06,1e-06,CIN,CIN
CLE202007290,2020-07-29,CLE,CHA,0,0,2.05,0.96,1e-06,1e-06,CLE,CLE
MIN202007290,2020-07-29,MIN,SLN,1,0,3.03,4.96,1e-06,1e-06,MIN,MIN
NYN202007290,2020-07-29,NYN,BOS,1,0,3.66,9.0,306.2037667286439,306.2037667286439,BOS,BOS
DET202007290,2020-07-29,DET,KCA,0,1,1.66,9.0,1e-06,1e-06,DET,DET
OAK202007290,2020-07-29,OAK,COL,1,0,5.6,3.75,1e-06,1e-06,OAK,OAK
SFN202007290,2020-07-29,SFN,SDN,0,0,4.5,2.61,1e-06,1e-06,SFN,SFN
PIT202007290,2020-07-29,PIT,MIL,0,0,3.86,3.05,1e-06,1e-06,PIT,PIT
ANA202007290,2020-07-29,ANA,SEA,0,0,5.5,18.0,1e-06,1e-06,ANA,ANA
BAL202007300,2020-07-30,BAL,NYA,2,5,5.56,3.52,1e-06,1e-06,BAL,BAL
SFN202007300,2020-07-30,SFN,SDN,0,0,4.5,2.7,1e-06,1e-06,SFN,SFN
ARI202007300,2020-07-30,ARI,LAN,0,3,6.62,5.84,1401.854927086376,1630.8590123845936,TEX,HOU
ATL202007300,2020-07-30,ATL,TBA,0,0,2.25,3.56,1e-06,1e-06,ATL,ATL
DET202007300,2020-07-30,DET,KCA,1,1,3.03,1.91,1e-06,1e-06,DET,DET
NYN202007300,2020-07-30,NYN,BOS,0,0,9.68,4.5,1e-06,1e-06,NYN,NYN
MIN202007300,2020-07-30,MIN,CLE,0,0,4.0,1.63,1e-06,1013.2251113855248,MIN,CLE
WAS202007300,2020-07-30,WAS,TOR,0,1,7.61,2.69,1e-06,1e-06,WAS,WAS
ANA202007300,2020-07-30,ANA,SEA,0,3,3.29,3.1,1e-06,1e-06,ANA,ANA
ARI202007310,2020-07-31,ARI,LAN,0,0,7.65,3.86,1e-06,1e-06,ARI,ARI
CHN202007310,2020-07-31,CHN,PIT,0,0,2.01,6.18,406.25273298859213,660.0502267315369,CIN,PIT
COL202007310,2020-07-31,COL,SDN,2,0,20.77,5.63,1511.5030112237787,1524.5101947303656,OAK,SFN
ANA202007310,2020-07-31,ANA,HOU,0,0,4.5,6.75,1e-06,2169.9670210701,ANA,HOU
SFN202007310,2020-07-31,SFN,TEX,0,1,2.38,5.56,1e-06,2363.044634840767,SFN,TEX
ATL202007310,2020-07-31,ATL,NYN,2,0,2.3,5.15,1e-06,1200.4511584455877,ATL,NYN
DET202007310,2020-07-31,DET,CIN,0,0,3.97,3.21,1e-06,380.0544669682655,DET,CIN
MIN202007310,2020-07-31,MIN,CLE,3,0,4.05,3.02,1e-06,1e-06,MIN,MIN
KCA202007310,2020-07-31,KCA,CHA,0,0,4.32,1.99,1034.95696626315,1123.5230318083022,DET,CLE
NYA202007310,2020-07-31,NYA,BOS,0,0,5.11,4.4,272.81937803481173,1e-06,BAL,NYN
SEA202007310,2020-07-31,SEA,OAK,0,0,2.7,4.5,1575.276973597757,1089.6592015072615,ANA,OAK
BAL202007310,2020-07-31,BAL,TBA,0,1,2.45,2.7,1e-06,927.9028501726538,BAL,ATL
CHN202008010,2020-08-01,CHN,PIT,0,0,5.3,2.91,1e-06,1e-06,CHN,CHN
MIN202008010,2020-08-01,MIN,CLE,0,0,2.7,2.91,1e-06,1e-06,MIN,MIN
KCA202008010,2020-08-01,KCA,CHA,0,4,12.27,2.2,1e-06,1e-06,KCA,KCA
SEA202008010,2020-08-01,SEA,OAK,0,0,5.75,2.82,1e-06,1e-06,SEA,SEA
SFN202008010,2020-08-01,SFN,TEX,2,2,4.03,7.02,1e-06,1e-06,SFN,SFN
COL202008010,2020-08-01,COL,SDN,0,0,4.33,7.94,1e-06,1e-06,COL,COL
ANA202008010,2020-08-01,ANA,HOU,0,0,4.5,6.23,1e-06,1e-06,ANA,ANA
BAL202008010,2020-08-01,BAL,TBA,0,0,2.81,5.73,1e-06,1e-06,BAL,BAL
ATL202008010,2020-08-01,ATL,NYN,2,0,4.76,6.62,1e-06,1e-06,ATL,ATL
ARI202008010,2020-08-01,ARI,LAN,1,0,6.58,3.27,1e-06,1e-06,ARI,ARI
NYA202008010,2020-08-01,NYA,BOS,1,0,4.79,8.16,1e-06,1e-06,NYA,NYA
CHN202008020,2020-08-02,CHN,PIT,0,1,1.54,3.18,1e-06,1e-06,CHN,CHN
ANA202008020,2020-08-02,ANA,HOU,0,0,5.5,2.18,1e-06,1e-06,ANA,ANA
MIN202008020,2020-08-02,MIN,CLE,1,0,6.75,4.74,1e-06,1e-06,MIN,MIN
NYA202008020,2020-08-02,NYA,BOS,0,2,5.89,4.3,1e-06,1e-06,NYA,NYA
ATL202008020,2020-08-02,ATL,NYN,0,0,2.79,3.44,1e-06,1e-06,ATL,ATL
DET202008022,2020-08-02,DET,CIN,0,1,3.25,1.73,1e-06,1e-06,DET,DET
KCA202008020,2020-08-02,KCA,CHA,0,0,4.2,4.01,1e-06,1e-06,KCA,KCA
SFN202008020,2020-08-02,SFN,TEX,0,0,7.56,2.9,1e-06,1e-06,SFN,SFN
DET202008021,2020-08-02,DET,CIN,0,2,7.15,2.74,1e-06,1e-06,DET,DET
SEA202008020,2020-08-02,SEA,OAK,1,0,5.79,2.29,1e-06,1e-06,SEA,SEA
COL202008020,2020-08-02,COL,SDN,0,0,3.44,2.73,1e-06,1e-06,COL,COL
ARI202008020,2020-08-02,ARI,LAN,0,2,2.59,2.16,1e-06,1e-06,ARI,ARI
BAL202008020,2020-08-02,BAL,TBA,0,0,5.02,3.26,1e-06,1e-06,BAL,BAL
CIN202008030,2020-08-03,CIN,CLE,0,1,3.7,2.28,380.0544669682655,973.9884963018676,DET,MIN
MIN202008030,2020-08-03,MIN,PIT,0,1,4.05,3.86,1e-06,571.0232496384983,MIN,CHN
SDN202008030,2020-08-03,SDN,LAN,1,1,4.73,3.09,1340.7925092662401,481.0116378281714,COL,ARI
SEA202008030,2020-08-03,SEA,OAK,0,0,3.58,5.6,1e-06,1e-06,SEA,SEA
COL202008030,2020-08-03,COL,SFN,1,0,9.28,3.29,1e-06,1524.5101947303656,COL,SFN
CHN202008030,2020-08-03,CHN,KCA,0,0,4.48,4.95,1e-06,663.9206411727051,CHN,KCA
NYA202008030,2020-08-03,NYA,PHI,1,0,2.84,5.08,1e-06,129.48897528262268,NYA,PHI
MIL202008030,2020-08-03,MIL,CHA,1,2,6.53,3.2,722.0054120555708,707.8851314063497,PIT,KCA
ATL202008030,2020-08-03,ATL,NYN,0,0,3.95,2.38,1e-06,1e-06,ATL,ATL
TBA202008040,2020-08-04,TBA,BOS,0,0,4.74,3.72,1393.7772067986984,1638.0556824552712,BAL,NYA
SDN202008040,2020-08-04,SDN,LAN,0,0,5.63,2.57,1e-06,1e-06,SDN,SDN
OAK202008040,2020-08-04,OAK,TEX,0,0,1.78,6.35,1089.6592015072615,13.027453191410114,SEA,SFN
SEA202008040,2020-08-04,SEA,ANA,0,3,4.34,4.46,1e-06,1575.276973597757,SEA,ANA
CHN202008040,2020-08-04,CHN,KCA,0,0,2.88,4.06,1e-06,1e-06,CHN,CHN
ARI202008040,2020-08-04,ARI,HOU,0,1,6.48,3.48,1e-06,540.0297061463508,ARI,ANA
ATL202008040,2020-08-04,ATL,TOR,0,0,2.25,4.71,1e-06,874.0887985860761,ATL,WAS
MIN202008040,2020-08-04,MIN,PIT,3,0,4.0,3.86,1e-06,1e-06,MIN,MIN
MIL202008040,2020-08-04,MIL,CHA,0,0,0.33,3.48,1e-06,1e-06,MIL,MIL
COL202008040,2020-08-04,COL,SFN,1,0,3.75,3.62,1e-06,1e-06,COL,COL
CIN202008040,2020-08-04,CIN,CLE,1,0,6.27,1.63,1e-06,1e-06,CIN,CIN
WAS202008040,2020-08-04,WAS,NYN,1,0,4.66,9.68,1e-06,874.0887985860761,WAS,ATL
BAL202008040,2020-08-04,BAL,MIA,0,0,4.53,3.61,1e-06,144.5656230575587,BAL,PHI
COL202008050,2020-08-05,COL,SFN,1,0,6.69,5.47,1e-06,1e-06,COL,COL
ATL202008050,2020-08-05,ATL,TOR,0,0,11.2,2.69,1e-06,1e-06,ATL,ATL
OAK202008050,2020-08-05,OAK,TEX,2,1,4.35,6.57,1e-06,1e-06,OAK,OAK
WAS202008050,2020-08-05,WAS,NYN,1,1,4.29,5.64,1e-06,1e-06,WAS,WAS
SDN202008050,2020-08-05,SDN,LAN,0,0,4.03,5.84,1e-06,1e-06,SDN,SDN
KCA202008050,2020-08-05,KCA,CHN,0,0,4.32,2.01,663.9206411727051,663.9206411727051,CHN,CHN
BAL202008052,2020-08-05,BAL,MIA,0,2,6.81,9.64,1e-06,1e-06,BAL,BAL
BAL202008051,2020-08-05,BAL,MIA,0,0,4.3,4.43,1e-06,1e-06,BAL,BAL
ARI202008050,2020-08-05,ARI,HOU,0,0,6.62,3.93,1e-06,1e-06,ARI,ARI
SEA202008050,2020-08-05,SEA,ANA,0,0,3.1,10.05,1e-06,1e-06,SEA,SEA
TBA202008050,2020-08-05,TBA,BOS,0,0,3.56,4.5,1e-06,1e-06,TBA,TBA
PHI202008052,2020-08-05,PHI,NYA,0,0,4.01,5.89,129.48897528262268,129.48897528262268,NYA,NYA
CHA202008050,2020-08-05,CHA,MIL,0,0,1.99,5.3,132.54357794550742,132.54357794550742,MIL,MIL
CLE202008050,2020-08-05,CLE,CIN,0,0,3.02,2.8,358.1075548344512,358.1075548344512,CIN,CIN
PIT202008050,2020-08-05,PIT,MIN,0,0,6.18,4.05,1195.8388614672979,1195.8388614672979,MIN,MIN
PHI202008051,2020-08-05,PHI,NYA,0,1,2.92,3.47,1e-06,1e-06,PHI,PHI
ARI202008060,2020-08-06,ARI,HOU,0,0,3.04,3.43,1e-06,1e-06,ARI,ARI
PHI202008060,2020-08-06,PHI,NYA,3,0,8.59,5.11,1e-06,1e-06,PHI,PHI
ATL202008060,2020-08-06,ATL,TOR,2,0,2.78,9.92,1e-06,1e-06,ATL,ATL
KCA202008060,2020-08-06,KCA,CHN,1,0,2.47,5.3,1e-06,1e-06,KCA,KCA
CLE202008060,2020-08-06,CLE,CIN,1,0,2.91,3.21,1e-06,1e-06,CLE,CLE
CHA202008060,2020-08-06,CHA,MIL,0,0,4.83,5.16,1e-06,1e-06,CHA,CHA
OAK202008060,2020-08-06,OAK,TEX,0,0,4.58,5.56,1e-06,1e-06,OAK,OAK
PIT202008060,2020-08-06,PIT,MIN,0,3,3.86,4.05,1e-06,1e-06,PIT,PIT
COL202008060,2020-08-06,COL,SFN,0,0,2.93,5.4,1e-06,1e-06,COL,COL
SEA202008060,2020-08-06,SEA,ANA,0,0,2.7,3.29,1e-06,1e-06,SEA,SEA
BAL202008060,2020-08-06,BAL,MIA,0,1,5.02,0.0,1e-06,1e-06,BAL,BAL
