game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,innings,tiebreaker,umphome,ump1b,ump2b,ump3b,umplf,umprf,inputtime,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
OAK202007240,ANA,OAK,OAK01,2020/07/24,0,7:10PM,night,true,9,2,knigb901,muchm901,woodt901,hamaa901,(none),(none),2020/07/25 09:04:28,unknown,pitches,thomc701,63,unknown,13,unknown,none,cloudy,226,0,smitb005,roblh001,,
OAK202007250,ANA,OAK,OAK01,2020/07/25,0,1:10PM,day,true,9,2,muchm901,woodt901,hamaa901,knigb901,(none),(none),2020/07/26 11:19:07,unknown,pitches,ducam701,75,torf,12,unknown,none,sunny,147,0,bundd001,manas001,roblh001,
OAK202007260,ANA,OAK,OAK01,2020/07/26,0,1:10PM,day,true,9,2,hudsm901,hamaa901,knigb901,muchm901,(none),(none),2020/07/27 07:39:25,unknown,pitches,thomc701,73,torf,7,unknown,none,cloudy,182,0,petiy001,ohtas001,hendl001,
OAK202007270,ANA,OAK,OAK01,2020/07/27,0,12:40PM,day,true,9,2,hamaa901,knigb901,muchm901,hudsm901,(none),(none),2020/07/28 06:47:58,unknown,pitches,ducam701,68,unknown,10,unknown,none,sunny,179,0,smitb005,canng001,sorij001,
OAK202007280,COL,OAK,OAK01,2020/07/28,0,6:40PM,night,true,9,2,libkj901,reynj901,wolfj901,barrl901,(none),(none),2020/07/29 10:15:07,unknown,pitches,younj701,67,unknown,9,unknown,none,sunny,178,0,senza001,mengd001,,
OAK202007290,COL,OAK,OAK01,2020/07/29,0,12:40PM,day,true,9,2,reynj901,wolfj901,barrl901,libkj901,(none),(none),2020/07/30 09:21:10,unknown,pitches,thomc701,70,ltor,9,unknown,none,cloudy,175,0,marqg001,montf001,,
OAK202008040,TEX,OAK,OAK01,2020/08/04,0,6:10PM,night,true,9,2,drakr901,millb901,mosce901,eddid901,(none),(none),2020/08/05 07:16:47,unknown,pitches,ducam701,63,ltor,12,unknown,none,cloudy,172,0,hendl001,volqe001,,
OAK202008050,TEX,OAK,OAK01,2020/08/05,0,6:10PM,night,true,9,2,millb901,mosce901,eddid901,drakr901,(none),(none),2020/08/06 07:05:45,unknown,pitches,ducam701,63,unknown,5,unknown,none,cloudy,175,0,mcfat001,gibai001,sorij001,
OAK202008060,TEX,OAK,OAK01,2020/08/06,0,12:40PM,day,true,9,2,mosce901,eddid901,drakr901,millb901,(none),(none),2020/08/07 14:36:04,unknown,pitches,feldd701,70,torf,11,unknown,none,sunny,159,0,fierm001,minom001,hendl001,
OAK202008070,HOU,OAK,OAK01,2020/08/07,0,6:10PM,night,true,9,2,johna901,wolcq901,mahrn901,barrt901,(none),(none),2020/08/08 09:22:19,unknown,pitches,thomc701,70,unknown,13,unknown,none,sunny,253,0,wendj001,sneec001,,
OAK202008080,HOU,OAK,OAK01,2020/08/08,0,1:10PM,day,true,9,2,wolcq901,mahrn901,barrt901,johna901,(none),(none),2020/08/09 06:37:42,unknown,pitches,ducam701,75,unknown,4,unknown,none,cloudy,144,0,montf001,valdf001,hendl001,
OAK202008090,HOU,OAK,OAK01,2020/08/09,0,1:10PM,day,true,9,2,mahrn901,barrt901,johna901,wolcq901,(none),(none),2020/08/10 09:03:01,unknown,pitches,ducam701,79,ltor,12,unknown,none,sunny,178,0,luzaj001,javic001,smitb005,
OAK202008190,ARI,OAK,OAK01,2020/08/19,0,6:40PM,night,true,9,2,moorm901,hudsm901,knigb901,muchm901,(none),(none),2020/08/20 06:23:54,unknown,pitches,thomc701,79,unknown,14,unknown,none,sunny,177,0,luzaj001,kellm002,hendl001,
OAK202008200,ARI,OAK,OAK01,2020/08/20,0,6:40PM,night,true,9,2,hudsm901,knigb901,muchm901,moorm901,(none),(none),2020/08/21 06:50:51,unknown,pitches,feldd701,73,unknown,12,unknown,none,cloudy,169,0,manas001,youna002,,
OAK202008210,ANA,OAK,OAK01,2020/08/21,0,6:40PM,night,true,9,2,morag901,libkj901,reynj901,barrl901,(none),(none),2020/08/22 08:53:58,unknown,pitches,thomc701,77,ltor,14,unknown,none,sunny,187,0,fierm001,heana001,hendl001,
OAK202008220,ANA,OAK,OAK01,2020/08/22,0,1:10PM,day,true,9,2,libkj901,reynj901,barrl901,morag901,(none),(none),2020/08/23 06:33:22,unknown,pitches,ducam701,80,ltor,10,unknown,none,sunny,186,0,andrm001,bassc001,buttt001,
OAK202008230,ANA,OAK,OAK01,2020/08/23,0,1:10PM,day,true,9,2,reynj901,barrl901,morag901,libkj901,(none),(none),2020/08/24 09:06:34,unknown,pitches,thomc701,70,ltor,12,unknown,none,cloudy,220,0,hendl001,buttt001,,
OAK202009040,SDN,OAK,OAK01,2020/09/04,0,6:40PM,night,true,9,2,rippm901,wolcq901,mahrn901,barrt901,(none),(none),2020/09/05 07:54:12,unknown,pitches,thomc701,72,ltor,9,unknown,none,sunny,161,0,daviz001,luzaj001,,
OAK202009050,SDN,OAK,OAK01,2020/09/05,0,1:07PM,day,true,9,2,wolcq901,mahrn901,johna901,rippm901,(none),(none),2020/09/06 08:20:51,unknown,pitches,feldd701,81,ltor,8,unknown,none,sunny,180,0,manas001,paddc001,,
OAK202009060,SDN,OAK,OAK01,2020/09/06,0,1:10PM,day,true,9,2,mahrn901,johna901,barrt901,wolcq901,(none),(none),2020/09/07 07:04:24,unknown,pitches,thomc701,94,ltor,7,unknown,none,sunny,184,0,richg002,fierm001,roset001,
OAK202009070,HOU,OAK,OAK01,2020/09/07,0,6:10PM,night,true,9,2,johna901,barrt901,rippm901,wolcq901,(none),(none),2020/09/08 05:47:25,unknown,pitches,younj701,86,tocf,12,unknown,none,sunny,175,0,bassc001,javic001,,
OAK202009081,HOU,OAK,OAK01,2020/09/08,1,3:10PM,day,true,7,2,barrt901,wolcq901,mahrn901,willl901,(none),(none),2020/09/09 07:25:32,unknown,pitches,blour701,82,unknown,8,unknown,none,cloudy,143,0,montf001,greiz001,hendl001,true
OAK202009082,HOU,OAK,OAK01,2020/09/08,2,6:20PM,night,true,7,2,rippm901,mahrn901,willl901,barrt901,(none),(none),2020/09/09 07:25:32,unknown,pitches,ducam701,73,unknown,6,unknown,none,cloudy,172,0,paree003,wendj001,presr001,
OAK202009090,HOU,OAK,OAK01,2020/09/09,0,6:10PM,night,true,9,2,mahrn901,wolcq901,barrt901,rippm901,(none),(none),2020/09/10 06:39:25,unknown,pitches,younj701,60,fromlf,6,unknown,none,cloudy,173,0,hendl001,presr001,,
OAK202009100,HOU,OAK,OAK01,2020/09/10,0,12:40PM,day,true,9,2,wolcq901,johna901,barrt901,rippm901,(none),(none),2020/09/11 06:52:55,unknown,pitches,feldd701,66,torf,2,unknown,none,overcast,138,0,manas001,urquj001,hendl001,
OAK202009180,SFN,OAK,OAK01,2020/09/18,0,6:40PM,night,true,9,2,marqa901,morag901,guccc901,blasc901,(none),(none),2020/09/19 09:12:13,unknown,pitches,feldd701,70,torf,14,unknown,none,cloudy,173,0,bassc001,webbl001,,
OAK202009190,SFN,OAK,OAK01,2020/09/19,0,1:10PM,day,true,9,2,morag901,guccc901,blasc901,marqa901,(none),(none),2020/09/20 08:51:11,unknown,pitches,thomc701,72,torf,7,unknown,none,sunny,154,0,luzaj001,gausk001,,
OAK202009200,SFN,OAK,OAK01,2020/09/20,0,1:10PM,day,true,9,2,guccc901,blasc901,marqa901,morag901,(none),(none),2020/09/21 06:14:17,unknown,pitches,thomc701,82,unknown,3,unknown,none,sunny,201,0,andet002,minom001,,
OAK202009250,SEA,OAK,OAK01,2020/09/25,0,6:40PM,night,true,9,2,barrt901,rippm901,wolcq901,johna901,(none),(none),2020/09/26 08:40:58,unknown,pitches,younj701,70,torf,7,unknown,none,cloudy,188,0,diekj001,gerbj001,,
OAK202009261,SEA,OAK,OAK01,2020/09/26,1,1:10PM,day,true,7,2,rippm901,willl901,johna901,barrt901,(none),(none),2020/09/27 07:39:23,unknown,pitches,younj701,79,torf,10,unknown,none,sunny,159,0,gravk001,hendl001,,
OAK202009262,SEA,OAK,OAK01,2020/09/26,2,4:35PM,day,true,7,2,wolcq901,johna901,barrt901,willl901,(none),(none),2020/09/27 07:39:23,unknown,pitches,padud701,81,torf,14,unknown,none,cloudy,135,0,dunnj002,blacp001,,true
OAK202009270,SEA,OAK,OAK01,2020/09/27,0,12:10PM,day,true,9,2,johna901,barrt901,rippm901,wolcq901,(none),(none),2020/09/28 06:57:33,unknown,pitches,younj701,81,fromcf,5,unknown,none,sunny,186,0,petiy001,hiray001,,
COL202007310,SDN,COL,DEN02,2020/07/31,0,6:10PM,night,true,9,2,hudsm901,knigb901,hamaa901,woodt901,(none),(none),2020/08/01 07:52:46,unknown,pitches,einsd701,87,fromcf,7,unknown,none,cloudy,217,0,stamc001,daviw001,pomed001,
