Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA▲,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1.0,Shane Bieber,25.0,CLE,AL,3.2,8.0,1.0,0.889,1.63,12.0,12.0,0.0,0.0,0.0,0.0,77.1,46.0,15.0,14.0,7.0,21.0,0.0,122.0,1.0,0.0,5.0,297.0,273,2.07,0.866,5.4,0.8,2.4,14.2,5.81,CYA-1MVP-4,biebs001
2.0,Trevor Bauer,29.0,CIN,NL,3.0,5.0,4.0,0.556,1.73,11.0,11.0,0.0,2.0,2.0,0.0,73.0,41.0,17.0,14.0,9.0,17.0,1.0,100.0,3.0,0.0,3.0,278.0,284,2.88,0.795,5.1,1.1,2.1,12.3,5.88,CYA-1MVP-10,bauet001
3.0,Dallas Keuchel,32.0,CHW,AL,2.1,6.0,2.0,0.75,1.99,11.0,11.0,0.0,0.0,0.0,0.0,63.1,52.0,15.0,14.0,2.0,17.0,0.0,42.0,0.0,0.0,0.0,257.0,224,3.08,1.089,7.4,0.3,2.4,6.0,2.47,CYA-5MVP-17,keucd001
4.0,Yu Darvish,33.0,CHC,NL,2.8,8.0,3.0,0.727,2.01,12.0,12.0,0.0,0.0,0.0,0.0,76.0,59.0,18.0,17.0,5.0,14.0,1.0,93.0,2.0,0.0,3.0,297.0,224,2.23,0.961,7.0,0.6,1.7,11.0,6.64,CYA-2MVP-14,darvy001
5.0,Dinelson Lamet,27.0,SDP,NL,2.3,3.0,1.0,0.75,2.09,12.0,12.0,0.0,0.0,0.0,0.0,69.0,39.0,18.0,16.0,5.0,20.0,0.0,93.0,4.0,0.0,1.0,267.0,201,2.48,0.855,5.1,0.7,2.6,12.1,4.65,CYA-4,lamed001
6.0,Chris Bassitt,31.0,OAK,AL,2.1,5.0,2.0,0.714,2.29,11.0,11.0,0.0,0.0,0.0,0.0,63.0,56.0,18.0,16.0,6.0,17.0,0.0,55.0,2.0,0.0,2.0,261.0,183,3.59,1.159,8.0,0.9,2.4,7.9,3.24,CYA-8,bassc001
7.0,Jacob deGrom,32.0,NYM,NL,2.6,4.0,2.0,0.667,2.38,12.0,12.0,0.0,0.0,0.0,0.0,68.0,47.0,21.0,18.0,7.0,18.0,0.0,104.0,0.0,0.0,4.0,268.0,180,2.26,0.956,6.2,0.9,2.4,13.8,5.78,CYA-3,degrj001
8.0,Hyun Jin Ryu,33.0,TOR,AL,2.9,5.0,2.0,0.714,2.69,12.0,12.0,0.0,0.0,0.0,0.0,67.0,60.0,22.0,20.0,6.0,17.0,0.0,72.0,1.0,0.0,1.0,275.0,164,3.01,1.149,8.1,0.8,2.3,9.7,4.24,CYA-3MVP-13,ryu-h001
9.0,Kenta Maeda,32.0,MIN,AL,1.6,6.0,1.0,0.857,2.7,11.0,11.0,0.0,0.0,0.0,0.0,66.2,40.0,20.0,20.0,9.0,10.0,0.0,80.0,0.0,0.0,0.0,248.0,160,3.0,0.75,5.4,1.2,1.4,10.8,8.0,CYA-2,maedk001
10.0,Zach Davies,27.0,SDP,NL,1.7,7.0,4.0,0.636,2.73,12.0,12.0,0.0,0.0,0.0,0.0,69.1,55.0,26.0,21.0,9.0,19.0,0.0,63.0,0.0,0.0,2.0,276.0,154,3.88,1.067,7.1,1.2,2.5,8.2,3.32,,daviz001
11.0,Zac Gallen,24.0,ARI,NL,2.5,3.0,2.0,0.6,2.75,12.0,12.0,0.0,0.0,0.0,0.0,72.0,55.0,24.0,22.0,9.0,25.0,0.0,82.0,2.0,0.0,4.0,291.0,164,3.66,1.111,6.9,1.1,3.1,10.3,3.28,CYA-9,gallz001
12.0,Gerrit Cole,29.0,NYY,AL,2.2,7.0,3.0,0.7,2.84,12.0,12.0,0.0,2.0,1.0,0.0,73.0,53.0,27.0,23.0,14.0,17.0,0.0,94.0,2.0,0.0,2.0,288.0,151,3.89,0.959,6.5,1.7,2.1,11.6,5.53,CYA-4,coleg001
13.0,Kyle Hendricks,30.0,CHC,NL,2.0,6.0,5.0,0.545,2.88,12.0,12.0,0.0,1.0,1.0,0.0,81.1,73.0,26.0,26.0,10.0,8.0,1.0,64.0,1.0,0.0,1.0,315.0,156,3.55,0.996,8.1,1.1,0.9,7.1,8.0,CYA-9,hendk001
14.0,Carlos Carrasco,33.0,CLE,AL,1.5,3.0,4.0,0.429,2.91,12.0,12.0,0.0,0.0,0.0,0.0,68.0,55.0,22.0,22.0,8.0,27.0,0.0,82.0,2.0,0.0,6.0,280.0,153,3.59,1.206,7.3,1.1,3.6,10.9,3.04,,carrc003
15.0,Zack Wheeler,30.0,PHI,NL,2.8,4.0,2.0,0.667,2.92,11.0,11.0,0.0,0.0,0.0,0.0,71.0,67.0,26.0,23.0,3.0,16.0,2.0,53.0,7.0,0.0,0.0,288.0,154,3.22,1.169,8.5,0.4,2.0,6.7,3.31,CYA-12,wheez001
16.0,Brandon Woodruff,27.0,MIL,NL,2.1,3.0,5.0,0.375,3.05,13.0,13.0,0.0,1.0,0.0,0.0,73.2,55.0,26.0,25.0,9.0,18.0,0.0,91.0,4.0,0.0,1.0,293.0,149,3.2,0.991,6.7,1.1,2.2,11.1,5.06,,woodb005
17.0,Marco Gonzales,28.0,SEA,AL,1.5,7.0,2.0,0.778,3.1,11.0,11.0,0.0,1.0,0.0,0.0,69.2,59.0,27.0,24.0,8.0,7.0,0.0,64.0,4.0,0.0,0.0,277.0,138,3.32,0.947,7.6,1.0,0.9,8.3,9.14,,gonzm005
18.0,Adam Wainwright,38.0,STL,NL,0.5,5.0,3.0,0.625,3.15,10.0,10.0,0.0,2.0,0.0,0.0,65.2,54.0,25.0,23.0,9.0,15.0,0.0,54.0,2.0,0.0,0.0,262.0,133,4.1,1.051,7.4,1.2,2.1,7.4,3.6,,waina001
19.0,Luis Castillo,27.0,CIN,NL,1.1,4.0,6.0,0.4,3.21,12.0,12.0,0.0,1.0,0.0,0.0,70.0,62.0,31.0,25.0,5.0,24.0,0.0,89.0,1.0,0.0,1.0,292.0,153,2.65,1.229,8.0,0.6,3.1,11.4,3.71,,castl003
20.0,Aaron Nola,27.0,PHI,NL,2.2,5.0,5.0,0.5,3.28,12.0,12.0,0.0,2.0,1.0,0.0,71.1,54.0,31.0,26.0,9.0,23.0,2.0,96.0,2.0,0.0,1.0,289.0,137,3.19,1.079,6.8,1.1,2.9,12.1,4.17,CYA-7,nolaa001
21.0,Dylan Bundy,27.0,LAA,AL,1.7,6.0,3.0,0.667,3.29,11.0,11.0,0.0,1.0,0.0,0.0,65.2,51.0,27.0,24.0,5.0,17.0,1.0,72.0,4.0,0.0,2.0,267.0,138,2.95,1.036,7.0,0.7,2.3,9.9,4.24,CYA-9,bundd001
22.0,Lance Lynn,33.0,TEX,AL,2.2,6.0,3.0,0.667,3.32,13.0,13.0,0.0,1.0,0.0,0.0,84.0,64.0,34.0,31.0,13.0,25.0,0.0,89.0,6.0,0.0,2.0,344.0,135,4.19,1.06,6.9,1.4,2.7,9.5,3.56,CYA-6,lynnl001
23.0,Antonio Senzatela,25.0,COL,NL,2.5,5.0,3.0,0.625,3.44,12.0,12.0,0.0,1.0,0.0,0.0,73.1,71.0,29.0,28.0,9.0,18.0,0.0,41.0,4.0,0.0,0.0,303.0,151,4.57,1.214,8.7,1.1,2.2,5.0,2.28,,senza001
24.0,Lucas Giolito,25.0,CHW,AL,0.8,4.0,3.0,0.571,3.48,12.0,12.0,0.0,1.0,1.0,0.0,72.1,47.0,31.0,28.0,8.0,28.0,0.0,97.0,2.0,0.0,3.0,288.0,128,3.19,1.037,5.8,1.0,3.5,12.1,3.46,CYA-7,gioll001
25.0,Framber Valdez,26.0,HOU,AL,1.2,5.0,3.0,0.625,3.57,11.0,10.0,0.0,0.0,0.0,0.0,70.2,63.0,32.0,28.0,5.0,16.0,0.0,76.0,5.0,1.0,6.0,288.0,125,2.85,1.118,8.0,0.6,2.0,9.7,4.75,CYA-11,valdf001
26.0,Max Scherzer,35.0,WSN,NL,2.2,5.0,4.0,0.556,3.74,12.0,12.0,0.0,1.0,0.0,0.0,67.1,70.0,30.0,28.0,10.0,23.0,1.0,92.0,1.0,0.0,6.0,295.0,119,3.46,1.381,9.4,1.3,3.1,12.3,4.0,,schem001
27.0,Germán Márquez,25.0,COL,NL,1.4,4.0,6.0,0.4,3.75,13.0,13.0,0.0,0.0,0.0,0.0,81.2,78.0,41.0,34.0,6.0,25.0,0.0,73.0,0.0,0.0,4.0,344.0,138,3.28,1.261,8.6,0.7,2.8,8.0,2.92,,marqg001
28.0,José Berríos,26.0,MIN,AL,0.7,5.0,4.0,0.556,4.0,12.0,12.0,0.0,0.0,0.0,0.0,63.0,57.0,28.0,28.0,8.0,26.0,0.0,68.0,3.0,0.0,5.0,271.0,108,4.06,1.317,8.1,1.1,3.7,9.7,2.62,,berrj001
29.0,Zack Greinke,36.0,HOU,AL,1.1,3.0,3.0,0.5,4.03,12.0,12.0,0.0,0.0,0.0,0.0,67.0,67.0,30.0,30.0,6.0,9.0,0.0,67.0,1.0,0.0,3.0,273.0,110,2.8,1.134,9.0,0.8,1.2,9.0,7.44,,greiz001
30.0,Brady Singer,23.0,KCR,AL,1.1,4.0,5.0,0.444,4.06,12.0,12.0,0.0,0.0,0.0,0.0,64.1,52.0,29.0,29.0,8.0,23.0,0.0,61.0,2.0,1.0,5.0,263.0,115,4.08,1.166,7.3,1.1,3.2,8.5,2.65,ROY-8,singb001
31.0,Kyle Freeland,27.0,COL,NL,1.9,2.0,3.0,0.4,4.33,13.0,13.0,0.0,0.0,0.0,0.0,70.2,77.0,34.0,34.0,9.0,23.0,0.0,46.0,3.0,0.0,0.0,304.0,120,4.65,1.415,9.8,1.1,2.9,5.9,2.0,,freek001
32.0,Andrew Heaney,29.0,LAA,AL,1.2,4.0,3.0,0.571,4.46,12.0,12.0,0.0,0.0,0.0,0.0,66.2,63.0,35.0,33.0,9.0,19.0,1.0,70.0,2.0,0.0,2.0,279.0,102,3.79,1.23,8.5,1.2,2.6,9.5,3.68,,heana001
33.0,Alec Mills,28.0,CHC,NL,0.2,5.0,5.0,0.5,4.48,11.0,11.0,0.0,1.0,1.0,0.0,62.1,53.0,31.0,31.0,13.0,19.0,0.0,46.0,2.0,1.0,0.0,252.0,101,5.44,1.155,7.7,1.9,2.7,6.6,2.42,,milla003
34.0,Martín Pérez,29.0,BOS,AL,1.2,3.0,5.0,0.375,4.5,12.0,12.0,0.0,0.0,0.0,0.0,62.0,55.0,33.0,31.0,8.0,28.0,0.0,46.0,3.0,0.0,2.0,262.0,107,4.88,1.339,8.0,1.2,4.1,6.7,1.64,,perem004
35.0,Patrick Corbin,30.0,WSN,NL,1.7,2.0,7.0,0.222,4.66,11.0,11.0,0.0,0.0,0.0,0.0,65.2,85.0,35.0,34.0,10.0,18.0,1.0,60.0,0.0,1.0,1.0,295.0,96,4.17,1.569,11.6,1.4,2.5,8.2,3.33,,corbp001
36.0,Aaron Civale,25.0,CLE,AL,0.2,4.0,6.0,0.4,4.74,12.0,12.0,0.0,1.0,0.0,0.0,74.0,82.0,39.0,39.0,11.0,16.0,0.0,69.0,3.0,1.0,0.0,312.0,94,4.03,1.324,10.0,1.3,1.9,8.4,4.31,,civaa001
37.0,Jon Lester,36.0,CHC,NL,-0.2,3.0,3.0,0.5,5.16,12.0,12.0,0.0,0.0,0.0,0.0,61.0,64.0,35.0,35.0,11.0,17.0,0.0,42.0,3.0,0.0,2.0,265.0,87,5.14,1.328,9.4,1.6,2.5,6.2,2.47,,lestj001
38.0,Kyle Gibson,32.0,TEX,AL,-0.1,2.0,6.0,0.25,5.35,12.0,12.0,0.0,1.0,1.0,0.0,67.1,73.0,44.0,40.0,12.0,30.0,1.0,58.0,6.0,0.0,1.0,301.0,84,5.39,1.53,9.8,1.6,4.0,7.8,1.93,,gibsk002
39.0,Johnny Cueto,34.0,SFG,NL,0.1,2.0,3.0,0.4,5.4,12.0,12.0,0.0,0.0,0.0,0.0,63.1,61.0,41.0,38.0,9.0,26.0,0.0,56.0,3.0,2.0,1.0,277.0,79,4.64,1.374,8.7,1.3,3.7,8.0,2.15,,cuetj001
40.0,Matthew Boyd,29.0,DET,AL,-0.6,3.0,7.0,0.3,6.71,12.0,12.0,0.0,1.0,0.0,0.0,60.1,67.0,46.0,45.0,15.0,22.0,0.0,60.0,5.0,0.0,5.0,271.0,68,5.78,1.475,10.0,2.2,3.3,9.0,2.73,,boydm001
