game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_travel,vis_travel,home_last_location,visiting_last_location
ANA202104020,2021-04-02,ANA,CHA,1,0,1e-06,1e-06,ANA,ANA
SDN202104020,2021-04-02,SDN,ARI,0,0,1e-06,1e-06,SDN,SDN
MIA202104020,2021-04-02,MIA,TBA,0,0,1e-06,1e-06,MIA,MIA
COL202104020,2021-04-02,COL,LAN,0,2,1e-06,1e-06,COL,COL
SEA202104020,2021-04-02,SEA,SFN,0,0,1e-06,1e-06,SEA,SEA
OAK202104020,2021-04-02,OAK,HOU,0,0,1e-06,1e-06,OAK,OAK
COL202104030,2021-04-03,COL,LAN,0,0,1e-06,1e-06,COL,COL
DET202104030,2021-04-03,DET,CLE,2,0,1e-06,1e-06,DET,DET
SDN202104030,2021-04-03,SDN,ARI,2,0,1e-06,1e-06,SDN,SDN
PHI202104030,2021-04-03,PHI,ATL,0,0,1e-06,1e-06,PHI,PHI
BOS202104030,2021-04-03,BOS,BAL,0,0,1e-06,1e-06,BOS,BOS
CIN202104030,2021-04-03,CIN,SLN,0,0,1e-06,1e-06,CIN,CIN
SEA202104030,2021-04-03,SEA,SFN,0,0,1e-06,1e-06,SEA,SEA
OAK202104030,2021-04-03,OAK,HOU,1,1,1e-06,1e-06,OAK,OAK
KCA202104030,2021-04-03,KCA,TEX,0,2,1e-06,1e-06,KCA,KCA
ANA202104030,2021-04-03,ANA,CHA,0,0,1e-06,1e-06,ANA,ANA
MIA202104030,2021-04-03,MIA,TBA,1,0,1e-06,1e-06,MIA,MIA
CHN202104030,2021-04-03,CHN,PIT,0,1,1e-06,1e-06,CHN,CHN
NYA202104030,2021-04-03,NYA,TOR,0,0,1e-06,1e-06,NYA,NYA
MIL202104030,2021-04-03,MIL,MIN,0,0,1e-06,1e-06,MIL,MIL
MIL202104040,2021-04-04,MIL,MIN,0,1,1e-06,1e-06,MIL,MIL
KCA202104040,2021-04-04,KCA,TEX,0,0,1e-06,1e-06,KCA,KCA
BOS202104040,2021-04-04,BOS,BAL,0,3,1e-06,1e-06,BOS,BOS
SDN202104040,2021-04-04,SDN,ARI,0,2,1e-06,1e-06,SDN,SDN
CIN202104040,2021-04-04,CIN,SLN,0,0,1e-06,1e-06,CIN,CIN
PHI202104040,2021-04-04,PHI,ATL,0,0,1e-06,1e-06,PHI,PHI
ANA202104040,2021-04-04,ANA,CHA,2,0,1e-06,1e-06,ANA,ANA
COL202104040,2021-04-04,COL,LAN,0,3,1e-06,1e-06,COL,COL
OAK202104040,2021-04-04,OAK,HOU,1,1,1e-06,1e-06,OAK,OAK
NYA202104040,2021-04-04,NYA,TOR,0,0,1e-06,1e-06,NYA,NYA
CHN202104040,2021-04-04,CHN,PIT,2,0,1e-06,1e-06,CHN,CHN
DET202104040,2021-04-04,DET,CLE,2,1,1e-06,1e-06,DET,DET
CHN202104050,2021-04-05,CHN,MIL,0,0,1e-06,132.54357794550742,CHN,MIL
SDN202104050,2021-04-05,SDN,SFN,0,0,1e-06,1711.8059777853623,SDN,SEA
CLE202104050,2021-04-05,CLE,KCA,0,0,145.52553501827433,1123.5230318083022,DET,KCA
DET202104050,2021-04-05,DET,MIN,0,1,1e-06,408.26325353446157,DET,MIL
BOS202104050,2021-04-05,BOS,TBA,0,0,1e-06,2024.1956124919243,BOS,MIA
MIA202104050,2021-04-05,MIA,SLN,0,3,1e-06,1534.6263109130673,MIA,CIN
CIN202104050,2021-04-05,CIN,PIT,0,2,1e-06,406.25273298859213,CIN,CHN
TEX202104050,2021-04-05,TEX,TOR,0,1,738.3603208647532,2225.551415128663,KCA,NYA
SEA202104050,2021-04-05,SEA,CHA,0,0,1e-06,1575.276973597757,SEA,ANA
OAK202104050,2021-04-05,OAK,LAN,0,0,1e-06,1511.5030112237787,OAK,COL
NYA202104050,2021-04-05,NYA,BAL,0,0,1e-06,306.2037667286439,NYA,BOS
ANA202104050,2021-04-05,ANA,HOU,0,3,1e-06,592.0809005913671,ANA,OAK
BOS202104060,2021-04-06,BOS,TBA,1,0,1e-06,1e-06,BOS,BOS
DET202104060,2021-04-06,DET,MIN,0,0,1e-06,1e-06,DET,DET
ANA202104060,2021-04-06,ANA,HOU,2,0,1e-06,1e-06,ANA,ANA
PHI202104060,2021-04-06,PHI,NYN,0,0,1e-06,1e-06,PHI,PHI
OAK202104060,2021-04-06,OAK,LAN,1,0,1e-06,1e-06,OAK,OAK
TEX202104060,2021-04-06,TEX,TOR,2,1,1e-06,1e-06,TEX,TEX
COL202104060,2021-04-06,COL,ARI,0,0,1e-06,1340.7925092662401,COL,SDN
MIA202104060,2021-04-06,MIA,SLN,1,0,1e-06,1e-06,MIA,MIA
NYA202104060,2021-04-06,NYA,BAL,0,0,1e-06,1e-06,NYA,NYA
SEA202104060,2021-04-06,SEA,CHA,0,0,1e-06,1e-06,SEA,SEA
CHN202104060,2021-04-06,CHN,MIL,0,3,1e-06,1e-06,CHN,CHN
CIN202104060,2021-04-06,CIN,PIT,1,0,1e-06,1e-06,CIN,CIN
SDN202104060,2021-04-06,SDN,SFN,0,0,1e-06,1e-06,SDN,SDN
CIN202104070,2021-04-07,CIN,PIT,5,0,1e-06,1e-06,CIN,CIN
PHI202104070,2021-04-07,PHI,NYN,4,0,1e-06,1e-06,PHI,PHI
BOS202104070,2021-04-07,BOS,TBA,0,0,1e-06,1e-06,BOS,BOS
DET202104070,2021-04-07,DET,MIN,0,0,1e-06,1e-06,DET,DET
NYA202104070,2021-04-07,NYA,BAL,0,0,1e-06,1e-06,NYA,NYA
CHN202104070,2021-04-07,CHN,MIL,0,0,1e-06,1e-06,CHN,CHN
MIA202104070,2021-04-07,MIA,SLN,0,0,1e-06,1e-06,MIA,MIA
COL202104070,2021-04-07,COL,ARI,1,0,1e-06,1e-06,COL,COL
SDN202104070,2021-04-07,SDN,SFN,0,0,1e-06,1e-06,SDN,SDN
TEX202104070,2021-04-07,TEX,TOR,0,0,1e-06,1e-06,TEX,TEX
WAS202104071,2021-04-07,WAS,ATL,4,1,1e-06,1e-06,WAS,WAS
CLE202104070,2021-04-07,CLE,KCA,0,0,1e-06,1e-06,CLE,CLE
WAS202104072,2021-04-07,WAS,ATL,0,0,1e-06,1e-06,WAS,WAS
OAK202104070,2021-04-07,OAK,LAN,0,1,1e-06,1e-06,OAK,OAK
SEA202104070,2021-04-07,SEA,CHA,0,0,1e-06,1e-06,SEA,SEA
NYN202104080,2021-04-08,NYN,MIA,0,0,129.48897528262268,1756.5620451799746,PHI,MIA
PIT202104080,2021-04-08,PIT,CHN,0,1,415.25842934625814,660.0502267315369,CIN,CHN
HOU202104080,2021-04-08,HOU,OAK,0,0,2169.9670210701,2629.671879056886,ANA,OAK
BAL202104080,2021-04-08,BAL,BOS,2,2,272.81937803481173,578.81170796599,NYA,BOS
SLN202104080,2021-04-08,SLN,MIL,0,0,1707.3616110149374,422.49209120404555,MIA,CHN
CHA202104080,2021-04-08,CHA,KCA,3,0,2788.668911659839,494.38381964269325,SEA,CLE
MIN202104080,2021-04-08,MIN,SEA,0,0,872.516450655481,2238.4089622775527,DET,SEA
COL202104080,2021-04-08,COL,ARI,3,0,1e-06,1e-06,COL,COL
TOR202104080,2021-04-08,TOR,ANA,3,1,1953.6900971659159,3477.996626466436,TEX,ANA
ATL202104090,2021-04-09,ATL,PHI,0,0,874.0887985860761,1071.2330338826835,WAS,PHI
TOR202104090,2021-04-09,TOR,ANA,0,0,1e-06,1e-06,TOR,TOR
SFN202104090,2021-04-09,SFN,COL,0,0,738.1265117326025,1524.5101947303656,SDN,COL
TBA202104090,2021-04-09,TBA,NYA,0,0,1926.6943817180322,1638.0556824552712,BOS,NYA
HOU202104090,2021-04-09,HOU,OAK,0,0,1e-06,1e-06,HOU,HOU
CLE202104090,2021-04-09,CLE,DET,3,0,1e-06,145.52553501827433,CLE,DET
ARI202104090,2021-04-09,ARI,CIN,0,0,942.6579354569091,2538.655038172322,COL,CIN
TEX202104090,2021-04-09,TEX,SDN,0,0,1e-06,1879.9176992056841,TEX,SDN
LAN202104090,2021-04-09,LAN,WAS,0,0,552.4676717810693,3694.4220119834245,OAK,WAS
LAN202104100,2021-04-10,LAN,WAS,0,1,1e-06,1e-06,LAN,LAN
TEX202104100,2021-04-10,TEX,SDN,0,0,1e-06,1e-06,TEX,TEX
SFN202104100,2021-04-10,SFN,COL,0,0,1e-06,1e-06,SFN,SFN
MIN202104100,2021-04-10,MIN,SEA,0,0,1e-06,1e-06,MIN,MIN
BAL202104100,2021-04-10,BAL,BOS,2,2,1e-06,1e-06,BAL,BAL
HOU202104100,2021-04-10,HOU,OAK,0,0,1e-06,1e-06,HOU,HOU
PIT202104100,2021-04-10,PIT,CHN,0,1,1e-06,1e-06,PIT,PIT
SLN202104100,2021-04-10,SLN,MIL,0,1,1e-06,1e-06,SLN,SLN
ATL202104100,2021-04-10,ATL,PHI,3,2,1e-06,1e-06,ATL,ATL
TBA202104100,2021-04-10,TBA,NYA,1,0,1e-06,1e-06,TBA,TBA
TOR202104100,2021-04-10,TOR,ANA,0,0,1e-06,1e-06,TOR,TOR
NYN202104100,2021-04-10,NYN,MIA,0,0,1e-06,1e-06,NYN,NYN
ARI202104100,2021-04-10,ARI,CIN,0,0,1e-06,1e-06,ARI,ARI
CLE202104100,2021-04-10,CLE,DET,0,0,1e-06,1e-06,CLE,CLE
ATL202104110,2021-04-11,ATL,PHI,3,0,1e-06,1e-06,ATL,ATL
NYN202104110,2021-04-11,NYN,MIA,0,0,1e-06,1e-06,NYN,NYN
BAL202104110,2021-04-11,BAL,BOS,0,0,1e-06,1e-06,BAL,BAL
CHA202104110,2021-04-11,CHA,KCA,0,0,1e-06,1e-06,CHA,CHA
CLE202104110,2021-04-11,CLE,DET,0,1,1e-06,1e-06,CLE,CLE
MIN202104110,2021-04-11,MIN,SEA,1,0,1e-06,1e-06,MIN,MIN
TBA202104110,2021-04-11,TBA,NYA,0,0,1e-06,1e-06,TBA,TBA
TEX202104110,2021-04-11,TEX,SDN,0,0,1e-06,1e-06,TEX,TEX
LAN202104110,2021-04-11,LAN,WAS,0,0,1e-06,1e-06,LAN,LAN
SLN202104110,2021-04-11,SLN,MIL,0,4,1e-06,1e-06,SLN,SLN
PIT202104110,2021-04-11,PIT,CHN,0,0,1e-06,1e-06,PIT,PIT
SFN202104110,2021-04-11,SFN,COL,2,0,1e-06,1e-06,SFN,SFN
ARI202104110,2021-04-11,ARI,CIN,0,0,1e-06,1e-06,ARI,ARI
HOU202104120,2021-04-12,HOU,DET,0,0,1e-06,1793.7234420980124,HOU,CLE
ARI202104120,2021-04-12,ARI,OAK,0,1,1e-06,1630.8590123845936,ARI,HOU
TBA202104120,2021-04-12,TBA,TEX,0,0,1e-06,1496.616116420437,TBA,TEX
SLN202104120,2021-04-12,SLN,WAS,0,1,1e-06,2553.1974748902726,SLN,LAN
SFN202104120,2021-04-12,SFN,CIN,0,0,1e-06,1050.9933942487219,SFN,ARI
CHA202104120,2021-04-12,CHA,CLE,0,0,1e-06,494.38381964269325,CHA,CLE
ATL202104120,2021-04-12,ATL,MIA,1,0,1e-06,1200.4511584455877,ATL,NYN
MIL202104120,2021-04-12,MIL,CHN,0,0,526.8349145670746,722.0054120555708,SLN,PIT
PIT202104120,2021-04-12,PIT,SDN,0,1,1e-06,1741.1290055955549,PIT,TEX
TOR202104120,2021-04-12,TOR,NYA,1,0,1e-06,1789.459752085548,TOR,TBA
KCA202104120,2021-04-12,KCA,ANA,0,0,663.9206411727051,1362.7751953099457,CHA,TOR
BAL202104132,2021-04-13,BAL,SEA,0,0,1e-06,1508.338155320694,BAL,MIN
BAL202104131,2021-04-13,BAL,SEA,0,1,1e-06,1e-06,BAL,BAL
LAN202104130,2021-04-13,LAN,COL,2,0,1e-06,559.4406195325591,LAN,SFN
TOR202104130,2021-04-13,TOR,NYA,0,0,1e-06,1e-06,TOR,TOR
ATL202104130,2021-04-13,ATL,MIA,3,0,1e-06,1e-06,ATL,ATL
KCA202104130,2021-04-13,KCA,ANA,1,0,1e-06,1e-06,KCA,KCA
PIT202104130,2021-04-13,PIT,SDN,3,2,1e-06,1e-06,PIT,PIT
ARI202104130,2021-04-13,ARI,OAK,0,0,1e-06,1e-06,ARI,ARI
TBA202104130,2021-04-13,TBA,TEX,2,1,1e-06,1e-06,TBA,TBA
SLN202104130,2021-04-13,SLN,WAS,1,0,1e-06,1e-06,SLN,SLN
CHA202104130,2021-04-13,CHA,CLE,0,0,1e-06,1e-06,CHA,CHA
MIL202104130,2021-04-13,MIL,CHN,0,0,1e-06,1e-06,MIL,MIL
MIN202104130,2021-04-13,MIN,BOS,2,0,1e-06,1508.338155320694,MIN,BAL
HOU202104130,2021-04-13,HOU,DET,0,0,1e-06,1e-06,HOU,HOU
SFN202104130,2021-04-13,SFN,CIN,4,4,1e-06,1e-06,SFN,SFN
NYN202104131,2021-04-13,NYN,PHI,2,0,1e-06,1200.4511584455877,NYN,ATL
NYN202104132,2021-04-13,NYN,PHI,0,0,1e-06,1e-06,NYN,NYN
PIT202104140,2021-04-14,PIT,SDN,0,0,1e-06,1e-06,PIT,PIT
MIN202104141,2021-04-14,MIN,BOS,0,0,1e-06,1e-06,MIN,MIN
MIN202104142,2021-04-14,MIN,BOS,1,0,1e-06,1e-06,MIN,MIN
KCA202104140,2021-04-14,KCA,ANA,0,0,1e-06,1e-06,KCA,KCA
ATL202104140,2021-04-14,ATL,MIA,0,0,1e-06,1e-06,ATL,ATL
LAN202104140,2021-04-14,LAN,COL,2,0,1e-06,1e-06,LAN,LAN
HOU202104140,2021-04-14,HOU,DET,0,0,1e-06,1e-06,HOU,HOU
NYN202104140,2021-04-14,NYN,PHI,2,0,1e-06,1e-06,NYN,NYN
TBA202104140,2021-04-14,TBA,TEX,0,0,1e-06,1e-06,TBA,TBA
TOR202104140,2021-04-14,TOR,NYA,0,1,1e-06,1e-06,TOR,TOR
SFN202104140,2021-04-14,SFN,CIN,0,0,1e-06,1e-06,SFN,SFN
SLN202104140,2021-04-14,SLN,WAS,0,0,1e-06,1e-06,SLN,SLN
MIL202104140,2021-04-14,MIL,CHN,2,0,1e-06,1e-06,MIL,MIL
CHA202104140,2021-04-14,CHA,CLE,6,0,1e-06,1e-06,CHA,CHA
BAL202104151,2021-04-15,BAL,SEA,2,0,1e-06,1e-06,BAL,BAL
MIN202104150,2021-04-15,MIN,BOS,0,0,1e-06,1e-06,MIN,MIN
BAL202104152,2021-04-15,BAL,SEA,0,0,1e-06,1e-06,BAL,BAL
LAN202104150,2021-04-15,LAN,COL,0,1,1e-06,1e-06,LAN,LAN
PIT202104150,2021-04-15,PIT,SDN,0,4,1e-06,1e-06,PIT,PIT
TBA202104150,2021-04-15,TBA,TEX,0,0,1e-06,1e-06,TBA,TBA
WAS202104150,2021-04-15,WAS,ARI,4,3,1142.2462660488457,3184.3579900386735,SLN,ARI
OAK202104150,2021-04-15,OAK,DET,0,0,1040.2976618519092,2629.671879056886,ARI,HOU
KCA202104150,2021-04-15,KCA,TOR,1,0,1e-06,1362.7751953099457,KCA,TOR
ATL202104150,2021-04-15,ATL,MIA,0,0,1e-06,1e-06,ATL,ATL
CHA202104150,2021-04-15,CHA,CLE,1,0,1e-06,1e-06,CHA,CHA
OAK202104160,2021-04-16,OAK,DET,0,0,1e-06,1e-06,OAK,OAK
TEX202104160,2021-04-16,TEX,BAL,0,0,1496.616116420437,1968.7690954443951,TBA,BAL
SEA202104160,2021-04-16,SEA,HOU,0,0,3746.584168000963,3039.1839825945185,BAL,HOU
WAS202104160,2021-04-16,WAS,ARI,0,0,1e-06,1e-06,WAS,WAS
SDN202104160,2021-04-16,SDN,LAN,0,0,3402.7692440534656,179.52869961196944,PIT,LAN
PHI202104160,2021-04-16,PHI,SLN,0,0,129.48897528262268,1300.6291865836333,NYN,SLN
NYA202104160,2021-04-16,NYA,TBA,0,2,550.2922217550002,1638.0556824552712,TOR,TBA
MIL202104160,2021-04-16,MIL,PIT,0,0,1e-06,722.0054120555708,MIL,PIT
CHN202104160,2021-04-16,CHN,ATL,0,0,132.54357794550742,947.8182724063668,MIL,ATL
ANA202104160,2021-04-16,ANA,MIN,0,0,2158.345510444982,2437.087352189671,KCA,MIN
MIA202104160,2021-04-16,MIA,SFN,0,0,973.3591318981379,4167.0413845935145,ATL,SFN
CIN202104160,2021-04-16,CIN,CLE,0,0,3280.370735305635,406.25273298859213,SFN,CHA
PHI202104170,2021-04-17,PHI,SLN,1,0,1e-06,1e-06,PHI,PHI
MIL202104170,2021-04-17,MIL,PIT,5,0,1e-06,1e-06,MIL,MIL
BOS202104170,2021-04-17,BOS,CHA,0,2,1804.1923618308685,1365.5064971534737,MIN,CHA
SDN202104170,2021-04-17,SDN,LAN,0,0,1e-06,1e-06,SDN,SDN
COL202104172,2021-04-17,COL,NYN,3,0,1336.5596902131042,2618.595617996944,LAN,NYN
CIN202104170,2021-04-17,CIN,CLE,0,0,1e-06,1e-06,CIN,CIN
COL202104171,2021-04-17,COL,NYN,0,0,1e-06,1e-06,COL,COL
TEX202104170,2021-04-17,TEX,BAL,0,0,1e-06,1e-06,TEX,TEX
SEA202104170,2021-04-17,SEA,HOU,0,0,1e-06,1e-06,SEA,SEA
WAS202104170,2021-04-17,WAS,ARI,0,0,1e-06,1e-06,WAS,WAS
NYA202104170,2021-04-17,NYA,TBA,0,0,1e-06,1e-06,NYA,NYA
CHN202104170,2021-04-17,CHN,ATL,1,0,1e-06,1e-06,CHN,CHN
KCA202104171,2021-04-17,KCA,TOR,0,2,1e-06,1e-06,KCA,KCA
KCA202104172,2021-04-17,KCA,TOR,0,0,1e-06,1e-06,KCA,KCA
OAK202104170,2021-04-17,OAK,DET,1,0,1e-06,1e-06,OAK,OAK
MIA202104170,2021-04-17,MIA,SFN,1,0,1e-06,1e-06,MIA,MIA
CIN202104180,2021-04-18,CIN,CLE,0,1,1e-06,1e-06,CIN,CIN
WAS202104180,2021-04-18,WAS,ARI,0,1,1e-06,1e-06,WAS,WAS
CHN202104180,2021-04-18,CHN,ATL,2,6,1e-06,1e-06,CHN,CHN
BOS202104181,2021-04-18,BOS,CHA,0,1,1e-06,1e-06,BOS,BOS
BOS202104182,2021-04-18,BOS,CHA,0,1,1e-06,1e-06,BOS,BOS
