game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,wp,lp,winner,loser,home_final_score,visiting_final_score
ANA202204070,ANA,HOU,0,0,valdf001,ohtas001,HOU,ANA,1,3
ANA202204080,ANA,HOU,2,1,montr004,orteo001,HOU,ANA,6,13
ANA202204090,ANA,HOU,0,0,syndn001,verlj001,ANA,HOU,2,0
ANA202204100,ANA,HOU,0,0,urquj001,suarj001,HOU,ANA,1,4
ANA202204110,ANA,MIA,3,0,lorem002,herne002,ANA,MIA,6,2
ANA202204120,ANA,MIA,0,0,igler001,benda001,ANA,MIA,4,3
ANA202204220,ANA,BAL,0,0,zimmb002,detmr001,BAL,ANA,3,5
ANA202204230,ANA,BAL,1,2,bakeb001,loupa001,BAL,ANA,4,5
ANA202204240,ANA,BAL,6,0,hergj001,baumm001,ANA,BAL,7,6
ANA202204250,ANA,CLE,0,0,lorem002,biebs001,ANA,CLE,3,0
ANA202204260,ANA,CLE,0,0,sandp002,mcket001,ANA,CLE,4,1
ANA202204270,ANA,CLE,2,2,ohtas001,plesz001,ANA,CLE,9,5
ANA202204280,ANA,CLE,0,0,detmr001,quanc001,ANA,CLE,4,1
ANA202205060,ANA,WAS,1,0,diazj007,adonj001,ANA,WAS,3,0
ANA202205070,ANA,WAS,0,1,grayj004,lorem002,WAS,ANA,3,7
ANA202205080,ANA,WAS,0,0,barrj003,raint003,ANA,WAS,5,4
ANA202205090,ANA,TBA,0,0,syndn001,sprij001,ANA,TBA,11,3
ANA202205100,ANA,TBA,2,0,detmr001,klubc001,ANA,TBA,12,0
ANA202205110,ANA,TBA,0,0,feyej001,loupa001,TBA,ANA,2,4
ANA202205200,ANA,OAK,1,1,molls001,silsc001,OAK,ANA,2,4
ANA202205210,ANA,OAK,0,0,lorem002,kolaa001,ANA,OAK,5,3
ANA202205220,ANA,OAK,1,0,sandp002,irvic001,ANA,OAK,4,1
ANA202205240,ANA,TEX,0,0,syndn001,dunnd001,ANA,TEX,5,3
ANA202205250,ANA,TEX,1,1,ottog001,detmr001,TEX,ANA,2,7
ANA202205260,ANA,TOR,0,1,ryu-h001,ohtas001,TOR,ANA,3,6
ANA202205270,ANA,TOR,0,0,richt001,igler001,TOR,ANA,3,4
ANA202205280,ANA,TOR,0,1,cimba001,barrk002,TOR,ANA,5,6
ANA202205290,ANA,TOR,1,0,cimba001,quijj001,TOR,ANA,10,11
ANA202206060,ANA,BOS,0,0,wachm001,syndn001,BOS,ANA,0,1
ANA202206070,ANA,BOS,2,0,houct001,barrj003,BOS,ANA,5,6
ANA202206080,ANA,BOS,0,0,eovan001,hergj001,BOS,ANA,0,1
ANA202206090,ANA,BOS,0,0,ohtas001,piven001,ANA,BOS,5,2
ANA202206100,ANA,NYN,0,0,peted003,diazj007,NYN,ANA,3,7
ANA202206110,ANA,NYN,2,0,lorem002,carrc003,ANA,NYN,11,6
ANA202206120,ANA,NYN,1,0,walkt004,sandp002,NYN,ANA,1,4
ANA202206200,ANA,KCA,0,2,bubik001,syndn001,KCA,ANA,2,6
ANA202206210,ANA,KCA,0,1,coled003,quijj001,KCA,ANA,11,12
ANA202206220,ANA,KCA,0,0,ohtas001,lyncd001,ANA,KCA,5,0
ANA202206240,ANA,SEA,0,1,flexc001,lorem002,SEA,ANA,3,4
ANA202206250,ANA,SEA,0,1,gilbl002,brada001,SEA,ANA,3,5
ANA202206260,ANA,SEA,0,0,suarj001,gonzm005,ANA,SEA,2,1
ANA202206270,ANA,CHA,0,0,syndn001,loper003,ANA,CHA,4,3
ANA202206280,ANA,CHA,0,0,cuetj001,orteo001,CHA,ANA,4,11
ANA202206290,ANA,CHA,2,0,ohtas001,kopem001,ANA,CHA,4,1
ANA202207120,ANA,HOU,1,2,nerih001,igler001,HOU,ANA,5,6
ANA202207130,ANA,HOU,0,0,ohtas001,javic001,ANA,HOU,7,1
ANA202207140,ANA,HOU,0,2,presr001,loupa001,HOU,ANA,2,3
ANA202207150,ANA,LAN,0,2,kersc001,sandp002,LAN,ANA,1,9
ANA202207160,ANA,LAN,0,1,uriaj001,suarj001,LAN,ANA,1,7
ANA202207280,ANA,TEX,0,0,howas003,ohtas001,TEX,ANA,0,2
ANA202207290,ANA,TEX,0,0,perem004,sandp002,TEX,ANA,2,7
ANA202207300,ANA,TEX,0,0,toust001,martb002,ANA,TEX,9,7
ANA202207310,ANA,TEX,1,1,burkb001,quijj001,TEX,ANA,2,5
ANA202208020,ANA,OAK,1,0,suarj001,irvic001,ANA,OAK,3,1
ANA202208030,ANA,OAK,0,0,kaprj001,ohtas001,OAK,ANA,1,3
ANA202208040,ANA,OAK,1,0,blacp001,junkj001,OAK,ANA,7,8
ANA202208120,ANA,MIN,0,0,mahlt001,sandp002,MIN,ANA,0,4
