year,game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher,home_ERA,vis_ERA,date,home_travel,vis_travel,home_last_location,visiting_last_location
2022,ATL202204080,ATL,CIN,0,0,mortc002,sanmr001,4.34,6.32,2022-04-08,1e-06,1e-06,ATL,ATL
2022,ANA202204080,ANA,HOU,2,1,orteo001,montr004,3.71,2.37,2022-04-08,1e-06,1e-06,ANA,ANA
2022,WAS202204080,WAS,NYN,0,0,grayj004,schem001,5.02,2.29,2022-04-08,1e-06,1e-06,WAS,WAS
2022,ARI202204080,ARI,SDN,0,0,pereo002,manas001,15.75,4.96,2022-04-08,1e-06,1e-06,ARI,ARI
2022,COL202204090,COL,LAN,1,0,estec001,treib001,3.47,1.8,2022-04-09,1e-06,1e-06,COL,COL
2022,WAS202204090,WAS,NYN,0,0,adonj001,bassc001,7.1,3.42,2022-04-09,1e-06,1e-06,WAS,WAS
2022,TBA202204090,TBA,BAL,0,0,flemj001,lylej001,6.43,4.42,2022-04-09,1e-06,1e-06,TBA,TBA
2022,ARI202204090,ARI,SDN,1,0,kenni001,wilss002,5.36,3.06,2022-04-09,1e-06,1e-06,ARI,ARI
2022,TOR202204090,TOR,TEX,2,0,richt001,martb002,5.34,4.14,2022-04-09,1e-06,1e-06,TOR,TOR
2022,DET202204090,DET,CHA,0,2,mizec001,ceasd001,5.4,2.2,2022-04-09,1e-06,1e-06,DET,DET
2022,SLN202204090,SLN,PIT,1,1,whitk001,kellm003,5.68,3.91,2022-04-09,1e-06,1e-06,SLN,SLN
2022,SFN202204090,SFN,MIA,0,0,mcgej001,okers001,6.81,2.98,2022-04-09,1e-06,1e-06,SFN,SFN
2022,ATL202204090,ATL,CIN,2,0,wrigk001,gutiv001,3.19,7.61,2022-04-09,1e-06,1e-06,ATL,ATL
2022,ANA202204090,ANA,HOU,0,0,syndn001,verlj001,3.94,1.75,2022-04-09,1e-06,1e-06,ANA,ANA
2022,NYA202204090,NYA,BOS,0,0,luetl001,piven001,2.67,4.56,2022-04-09,1e-06,1e-06,NYA,NYA
2022,MIN202204090,MIN,SEA,1,0,dufft001,munoa002,4.91,2.49,2022-04-09,1e-06,1e-06,MIN,MIN
2022,KCA202204090,KCA,CLE,0,0,snidc001,clase001,6.55,1.36,2022-04-09,1e-06,1e-06,KCA,KCA
2022,PHI202204090,PHI,OAK,2,0,gibsk002,irvic001,5.05,3.98,2022-04-09,1e-06,1e-06,PHI,PHI
2022,CHN202204090,CHN,MIL,3,0,steej002,woodb005,3.18,3.05,2022-04-09,1e-06,1e-06,CHN,CHN
2022,ATL202204100,ATL,CIN,0,0,andei001,greeh001,5.0,4.44,2022-04-10,1e-06,1e-06,ATL,ATL
2022,COL202204100,COL,LAN,3,0,chacj001,uriaj001,7.61,2.16,2022-04-10,1e-06,1e-06,COL,COL
2022,ANA202204100,ANA,HOU,0,0,suarj001,urquj001,3.96,3.94,2022-04-10,1e-06,1e-06,ANA,ANA
2022,NYA202204100,NYA,BOS,0,2,schmc002,crawk001,3.12,5.47,2022-04-10,1e-06,1e-06,NYA,NYA
2022,SFN202204100,SFN,MIA,0,0,garcj006,roget003,3.74,5.47,2022-04-10,1e-06,1e-06,SFN,SFN
2022,TOR202204100,TOR,TEX,4,0,merrj001,burkb001,6.75,1.97,2022-04-10,1e-06,1e-06,TOR,TOR
2022,MIN202204100,MIN,SEA,6,0,oberb002,gonzm005,3.21,4.13,2022-04-10,1e-06,1e-06,MIN,MIN
2022,ARI202204100,ARI,SDN,0,0,smitc006,adama002,4.11,0.0,2022-04-10,1e-06,1e-06,ARI,ARI
2022,WAS202204100,WAS,NYN,1,0,finnk001,willt002,3.51,3.21,2022-04-10,1e-06,1e-06,WAS,WAS
2022,TBA202204100,TBA,BAL,0,0,sprij001,wellt003,2.46,4.25,2022-04-10,1e-06,1e-06,TBA,TBA
2022,CHN202204100,CHN,MIL,3,0,norrd002,cousj001,5.22,2.7,2022-04-10,1e-06,1e-06,CHN,CHN
2022,PHI202204100,PHI,OAK,0,0,faltb001,jeffd001,3.86,5.72,2022-04-10,1e-06,1e-06,PHI,PHI
2022,DET202204100,DET,CHA,0,2,skubt001,crick001,3.52,4.02,2022-04-10,1e-06,1e-06,DET,DET
2022,SLN202204100,SLN,PIT,3,0,matzs001,yajum001,5.25,8.88,2022-04-10,1e-06,1e-06,SLN,SLN
2022,KCA202204100,KCA,CLE,0,6,bubik001,quanc001,5.58,3.38,2022-04-10,1e-06,1e-06,KCA,KCA
2022,SFN202204110,SFN,SDN,0,0,roget002,wilss002,3.57,3.06,2022-04-11,1e-06,1050.9933932487218,SFN,ARI
2022,TBA202204110,TBA,OAK,0,4,patil001,blacp001,8.1,4.28,2022-04-11,1e-06,1515.8203835337372,TBA,PHI
2022,DET202204110,DET,BOS,1,0,fulmm001,davia003,3.39,5.79,2022-04-11,1e-06,773.7548020957365,DET,NYA
