game_id,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,umphome,ump1b,ump2b,ump3b,umplf,umprf,inputtime,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
TOR202204080,TEX,TOR,TOR02,2022/04/08,0,7:07PM,night,9,2,true,welkb901,fleta901,morag901,segac901,(none),(none),2022/09/26 06:24:02,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,206,45022,cimba001,santd003,romaj004,
TOR202204090,TEX,TOR,TOR02,2022/04/09,0,3:07PM,day,9,2,true,fleta901,morag901,segac901,welkb901,(none),(none),2022/09/26 06:24:03,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,159,43386,richt001,martb002,romaj004,
TOR202204100,TEX,TOR,TOR02,2022/04/10,0,1:37PM,day,9,2,true,morag901,segac901,welkb901,fleta901,(none),(none),2022/09/26 06:24:05,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,204,31549,burkb001,merrj001,,
TOR202204150,OAK,TOR,TOR02,2022/04/15,0,7:07PM,night,9,2,true,sches901,nelsj901,lives901,buckc901,(none),(none),2022/09/26 06:24:12,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,180,35415,cimba001,jeffd001,romaj004,
TOR202204160,OAK,TOR,TOR02,2022/04/16,0,3:07PM,day,9,2,true,nelsj901,lives901,buckc901,sches901,(none),(none),2022/09/26 06:24:13,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,185,32330,jimed002,merrj001,trivl001,
TOR202204170,OAK,TOR,TOR02,2022/04/17,0,1:37PM,day,9,2,true,lives901,buckc901,sches901,nelsj901,(none),(none),2022/09/26 06:24:15,unknown,pitches,lajor701,68,unknown,0,unknown,none,dome,185,27490,manoa001,ollea001,romaj004,
TOR202204250,BOS,TOR,TOR02,2022/04/25,0,7:07PM,night,9,2,true,belld901,rackd901,barbs901,vanol901,(none),(none),2022/09/26 06:24:23,unknown,pitches,moreh701,68,unknown,0,unknown,none,dome,136,20981,cimba001,stram001,,
TOR202204260,BOS,TOR,TOR02,2022/04/26,0,7:07PM,night,9,2,true,rackd901,barbs901,vanol901,belld901,(none),(none),2022/09/26 06:24:24,unknown,pitches,moreh701,68,unknown,0,unknown,none,dome,227,22611,romaj004,barnm001,,
TOR202204270,BOS,TOR,TOR02,2022/04/27,0,7:07PM,night,9,2,true,barbs901,vanol901,belld901,rackd901,(none),(none),2022/09/26 06:24:26,unknown,pitches,moreh701,68,unknown,0,unknown,none,dome,185,20468,wachm001,thort002,,
TOR202204280,BOS,TOR,TOR02,2022/04/28,0,3:07PM,day,9,2,true,vanol901,belld901,rackd901,barbs901,(none),(none),2022/09/26 06:24:27,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,162,23144,manoa001,whitg002,romaj004,
TOR202204290,HOU,TOR,TOR02,2022/04/29,0,7:07PM,night,9,2,true,barkl901,lentn901,cejan901,barrt901,(none),(none),2022/10/03 09:01:02,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,222,35066,urquj001,thort002,,
TOR202204300,HOU,TOR,TOR02,2022/04/30,0,3:07PM,day,9,2,true,lentn901,cejan901,barrt901,barkl901,(none),(none),2022/09/26 06:24:29,unknown,pitches,lajor701,68,unknown,0,unknown,none,dome,163,40732,berrj001,garcl007,romaj004,
TOR202205010,HOU,TOR,TOR02,2022/05/01,0,1:37PM,day,9,2,true,cejan901,barrt901,barkl901,lentn901,(none),(none),2022/09/28 09:03:02,unknown,pitches,lajor701,68,unknown,0,unknown,none,dome,172,31802,gausk001,valdf001,romaj004,
TOR202205020,NYA,TOR,TOR02,2022/05/02,0,7:07PM,night,9,2,true,torrc901,kulpr901,fostm901,conrc901,(none),(none),2022/09/26 06:24:31,unknown,pitches,moreh701,68,unknown,0,unknown,none,dome,174,18577,holmc001,garcy001,greec003,
TOR202205030,NYA,TOR,TOR02,2022/05/03,0,7:07PM,night,9,2,true,kulpr901,fostm901,conrc901,torrc901,(none),(none),2022/09/26 06:24:32,unknown,pitches,moreh701,68,unknown,0,unknown,none,dome,177,22491,tailj001,cimba001,,
TOR202205040,NYA,TOR,TOR02,2022/05/04,0,7:07PM,night,9,2,true,fostm901,conrc901,torrc901,kulpr901,(none),(none),2022/09/26 06:24:33,unknown,pitches,moreh701,68,unknown,0,unknown,none,dome,164,29057,kikuy001,cortn001,romaj004,
TOR202205160,SEA,TOR,TOR02,2022/05/16,0,7:07PM,night,9,2,true,wegnm901,wolcq901,(none),willr901,(none),(none),2022/09/26 06:24:46,unknown,pitches,starh701,63,fromcf,13,unknown,none,cloudy,203,28207,kikuy001,flexc001,cimba001,
TOR202205170,SEA,TOR,TOR02,2022/05/17,0,7:07PM,night,9,2,true,wolcq901,whitc901,willr901,wegnm901,(none),(none),2022/09/26 06:24:48,unknown,pitches,starh701,60,fromlf,16,unknown,none,cloudy,140,22988,berrj001,gilbl002,cimba001,
TOR202205180,SEA,TOR,TOR02,2022/05/18,0,7:07PM,night,9,2,true,whitc901,willr901,wegnm901,wolcq901,(none),(none),2022/09/26 06:24:49,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,167,20472,gonzm005,gausk001,,
