last_name,first_name,player_id,year,p_era
Morton,Charlie,450203,2022,4.34
Carrasco,Carlos,471911,2022,3.97
Greene,Hunter,668881,2022,4.44
Snell,Blake,605483,2022,3.38
Steele,Justin,657006,2022,3.18
Bradish,Kyle,680694,2022,4.90
Detmers,Reid,672282,2022,3.77
Springs,Jeffrey,605488,2022,2.46
Hill,Rich,448179,2022,4.27
Kirby,George,669923,2022,3.39
Kremer,Dean,665152,2022,3.23
Wilson,Bryse,669060,2022,5.52
Stripling,Ross,548389,2022,3.01
McClanahan,Shane,663556,2022,2.54
Bubic,Kris,663460,2022,5.58
Montas,Frankie,593423,2022,4.05
Rodón,Carlos,607074,2022,2.88
Lynch IV,Daniel,663738,2022,5.13
Rasmussen,Drew,656876,2022,2.84
Singer,Brady,663903,2022,3.23
Plesac,Zach,668676,2022,4.31
Brubaker,JT,664141,2022,4.69
Cease,Dylan,656302,2022,2.20
Kuhl,Chad,641771,2022,5.72
Giolito,Lucas,608337,2022,4.90
Manaea,Sean,640455,2022,4.96
Gallen,Zac,668678,2022,2.54
Walker,Taijuan,592836,2022,3.49
Bundy,Dylan,605164,2022,4.89
Suárez,Ranger,624133,2022,3.65
Urías,Julio,628711,2022,2.16
Burnes,Corbin,669203,2022,2.94
Ray,Robbie,592662,2022,3.71
Musgrove,Joe,605397,2022,2.93
Wright,Kyle,657140,2022,3.19
López,Pablo,641154,2022,3.75
Urquidy,José,664353,2022,3.94
Cueto,Johnny,456501,2022,3.35
Bassitt,Chris,605135,2022,3.42
Gibson,Kyle,502043,2022,5.05
Kluber,Corey,446372,2022,4.34
Darvish,Yu,506433,2022,3.10
Bumgarner,Madison,518516,2022,4.88
Corbin,Patrick,571578,2022,6.31
Nola,Aaron,605400,2022,3.25
Manoah,Alek,666201,2022,2.24
Taillon,Jameson,592791,2022,3.91
Bieber,Shane,669456,2022,2.88
Márquez,Germán,608566,2022,4.95
Kelly,Merrill,518876,2022,3.37
Lyles,Jordan,543475,2022,4.42
Pérez,Martín,527048,2022,2.89
Mikolas,Miles,571945,2022,3.29
Alcantara,Sandy,645261,2022,2.28
Strider,Spencer,675911,2022,2.67
Mahle,Tyler,641816,2022,4.40
Javier,Cristian,664299,2022,2.54
Gray,Jon,592351,2022,3.96
Scherzer,Max,453286,2022,2.29
Lynn,Lance,458681,2022,3.99
Wacha,Michael,608379,2022,3.32
Woodruff,Brandon,605540,2022,3.05
Wood,Alex,622072,2022,5.10
Ohtani,Shohei,660271,2022,2.33
Castillo,Luis,622491,2022,2.99
Ryan,Joe,657746,2022,3.55
Gomber,Austin,596295,2022,5.56
Wheeler,Zack,554430,2022,2.82
Otto Jr.,Glenn,657248,2022,4.64
Thompson,Zach,605507,2022,5.18
Stroman,Marcus,573186,2022,3.50
Cortes Jr.,Nestor,641482,2022,2.44
Davies,Zach,605200,2022,4.09
Kaprielian,James,621076,2022,4.23
Gray,Josiah,680686,2022,5.02
Sandoval,Patrick,663776,2022,2.91
Fedde,Erick,607200,2022,5.81
Cobb,Alex,502171,2022,3.73
Syndergaard,Noah,592789,2022,3.94
Garcia,Luis,677651,2022,3.72
Lauer,Eric,641778,2022,3.69
Flexen,Chris,623167,2022,3.73
Verlander,Justin,434378,2022,1.75
Hudson,Dakota,641712,2022,4.45
Keller,Brad,641745,2022,5.09
Dunning,Dane,641540,2022,4.46
Keller,Mitch,656605,2022,3.91
Greinke,Zack,425844,2022,3.68
Cole,Gerrit,543037,2022,3.50
Quintana,Jose,500779,2022,2.93
Gausman,Kevin,592332,2022,3.35
McKenzie,Triston,663474,2022,2.96
Pivetta,Nick,601713,2022,4.56
Montgomery,Jordan,656756,2022,3.48
Anderson,Tyler,542881,2022,2.57
Fried,Max,608331,2022,2.48
Gilbert,Logan,669302,2022,3.20
Berríos,José,621244,2022,5.23
Valdez,Framber,664285,2022,2.82
Freeland,Kyle,607536,2022,4.53
Webb,Logan,657277,2022,2.90
Irvin,Cole,608344,2022,3.98
Quantrill,Cal,615698,2022,3.38
Wainwright,Adam,425794,2022,3.71
Gonzales,Marco,594835,2022,4.13
