game_id,visteam,hometeam,site,date,number,gametype,starttime,daynight,innings,tiebreaker,usedh,umphome,ump1b,ump2b,ump3b,umplf,umprf,inputtime,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save
MIL202304030,NYN,MIL,MIL06,2023/04/03,0,regular,1:10PM,day,9,2,true,porta901,wolfj901,muchm901,barbs901,(none),(none),2023/05/20 17:38:48,unknown,pitches,odrit701,65,unknown,0,unknown,none,dome,157,42017,peraf001,carrc003,wilsb003
MIL202304040,NYN,MIL,MIL06,2023/04/04,0,regular,6:40PM,night,9,2,true,wolfj901,muchm901,barbs901,porta901,(none),(none),2023/05/20 17:38:49,unknown,pitches,olsod701,63,unknown,0,unknown,none,dome,137,19412,milew001,schem001,
MIL202304050,NYN,MIL,MIL06,2023/04/05,0,regular,12:40PM,day,9,2,true,muchm901,barbs901,porta901,wolfj901,(none),(none),2023/05/20 17:38:50,unknown,pitches,odrit701,66,unknown,0,unknown,none,dome,165,18387,willd004,ottaa001,
MIL202304070,SLN,MIL,MIL06,2023/04/07,0,regular,7:10PM,night,9,2,true,hamaa901,laynj901,carav901,gonzm901,(none),(none),2023/07/28 12:23:55,unknown,pitches,olsod701,64,unknown,0,unknown,none,dome,165,28459,woodb005,flahj002,
MIL202304080,SLN,MIL,MIL06,2023/04/08,0,regular,6:10PM,night,9,2,true,laynj901,carav901,gonzm901,hamaa901,(none),(none),2023/10/03 06:10:18,unknown,pitches,odrit701,65,unknown,0,unknown,none,dome,152,43077,montj004,lauee001,
MIL202304090,SLN,MIL,MIL06,2023/04/09,0,regular,1:10PM,day,9,2,true,carav901,gonzm901,hamaa901,laynj901,(none),(none),2023/05/20 17:38:55,unknown,pitches,odrit701,63,rtol,12,unknown,none,sunny,169,27701,peraf001,woodj003,
MIL202304210,BOS,MIL,MIL06,2023/04/21,0,regular,7:10PM,night,9,2,true,marqa901,eddid901,barrl901,ramoc901,(none),(none),2023/05/20 17:39:08,unknown,pitches,quesd701,62,unknown,0,unknown,none,dome,158,24976,piven001,peraf001,jansk001
MIL202304220,BOS,MIL,MIL06,2023/04/22,0,regular,6:10PM,night,9,2,true,eddid901,barrl901,ramoc901,marqa901,(none),(none),2023/07/13 09:01:16,unknown,pitches,odrit701,62,unknown,0,unknown,none,dome,143,31965,milew001,whitg002,willd004
MIL202304230,BOS,MIL,MIL06,2023/04/23,0,regular,1:10PM,day,9,2,true,barrl901,ramoc901,marqa901,eddid901,(none),(none),2023/05/24 09:02:43,unknown,pitches,olsod701,61,unknown,0,unknown,none,dome,182,26939,ort-k001,bushm001,
MIL202304240,DET,MIL,MIL06,2023/04/24,0,regular,6:40PM,night,9,2,true,hudsm901,wendh902,tumpj901,macka901,(none),(none),2023/05/23 09:03:25,unknown,pitches,quesd701,62,unknown,0,unknown,none,dome,145,23201,boydm001,rea-c001,langa001
