game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher,home_ERA,vis_ERA
ANA202404050,ANA,BOS,0,0,sorij002,martc007,4.26,2.98
ANA202404060,ANA,BOS,0,0,detmr001,weisg001,3.96,2.82
ANA202404070,ANA,BOS,0,0,silsc001,houct001,1.64,8.04
ANA202404080,ANA,TBA,2,0,andet002,efliz001,4.56,5.93
ANA202404090,ANA,TBA,2,0,sandp002,civaa001,,4.85
ANA202404100,ANA,TBA,0,3,sorij002,kellk004,4.26,5.9
ANA202404220,ANA,BAL,0,0,detmr001,suara001,3.96,2.31
ANA202404230,ANA,BAL,1,0,canng001,rodrg003,3.77,
ANA202404240,ANA,BAL,0,0,andet002,kremd001,4.56,4.19
ANA202404260,ANA,MIN,0,0,sandp002,oberb002,,5.1
ANA202404270,ANA,MIN,0,1,sorij002,paddc001,4.26,5.35
ANA202404280,ANA,MIN,0,0,detmr001,lopep002,3.96,2.74
ANA202404290,ANA,PHI,1,3,cimba001,domis001,,3.16
ANA202404300,ANA,PHI,0,0,estec001,alvaj004,2.45,3.81
ANA202405010,ANA,PHI,0,0,sandp002,wheez001,,2.71
ANA202405090,ANA,KCA,0,0,detmr001,wachm001,3.96,3.86
ANA202405100,ANA,KCA,0,0,estec001,dufft001,2.45,
ANA202405110,ANA,KCA,0,1,andet002,ragac001,4.56,4.67
ANA202405120,ANA,KCA,0,0,sandp002,lugos001,,4.15
ANA202405130,ANA,SLN,0,0,moorm003,leahk001,,3.07
ANA202405140,ANA,SLN,0,0,strih001,grays001,3.27,4.28
ANA202405150,ANA,SLN,4,0,canng001,lynnl001,3.77,
ANA202405240,ANA,CLE,1,0,sandp002,allel003,,4.25
ANA202405250,ANA,CLE,0,0,sorij002,bibet001,4.26,4.24
ANA202405260,ANA,CLE,0,0,detmr001,liveb001,3.96,3.22
ANA202405280,ANA,NYA,2,1,moorm003,weavl001,,3.62
ANA202405290,ANA,NYA,0,0,andet002,gil-l001,4.56,3.32
ANA202405300,ANA,NYA,0,0,sandp002,rodoc001,,3.09
ANA202406030,ANA,SDN,0,1,strih001,morea001,3.27,2.08
ANA202406040,ANA,SDN,0,0,moorm003,matsy001,,3.98
ANA202406050,ANA,SDN,1,0,sorij002,ceasd001,4.26,4.55
ANA202406070,ANA,HOU,0,1,canng001,valdf001,3.77,3.66
ANA202406080,ANA,HOU,0,0,andet002,browh001,4.56,2.43
ANA202406090,ANA,HOU,0,0,estec001,hadej001,2.45,2.05
ANA202406170,ANA,MIL,0,0,plesz001,rodrc003,,6.52
ANA202406180,ANA,MIL,0,1,canng001,myert001,3.77,3.55
ANA202406190,ANA,MIL,0,1,andet002,peraf001,4.56,2.7
ANA202406240,ANA,OAK,2,0,canng001,medil002,3.77,
ANA202406250,ANA,OAK,0,0,andet002,spenm001,4.56,5.1
ANA202406260,ANA,OAK,0,0,moorm003,estej001,,9.82
ANA202406270,ANA,DET,0,0,danid001,flahj002,5.4,4.64
ANA202406280,ANA,DET,2,0,garcl005,mills001,3.52,2.74
ANA202406290,ANA,DET,0,1,joycb001,folej001,6.23,
ANA202406300,ANA,DET,0,1,andet002,mizec001,4.56,3.87
ANA202407080,ANA,TEX,0,2,danid001,grayj003,5.4,7.71
ANA202407090,ANA,TEX,0,1,garcl005,leclj001,3.52,6.0
ANA202407100,ANA,TEX,0,0,crouh001,lorem002,,4.64
ANA202407110,ANA,SEA,0,4,kochj001,castl003,6.81,3.54
ANA202407120,ANA,SEA,2,2,crouh001,votha001,,
ANA202407130,ANA,SEA,0,1,sorij002,kirbg001,4.26,4.21
ANA202407140,ANA,SEA,0,0,crouh001,votha001,,
ANA202407250,ANA,OAK,0,2,rosek001,strir001,,
ANA202407260,ANA,OAK,4,0,crouh001,blacp001,,6.23
ANA202407270,ANA,OAK,0,3,andet002,spenm001,4.56,5.1
ANA202407280,ANA,OAK,0,0,contr001,bidoo001,5.68,5.87
ANA202407300,ANA,COL,2,2,quijj001,birdj001,,5.53
ANA202407310,ANA,COL,0,1,crouh001,freek001,,4.98
ANA202408010,ANA,COL,0,0,crouh001,vodnv001,,3.02
ANA202408020,ANA,NYN,0,0,andet002,blacp001,4.56,6.23
ANA202408030,ANA,NYN,1,0,moorm003,brazh001,,3.57
ANA202408040,ANA,NYN,0,0,canng001,quinj001,3.77,3.96
ANA202408120,ANA,TOR,0,0,danid001,franb002,5.4,6.05
ANA202408130,ANA,TOR,0,3,fulmc001,gausk001,5.83,3.59
ANA202408140,ANA,TOR,0,0,andet002,berrj001,4.56,4.17
ANA202408160,ANA,ATL,0,0,burkb001,schws001,3.36,3.09
ANA202408170,ANA,ATL,0,3,canng001,salec001,3.77,2.58
ANA202408180,ANA,ATL,0,1,kochj001,mortc002,6.81,5.83
