year,game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher,home_ERA,vis_ERA
2023,ANA202304070,ANA,TOR,2,0,hergj001,bassc001,4.66,3.6
2023,ANA202304080,ANA,TOR,0,0,barrj003,berrj001,5.68,3.65
2023,ANA202304090,ANA,TOR,3,0,estec001,romaj004,3.9,2.9
2023,ANA202304100,ANA,WAS,2,0,davit005,corbp001,5.96,5.2
2023,ANA202304110,ANA,WAS,0,0,ohtas001,grayj004,3.14,3.91
2023,ANA202304120,ANA,WAS,0,0,moorm003,thomm005,2.56,5.5
2023,ANA202304210,ANA,KCA,0,0,ohtas001,yarbr001,3.14,4.52
2023,ANA202304220,ANA,KCA,0,0,quijj001,cuasj001,6.0,3.99
2023,ANA202304230,ANA,KCA,1,1,warra003,lylej001,5.4,6.28
2023,ANA202304240,ANA,OAK,0,2,barrj003,ollea001,5.68,10.07
2023,ANA202304250,ANA,OAK,4,1,canng001,millm004,4.32,3.78
2023,ANA202304260,ANA,OAK,0,1,sandp002,medil002,4.11,5.42
2023,ANA202304270,ANA,OAK,0,0,ohtas001,searj001,3.14,4.54
2023,ANA202305050,ANA,TEX,0,0,estec001,smitw002,3.9,
2023,ANA202305060,ANA,TEX,0,0,detmr001,eovan001,4.48,3.63
2023,ANA202305070,ANA,TEX,3,0,suarj001,sborj002,8.29,5.5
2023,ANA202305080,ANA,HOU,0,0,moorm003,montr004,2.56,5.08
2023,ANA202305090,ANA,HOU,0,0,ohtas001,valdf001,3.14,3.45
2023,ANA202305100,ANA,HOU,0,1,canng001,javic001,4.32,4.56
2023,ANA202305190,ANA,MIN,0,0,weisz001,jax-g001,3.21,3.86
2023,ANA202305200,ANA,MIN,0,3,sandp002,varll001,4.11,4.63
2023,ANA202305210,ANA,MIN,0,0,devec001,lopep002,4.46,3.66
2023,ANA202305220,ANA,BOS,0,0,silsc001,crawk001,3.96,4.04
2023,ANA202305230,ANA,BOS,1,0,canng001,bellb002,4.32,4.24
2023,ANA202305240,ANA,BOS,0,0,andet002,paxtj001,5.43,4.5
2023,ANA202305260,ANA,MIA,0,0,detmr001,luzaj001,4.48,3.58
2023,ANA202305270,ANA,MIA,0,1,barrj003,flord002,5.68,4.76
2023,ANA202305280,ANA,MIA,0,0,sandp002,peree004,4.11,3.15
2023,ANA202306060,ANA,CHN,0,0,andet002,hughb002,5.43,7.24
2023,ANA202306070,ANA,CHN,0,0,joycb001,tailj001,5.4,4.84
2023,ANA202306080,ANA,CHN,0,0,detmr001,smyld001,4.48,5.0
2023,ANA202306090,ANA,SEA,0,2,webbj002,castl003,3.69,3.34
2023,ANA202306100,ANA,SEA,0,0,sandp002,speig001,4.11,3.79
2023,ANA202306110,ANA,SEA,2,0,canng001,gilbl002,4.32,3.73
2023,ANA202306200,ANA,LAN,0,0,devec001,kersc001,4.46,2.46
2023,ANA202306210,ANA,LAN,0,0,ohtas001,gonzv001,3.14,4.01
2023,ANA202306260,ANA,CHA,0,1,estec001,loper003,3.9,3.27
