game_id,hometeam,home_recent_form
BOS191104210,BOS,
BOS191104220,BOS,
BOS191104240,BOS,
BOS191104250,BOS,
BOS191104260,BOS,
BOS191104270,BOS,
BOS191104280,BOS,
BOS191104290,BOS,
BOS191105010,BOS,
BOS191105020,BOS,
BOS191105030,BOS,
BOS191106010,BOS,
BOS191106020,BOS,
BOS191106030,BOS,
BOS191106050,BOS,
BOS191106070,BOS,
BOS191106080,BOS,
BOS191106090,BOS,
BOS191106100,BOS,
BOS191106120,BOS,
BOS191106140,BOS,
BOS191106150,BOS,
BOS191106160,BOS,
BOS191106171,BOS,
BOS191106172,BOS,
BOS191106231,BOS,
BOS191106232,BOS,
BOS191106240,BOS,
BOS191106260,BOS,
BOS191106270,BOS,
BOS191106291,BOS,
BOS191106292,BOS,
BOS191106300,BOS,
BOS191107010,BOS,
BOS191107030,BOS,
BOS191107041,BOS,
BOS191107042,BOS,
BOS191107050,BOS,
BOS191107250,BOS,
BOS191107260,BOS,
BOS191107270,BOS,
BOS191107291,BOS,
BOS191107292,BOS,
BOS191107311,BOS,
BOS191107312,BOS,
BOS191108010,BOS,
BOS191108021,BOS,
BOS191108022,BOS,
BOS191108030,BOS,
BOS191108040,BOS,
BOS191108050,BOS,
BOS191108070,BOS,
BOS191108080,BOS,
BOS191108090,BOS,
BOS191109011,BOS,
BOS191109012,BOS,
BOS191109020,BOS,
BOS191109041,BOS,
BOS191109042,BOS,
BOS191109050,BOS,
BOS191109161,BOS,
BOS191109162,BOS,
BOS191109180,BOS,
BOS191109190,BOS,
BOS191109200,BOS,
BOS191109210,BOS,
BOS191109220,BOS,
BOS191109230,BOS,
BOS191109250,BOS,
BOS191109270,BOS,
BOS191109280,BOS,
BOS191109301,BOS,
BOS191109302,BOS,
BOS191110050,BOS,
BOS191110060,BOS,
BOS191110070,BOS,
BRO191104210,BRO,
BRO191104240,BRO,
BRO191104250,BRO,
BRO191104260,BRO,
BRO191104270,BRO,
BRO191104280,BRO,
BRO191104290,BRO,
BRO191105020,BRO,
BRO191105030,BRO,
BRO191105090,BRO,
BRO191105100,BRO,
BRO191105110,BRO,
BRO191105120,BRO,
BRO191105130,BRO,
BRO191105150,BRO,
BRO191105160,BRO,
BRO191105170,BRO,
BRO191105180,BRO,
BRO191105190,BRO,
BRO191105200,BRO,
BRO191105220,BRO,
BRO191105230,BRO,
BRO191105240,BRO,
BRO191105250,BRO,
BRO191106200,BRO,
BRO191106210,BRO,
BRO191106220,BRO,
BRO191106230,BRO,
BRO191106240,BRO,
BRO191106271,BRO,
BRO191106272,BRO,
BRO191107030,BRO,
BRO191107041,BRO,
BRO191107042,BRO,
BRO191107050,BRO,
BRO191107060,BRO,
BRO191107070,BRO,
BRO191107080,BRO,
BRO191107100,BRO,
BRO191107110,BRO,
BRO191107120,BRO,
BRO191107130,BRO,
BRO191107150,BRO,
BRO191107180,BRO,
BRO191107191,BRO,
BRO191107192,BRO,
BRO191107200,BRO,
BRO191107210,BRO,
