hometeam,season,home_era
ANA,2013,5.666666666666667
ANA,2014,5.0
ANA,2015,3.6666666666666665
ANA,2016,5.555555555555555
ANA,2017,3.333333333333333
ANA,2018,4.111111111111111
ANA,2019,3.888888888888889
ANA,2020,4.935483870967742
ANA,2021,5.926829268292683
ANA,2022,5.333333333333333
ANA,2023,6.555555555555555
ANA,2024,4.0
ARI,2013,4.222222222222222
ARI,2014,5.666666666666667
ARI,2015,6.111111111111112
ARI,2016,5.777777777777778
ARI,2017,4.555555555555555
ARI,2018,4.222222222222222
ARI,2019,4.888888888888888
ARI,2020,5.3999999999999995
ARI,2021,6.333333333333334
ARI,2022,6.222222222222221
ARI,2023,6.666666666666666
ARI,2024,4.0
ATL,2013,1.8888888888888888
ATL,2014,3.888888888888889
ATL,2015,5.666666666666667
ATL,2016,7.666666666666667
ATL,2017,5.777777777777778
ATL,2018,5.333333333333333
ATL,2019,5.0
ATL,2020,5.1
ATL,2021,4.6125
ATL,2022,4.888888888888888
ATL,2023,4.111111111111111
ATL,2024,4.222222222222222
BAL,2013,4.444444444444445
BAL,2014,2.7777777777777777
BAL,2015,3.4615384615384617
BAL,2016,2.444444444444444
BAL,2017,5.0
BAL,2018,4.555555555555555
BAL,2019,7.444444444444445
BAL,2020,6.818181818181818
BAL,2021,7.333333333333333
BAL,2022,4.888888888888888
BAL,2023,3.444444444444444
BAL,2024,4.888888888888888
BOS,2013,3.5555555555555554
BOS,2014,5.222222222222222
BOS,2015,5.222222222222222
BOS,2016,3.444444444444444
BOS,2017,3.1111111111111107
BOS,2018,3.6666666666666665
BOS,2019,6.333333333333334
BOS,2020,3.774193548387097
BOS,2021,6.666666666666666
BOS,2022,5.888888888888889
BOS,2023,4.777777777777778
BOS,2024,6.666666666666666
CHA,2013,4.555555555555555
CHA,2014,6.0
CHA,2015,3.7777777777777777
CHA,2016,3.444444444444444
CHA,2017,3.444444444444444
CHA,2018,5.222222222222222
CHA,2019,4.6125
CHA,2020,2.1
CHA,2021,4.555555555555555
CHA,2022,6.888888888888888
CHA,2023,7.111111111111111
CHA,2024,5.333333333333333
CHN,2013,5.555555555555555
CHN,2014,4.444444444444445
CHN,2015,5.111111111111111
CHN,2016,3.333333333333333
CHN,2017,4.222222222222222
CHN,2018,3.1829268292682924
CHN,2019,4.0
CHN,2020,4.909090909090908
CHN,2021,5.444444444444445
CHN,2022,5.111111111111111
CHN,2023,4.444444444444445
CHN,2024,2.6666666666666665
CIN,2013,3.15
CIN,2014,3.888888888888889
CIN,2015,4.111111111111111
CIN,2016,5.777777777777778
CIN,2017,3.0
CIN,2018,5.666666666666667
CIN,2019,4.666666666666666
CIN,2020,5.586206896551724
CIN,2021,6.0
CIN,2022,7.0
CIN,2023,4.666666666666666
CIN,2024,5.888888888888889
CLE,2013,4.111111111111111
CLE,2014,6.0
CLE,2015,4.05
CLE,2016,4.333333333333333
CLE,2017,3.1111111111111107
CLE,2018,6.111111111111112
CLE,2019,3.5555555555555554
CLE,2020,3.6
CLE,2021,4.888888888888888
CLE,2022,3.6666666666666665
CLE,2023,4.555555555555555
CLE,2024,2.6999999999999997
COL,2013,6.0
COL,2014,6.777777777777778
COL,2015,6.0
COL,2016,7.0
COL,2017,4.222222222222222
COL,2018,3.5555555555555554
COL,2019,8.555555555555555
COL,2020,7.800000000000001
COL,2021,6.333333333333334
COL,2022,5.0
COL,2023,8.555555555555555
COL,2024,7.777777777777778
DET,2013,4.333333333333333
DET,2014,6.111111111111112
DET,2015,3.222222222222222
DET,2016,3.8249999999999997
DET,2017,3.888888888888889
DET,2018,3.888888888888889
DET,2019,4.444444444444445
DET,2020,6.333333333333334
DET,2021,4.888888888888888
DET,2022,4.719512195121951
DET,2023,4.666666666666666
DET,2024,6.333333333333334
HOU,2013,6.444444444444444
HOU,2014,6.333333333333334
HOU,2015,4.222222222222222
HOU,2016,4.888888888888888
HOU,2017,3.0
HOU,2018,4.333333333333333
HOU,2019,4.333333333333333
HOU,2020,4.178571428571429
HOU,2021,6.111111111111112
HOU,2022,4.444444444444445
HOU,2023,6.888888888888888
HOU,2024,5.222222222222222
KCA,2013,2.111111111111111
KCA,2014,5.777777777777778
KCA,2015,3.333333333333333
KCA,2016,4.333333333333333
KCA,2017,4.888888888888888
KCA,2018,6.888888888888888
KCA,2019,6.333333333333334
KCA,2020,4.2
KCA,2021,5.222222222222222
KCA,2022,5.333333333333333
KCA,2023,5.444444444444445
KCA,2024,5.111111111111111
LAN,2013,4.333333333333333
LAN,2014,4.111111111111111
LAN,2015,3.0
LAN,2016,2.444444444444444
LAN,2017,3.222222222222222
LAN,2018,4.829268292682928
LAN,2019,3.222222222222222
LAN,2020,4.8
LAN,2021,4.666666666666666
LAN,2022,5.888888888888889
LAN,2023,5.0
LAN,2024,4.444444444444445
MIA,2013,3.6666666666666665
MIA,2014,3.333333333333333
MIA,2015,2.888888888888889
MIA,2016,3.7125
MIA,2017,3.9230769230769234
MIA,2018,6.0
MIA,2019,6.333333333333334
MIA,2020,2.076923076923077
MIA,2021,4.333333333333333
MIA,2022,5.333333333333333
MIA,2023,5.888888888888889
MIA,2024,7.0
MIL,2013,2.7777777777777777
MIL,2014,4.333333333333333
MIL,2015,4.333333333333333
MIL,2016,5.0
MIL,2017,4.607142857142857
MIL,2018,4.666666666666666
MIL,2019,4.333333333333333
MIL,2020,5.896551724137931
MIL,2021,5.666666666666667
MIL,2022,5.888888888888889
MIL,2023,3.7777777777777777
MIL,2024,4.111111111111111
MIN,2013,4.111111111111111
MIN,2014,5.111111111111111
MIN,2015,5.777777777777778
MIN,2016,6.0
MIN,2017,6.111111111111112
MIN,2018,4.444444444444445
MIN,2019,6.666666666666666
MIN,2020,5.225806451612904
MIN,2021,5.333333333333333
MIN,2022,4.333333333333333
MIN,2023,5.333333333333333
MIN,2024,5.0
NYA,2013,4.111111111111111
NYA,2014,5.0
NYA,2015,5.0
NYA,2016,2.444444444444444
NYA,2017,3.888888888888889
NYA,2018,3.5555555555555554
NYA,2019,3.7777777777777777
NYA,2020,5.516129032258065
NYA,2021,5.111111111111111
NYA,2022,3.7777777777777777
NYA,2023,4.555555555555555
NYA,2024,5.111111111111111
NYN,2013,5.666666666666667
NYN,2014,4.555555555555555
NYN,2015,4.555555555555555
NYN,2016,4.0
NYN,2017,5.222222222222222
NYN,2018,4.555555555555555
NYN,2019,5.444444444444445
NYN,2020,4.0344827586206895
NYN,2021,4.555555555555555
NYN,2022,3.333333333333333
NYN,2023,5.777777777777778
NYN,2024,5.666666666666667
OAK,2013,2.7777777777777777
OAK,2014,4.111111111111111
OAK,2015,3.7777777777777777
OAK,2016,4.666666666666666
OAK,2017,5.666666666666667
OAK,2018,3.5555555555555554
OAK,2019,4.0
OAK,2020,4.21875
OAK,2021,4.888888888888888
OAK,2022,4.95
OAK,2023,6.888888888888888
OAK,2024,6.666666666666666
PHI,2013,5.888888888888889
PHI,2014,4.777777777777778
PHI,2015,3.888888888888889
PHI,2016,6.111111111111112
PHI,2017,5.666666666666667
PHI,2018,4.777777777777778
PHI,2019,5.0
PHI,2020,8.15625
PHI,2021,5.777777777777778
PHI,2022,7.0
PHI,2023,4.0
PHI,2024,4.777777777777778
PIT,2013,2.7777777777777777
PIT,2014,3.6666666666666665
PIT,2015,3.6666666666666665
PIT,2016,4.777777777777778
PIT,2017,4.333333333333333
PIT,2018,3.2624999999999997
PIT,2019,5.888888888888889
PIT,2020,5.625
PIT,2021,4.222222222222222
PIT,2022,6.666666666666666
PIT,2023,5.555555555555555
PIT,2024,7.666666666666667
SDN,2013,4.0
SDN,2014,2.7777777777777777
SDN,2015,4.222222222222222
SDN,2016,4.888888888888888
SDN,2017,5.222222222222222
SDN,2018,6.111111111111112
SDN,2019,4.0
SDN,2020,4.78125
SDN,2021,3.222222222222222
SDN,2022,4.333333333333333
SDN,2023,3.7777777777777777
SDN,2024,6.111111111111112
SEA,2013,4.888888888888888
SEA,2014,3.222222222222222
SEA,2015,4.444444444444445
SEA,2016,3.7777777777777777
SEA,2017,6.333333333333334
SEA,2018,4.222222222222222
SEA,2019,5.222222222222222
SEA,2020,4.125
SEA,2021,3.333333333333333
SEA,2022,4.333333333333333
SEA,2023,4.777777777777778
SEA,2024,2.7777777777777777
SFN,2013,5.158536585365853
SFN,2014,3.6666666666666665
SFN,2015,4.888888888888888
SFN,2016,4.222222222222222
SFN,2017,4.0
SFN,2018,4.888888888888888
SFN,2019,3.6666666666666665
SFN,2020,7.090909090909091
SFN,2021,4.333333333333333
SFN,2022,4.111111111111111
SFN,2023,4.111111111111111
SFN,2024,6.666666666666666
SLN,2013,6.0
SLN,2014,5.333333333333333
SLN,2015,4.777777777777778
SLN,2016,4.777777777777778
SLN,2017,4.222222222222222
SLN,2018,4.777777777777778
SLN,2019,3.7777777777777777
SLN,2020,6.666666666666666
SLN,2021,4.111111111111111
SLN,2022,3.888888888888889
SLN,2023,6.555555555555555
SLN,2024,4.0
TBA,2013,4.222222222222222
TBA,2014,4.777777777777778
TBA,2015,4.392857142857142
TBA,2016,6.777777777777778
TBA,2017,3.888888888888889
TBA,2018,3.5555555555555554
TBA,2019,5.777777777777778
TBA,2020,3.413793103448276
TBA,2021,3.5555555555555554
TBA,2022,4.333333333333333
TBA,2023,4.222222222222222
TBA,2024,3.7777777777777777
TEX,2013,2.524390243902439
TEX,2014,2.333333333333333
TEX,2015,4.111111111111111
TEX,2016,3.6666666666666665
TEX,2017,5.888888888888889
TEX,2018,5.0
TEX,2019,6.0
TEX,2020,1.8
TEX,2021,4.888888888888888
TEX,2022,4.666666666666666
TEX,2023,5.555555555555555
TEX,2024,4.222222222222222
TOR,2013,4.222222222222222
TOR,2014,4.666666666666666
TOR,2015,4.333333333333333
TOR,2016,5.888888888888889
TOR,2017,5.222222222222222
TOR,2018,4.444444444444445
TOR,2019,5.0
TOR,2020,7.269230769230769
TOR,2021,7.0874999999999995
TOR,2022,4.444444444444445
TOR,2023,5.555555555555555
TOR,2024,6.666666666666666
WAS,2013,3.5555555555555554
WAS,2014,4.0
WAS,2015,3.5555555555555554
WAS,2016,5.222222222222222
WAS,2017,5.666666666666667
WAS,2018,5.333333333333333
WAS,2019,8.0
WAS,2020,3.5454545454545454
WAS,2021,7.888888888888889
WAS,2022,4.111111111111111
WAS,2023,5.555555555555555
WAS,2024,6.444444444444444
