game_id,home_r1
ANA201403310,2
ANA201404010,0
ANA201404020,0
ANA201404110,1
ANA201404120,1
ANA201404130,4
ANA201404140,1
ANA201404150,2
ANA201404160,0
ANA201404280,1
ANA201404290,0
ANA201404300,0
ANA201405020,0
ANA201405030,1
ANA201405040,2
ANA201405050,0
ANA201405060,0
ANA201405070,0
ANA201405150,0
ANA201405160,0
ANA201405170,2
ANA201405180,1
ANA201405190,0
ANA201405200,3
ANA201405210,0
ANA201405230,0
ANA201405240,0
ANA201405250,0
ANA201406060,2
ANA201406070,0
ANA201406080,0
ANA201406090,0
ANA201406100,0
ANA201406110,0
ANA201406200,0
ANA201406210,0
ANA201406220,0
ANA201406240,5
ANA201406250,0
ANA201406260,2
ANA201407030,1
ANA201407040,0
ANA201407050,1
ANA201407060,0
ANA201407070,0
ANA201407080,0
ANA201407090,0
ANA201407180,0
ANA201407190,0
ANA201407200,1
ANA201407210,1
ANA201407220,0
ANA201407230,1
ANA201407240,0
ANA201407250,0
ANA201407260,0
ANA201407270,0
ANA201408060,0
ANA201408070,0
ANA201408080,0
ANA201408090,2
ANA201408100,0
ANA201408120,0
ANA201408130,0
ANA201408250,0
ANA201408260,1
ANA201408270,0
ANA201408280,0
ANA201408290,0
ANA201408300,0
ANA201408310,0
ANA201409120,0
ANA201409130,1
ANA201409140,0
ANA201409150,0
ANA201409160,2
ANA201409170,0
ANA201409180,0
ANA201409190,0
ANA201409200,1
ANA201409210,0
ARI201403220,0
ARI201403230,0
ARI201403310,0
ARI201404010,2
ARI201404020,0
ARI201404030,2
ARI201404110,0
ARI201404120,0
ARI201404130,0
ARI201404140,1
ARI201404150,0
ARI201404160,0
ARI201404250,0
ARI201404260,2
ARI201404270,0
ARI201404280,0
ARI201404290,0
ARI201404300,0
ARI201405120,0
ARI201405130,0
ARI201405140,0
ARI201405160,0
ARI201405170,0
ARI201405180,0
ARI201405260,0
ARI201405270,0
ARI201405280,8
ARI201405290,1
ARI201405300,1
ARI201405310,0
ARI201406010,0
ARI201406060,1
ARI201406070,0
ARI201406080,0
ARI201406090,0
ARI201406100,1
ARI201406160,0
ARI201406170,3
ARI201406180,2
ARI201406190,0
ARI201406200,0
ARI201406210,0
ARI201406220,0
ARI201406240,1
ARI201406250,0
ARI201407070,0
ARI201407080,0
ARI201407090,0
ARI201407180,0
ARI201407190,0
ARI201407200,0
ARI201407210,0
ARI201407220,1
ARI201407230,0
ARI201407310,0
ARI201408010,0
ARI201408020,0
ARI201408030,0
ARI201408050,1
ARI201408060,0
ARI201408070,1
ARI201408080,3
ARI201408090,1
ARI201408100,2
ARI201408220,3
ARI201408230,1
ARI201408240,0
ARI201408260,0
ARI201408270,0
ARI201408290,0
ARI201408300,0
ARI201408310,1
ARI201409120,1
ARI201409130,3
ARI201409140,0
ARI201409150,0
ARI201409160,0
ARI201409170,0
ARI201409260,2
ARI201409270,2
ARI201409280,0
ATL201404080,0
ATL201404090,1
ATL201404100,0
ATL201404110,0
ATL201404120,4
ATL201404130,3
ATL201404210,0
ATL201404220,0
