year,game_id,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_pitcher,vis_pitcher,home_ERA,vis_ERA,date,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP,away_OBP
2018,ARI201803300,ARI,COL,5,0,ray-r002,senza001,3.93,4.38,2018-03-30,1e-06,1e-06,ARI,ARI,5.0,0.0,0.321,0.293
2018,TOR201803300,TOR,NYA,0,0,sanca006,tanam001,4.89,3.75,2018-03-30,1e-06,1e-06,TOR,TOR,0.0,0.0,0.313,0.315
2018,TEX201803300,TEX,HOU,0,0,fistd001,keucd001,4.5,3.74,2018-03-30,1e-06,1e-06,TEX,TEX,0.0,0.0,0.339,0.333
2018,MIA201803300,MIA,CHN,0,0,despo001,butle001,6.69,5.62,2018-03-30,1e-06,1e-06,MIA,MIA,0.0,0.0,0.303,0.328
2018,ATL201803300,ATL,PHI,0,0,carls002,hutcd001,2.86,6.75,2018-03-30,1e-06,1e-06,ATL,ATL,0.0,0.0,0.325,0.312
2018,OAK201803300,OAK,ANA,0,1,manas001,skagt001,3.59,4.02,2018-03-30,1e-06,1e-06,OAK,OAK,0.0,1.0,0.32,0.314
2018,SDN201803300,SDN,MIL,0,2,handb001,drako001,2.75,5.29,2018-03-30,1e-06,1e-06,SDN,SDN,0.0,2.0,0.303,0.322
2018,LAN201803300,LAN,SFN,0,0,jansk001,watst001,3.01,2.59,2018-03-30,1e-06,1e-06,LAN,LAN,0.0,0.0,0.317,0.292
2018,TBA201803300,TBA,BOS,0,0,roe-c001,pricd001,3.58,3.58,2018-03-30,1e-06,1e-06,TBA,TBA,0.0,0.0,0.341,0.331
2018,TEX201803310,TEX,HOU,0,0,moorm003,mccul002,6.79,3.86,2018-03-31,1e-06,1e-06,TEX,TEX,0.0,0.0,0.339,0.333
2018,TOR201803310,TOR,NYA,1,0,teper001,betad001,3.62,2.7,2018-03-31,1e-06,1e-06,TOR,TOR,0.0,0.0,0.313,0.315
2018,SDN201803310,SDN,MIL,0,1,perdl002,suteb001,7.05,4.44,2018-03-31,1e-06,1e-06,SDN,SDN,0.0,2.0,0.303,0.322
2018,CIN201803310,CIN,WAS,0,3,castl003,stras001,4.3,3.74,2018-03-31,1e-06,1e-06,CIN,CIN,0.0,3.0,0.337,0.323
2018,BAL201803310,BAL,MIN,0,1,casha001,gibsk002,5.29,3.62,2018-03-31,1e-06,1e-06,BAL,BAL,0.0,1.0,0.31,0.303
2018,ATL201803310,ATL,PHI,1,2,mccab001,velav001,4.92,,2018-03-31,1e-06,1e-06,ATL,ATL,0.0,0.0,0.325,0.312
2018,SEA201803310,SEA,CLE,0,4,paxtj001,carrc003,3.76,3.38,2018-03-31,1e-06,1e-06,SEA,SEA,0.0,4.0,0.301,0.317
2018,OAK201803310,OAK,ANA,0,1,mengd001,shoem001,4.05,4.94,2018-03-31,1e-06,1e-06,OAK,OAK,0.0,1.0,0.32,0.314
2018,TBA201803310,TBA,BOS,0,0,kitta001,porcr001,7.75,4.28,2018-03-31,1e-06,1e-06,TBA,TBA,0.0,0.0,0.341,0.331
2018,NYN201803310,NYN,SLN,2,0,degrj001,wachm001,1.7,3.2,2018-03-31,1e-06,1e-06,NYN,NYN,2.0,0.0,0.292,0.328
2018,MIA201803310,MIA,CHN,2,0,ziegb001,strop001,3.91,2.26,2018-03-31,1e-06,1e-06,MIA,MIA,0.0,0.0,0.303,0.328
2018,LAN201803310,LAN,SFN,2,0,maedk001,holld003,3.81,3.57,2018-03-31,1e-06,1e-06,LAN,LAN,0.0,0.0,0.317,0.292
