game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP,away_OBP
ARI201403230,2014-03-23,ARI,LAN,0,1,5.61,3.38,1e-06,1e-06,ARI,ARI,0.0,1.0,0.318,0.346
ARI201404010,2014-04-01,ARI,SFN,2,4,4.34,,1e-06,1e-06,ARI,ARI,0.0,4.0,0.318,0.309
TEX201404010,2014-04-01,TEX,PHI,0,0,3.25,4.4,1e-06,1e-06,TEX,TEX,0.0,0.0,0.312,0.303
SDN201404010,2014-04-01,SDN,LAN,0,2,3.63,2.71,1e-06,1e-06,SDN,SDN,0.0,1.0,0.299,0.346
TBA201404010,2014-04-01,TBA,TOR,0,3,2.87,4.48,1e-06,1e-06,TBA,TBA,0.0,3.0,0.326,0.318
MIA201404010,2014-04-01,MIA,COL,0,0,4.37,2.91,1e-06,1e-06,MIA,MIA,0.0,0.0,0.326,0.279
ANA201404010,2014-04-01,ANA,SEA,0,0,4.51,5.26,1e-06,1e-06,ANA,ANA,0.0,0.0,0.315,0.306
MIL201404010,2014-04-01,MIL,ATL,1,0,3.54,2.78,1e-06,1e-06,MIL,MIL,1.0,0.0,0.322,0.3
TEX201404020,2014-04-02,TEX,PHI,0,1,6.75,2.04,1e-06,1e-06,TEX,TEX,0.0,0.0,0.312,0.303
CIN201404020,2014-04-02,CIN,SLN,0,0,4.88,4.03,1e-06,1e-06,CIN,CIN,0.0,0.0,0.305,0.306
TBA201404020,2014-04-02,TBA,TOR,0,0,2.7,3.39,1e-06,1e-06,TBA,TBA,0.0,3.0,0.326,0.318
PIT201404020,2014-04-02,PIT,CHN,0,0,5.23,4.64,1e-06,1e-06,PIT,PIT,0.0,0.0,0.342,0.296
MIL201404020,2014-04-02,MIL,ATL,0,0,3.64,3.57,1e-06,1e-06,MIL,MIL,1.0,0.0,0.322,0.3
NYN201404020,2014-04-02,NYN,WAS,1,0,4.09,3.57,1e-06,1e-06,NYN,NYN,1.0,0.0,0.295,0.303
DET201404020,2014-04-02,DET,KCA,0,0,2.51,3.86,1e-06,1e-06,DET,DET,0.0,0.0,0.338,0.317
MIA201404020,2014-04-02,MIA,COL,1,3,2.65,4.33,1e-06,1e-06,MIA,MIA,0.0,0.0,0.326,0.279
BAL201404020,2014-04-02,BAL,BOS,0,0,4.81,3.82,1e-06,1e-06,BAL,BAL,0.0,0.0,0.317,0.299
ANA201404020,2014-04-02,ANA,SEA,0,0,3.75,3.04,1e-06,1e-06,ANA,ANA,0.0,0.0,0.315,0.306
SDN201404020,2014-04-02,SDN,LAN,0,3,2.81,4.02,1e-06,1e-06,SDN,SDN,0.0,1.5,0.299,0.346
OAK201404022,2014-04-02,OAK,CLE,2,0,7.09,2.07,1e-06,1e-06,OAK,OAK,2.0,0.0,0.335,0.314
OAK201404021,2014-04-02,OAK,CLE,1,0,3.55,2.44,1e-06,1e-06,OAK,OAK,2.0,0.0,0.335,0.314
CHA201404020,2014-04-02,CHA,MIN,0,0,5.56,,1e-06,1e-06,CHA,CHA,0.0,0.0,0.314,0.314
HOU201404020,2014-04-02,HOU,NYA,1,0,3.69,3.71,1e-06,1e-06,HOU,HOU,1.0,0.0,0.315,0.305
ARI201404020,2014-04-02,ARI,SFN,0,0,5.61,3.57,1e-06,1e-06,ARI,ARI,1.0,4.0,0.318,0.309
OAK201404030,2014-04-03,OAK,SEA,0,1,2.35,4.75,1e-06,592.0809005913671,OAK,ANA,1.5,0.0,0.335,0.306
PIT201404030,2014-04-03,PIT,CHN,0,1,6.75,3.47,1e-06,1e-06,PIT,PIT,0.0,0.0,0.342,0.296
BAL201404030,2014-04-03,BAL,BOS,0,0,3.54,5.54,1e-06,1e-06,BAL,BAL,0.0,0.0,0.317,0.299
ARI201404030,2014-04-03,ARI,SFN,2,1,4.34,2.58,1e-06,1e-06,ARI,ARI,0.6666666666666666,2.0,0.318,0.309
MIA201404030,2014-04-03,MIA,COL,1,1,2.11,4.87,1e-06,1e-06,MIA,MIA,0.5,1.5,0.326,0.279
NYN201404030,2014-04-03,NYN,WAS,2,0,3.54,2.85,1e-06,1e-06,NYN,NYN,1.0,0.0,0.295,0.303
CIN201404030,2014-04-03,CIN,SLN,3,0,3.71,2.74,1e-06,1e-06,CIN,CIN,0.0,0.0,0.305,0.306
TBA201404030,2014-04-03,TBA,TOR,0,0,3.33,5.67,1e-06,1e-06,TBA,TBA,0.0,1.5,0.326,0.318
CHA201404030,2014-04-03,CHA,MIN,0,0,5.03,3.4,1e-06,1e-06,CHA,CHA,0.0,0.0,0.314,0.314
HOU201404030,2014-04-03,HOU,NYA,1,0,4.39,8.27,1e-06,1e-06,HOU,HOU,1.0,0.0,0.315,0.305
MIA201404040,2014-04-04,MIA,SDN,2,0,3.81,4.3,1e-06,3647.952032104879,MIA,SDN,0.6666666666666666,0.0,0.326,0.285
HOU201404040,2014-04-04,HOU,ANA,0,1,9.49,2.61,1e-06,2169.9670210701,HOU,ANA,1.0,1.0,0.315,0.326
DET201404040,2014-04-04,DET,BAL,0,2,3.24,3.23,1e-06,638.3359432178316,DET,BAL,0.0,2.0,0.338,0.305
BOS201404040,2014-04-04,BOS,MIL,0,0,3.9,3.24,578.81170796599,1380.0911924179386,BAL,MIL,0.0,0.0,0.332,0.3
TOR201404040,2014-04-04,TOR,NYA,1,2,4.17,2.77,1789.459752085548,2094.913694918614,TBA,HOU,1.0,0.0,0.327,0.305
NYN201404040,2014-04-04,NYN,CIN,0,0,3.65,3.7,1e-06,913.3322258208744,NYN,CIN,1.5,0.0,0.295,0.289
CHN201404040,2014-04-04,CHN,PHI,0,0,5.03,,660.0502267315369,1309.650558347085,PIT,TEX,0.0,0.5,0.303,0.303
LAN201404040,2014-04-04,LAN,SFN,0,6,3.38,3.36,179.52869961196944,574.8341159449532,SDN,ARI,0.0,1.6666666666666667,0.319,0.309
PIT201404040,2014-04-04,PIT,SLN,0,0,3.65,3.74,1e-06,415.25842934625814,PIT,CIN,0.0,0.0,0.342,0.306
TBA201404040,2014-04-04,TBA,TEX,1,0,4.13,6.7,1e-06,1496.616116420437,TBA,TEX,0.0,0.0,0.326,0.316
KCA201404040,2014-04-04,KCA,CHA,3,1,4.13,6.46,1034.95696626315,663.9206411727051,DET,CHA,3.0,1.0,0.31,0.305
COL201404040,2014-04-04,COL,ARI,1,0,5.38,4.87,2773.388608504832,942.6579354569092,MIA,ARI,1.0,0.0,0.372,0.287
CLE201404040,2014-04-04,CLE,MIN,0,2,2.86,7.99,3466.040146226439,494.38381964269325,OAK,CHA,0.0,0.0,0.32,0.314
WAS201404040,2014-04-04,WAS,ATL,0,0,2.18,4.57,326.3648041771951,1025.9779093655509,NYN,MIL,0.0,0.0,0.333,0.3
HOU201404050,2014-04-05,HOU,ANA,1,0,2.93,4.3,1e-06,1e-06,HOU,HOU,0.6666666666666666,1.0,0.315,0.326
