game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP,away_OBP
OAK201903210,2019-03-21,OAK,SEA,0,0,2.98,5.0,1e-06,1e-06,OAK,OAK,0.0,0.0,0.33,0.316
SEA201903290,2019-03-29,SEA,BOS,2,0,5.55,6.02,1e-06,1e-06,SEA,SEA,2.0,0.0,0.315,0.335
MIL201903290,2019-03-29,MIL,SLN,0,3,9.82,3.66,1e-06,1e-06,MIL,MIL,0.0,3.0,0.338,0.315
TBA201903290,2019-03-29,TBA,HOU,0,0,3.05,2.5,1e-06,1e-06,TBA,TBA,0.0,0.0,0.326,0.341
SDN201903290,2019-03-29,SDN,SFN,0,0,4.18,6.08,1e-06,1e-06,SDN,SDN,0.0,0.0,0.302,0.313
MIA201903290,2019-03-29,MIA,COL,0,0,6.53,4.76,1e-06,1e-06,MIA,MIA,0.0,0.0,0.306,0.289
TOR201903290,2019-03-29,TOR,DET,0,0,1.57,4.56,1e-06,1e-06,TOR,TOR,0.0,0.0,0.3,0.291
LAN201903290,2019-03-29,LAN,ARI,0,0,3.61,4.71,1e-06,1e-06,LAN,LAN,0.0,0.0,0.338,0.323
OAK201903290,2019-03-29,OAK,ANA,0,0,4.3,2.48,1e-06,1e-06,OAK,OAK,0.0,0.0,0.33,0.322
OAK201903300,2019-03-30,OAK,ANA,0,0,3.89,4.58,1e-06,1e-06,OAK,OAK,0.0,0.0,0.33,0.322
MIN201903300,2019-03-30,MIN,CLE,0,0,4.55,2.25,1e-06,1e-06,MIN,MIN,0.0,0.0,0.336,0.326
WAS201903300,2019-03-30,WAS,NYN,1,3,13.5,2.54,1e-06,1e-06,WAS,WAS,1.0,3.0,0.35,0.33
KCA201903300,2019-03-30,KCA,CHA,0,0,,5.38,1e-06,1e-06,KCA,KCA,0.0,0.0,0.316,0.316
TOR201903300,2019-03-30,TOR,DET,0,0,5.89,4.61,1e-06,1e-06,TOR,TOR,0.0,0.0,0.3,0.291
LAN201903300,2019-03-30,LAN,ARI,1,1,4.04,5.97,1e-06,1e-06,LAN,LAN,0.0,0.0,0.338,0.323
TEX201903300,2019-03-30,TEX,CHN,0,3,4.94,8.47,1e-06,1e-06,TEX,TEX,0.0,3.0,0.333,0.319
TBA201903300,2019-03-30,TBA,HOU,0,1,1.78,4.7,1e-06,1e-06,TBA,TBA,0.0,0.0,0.326,0.341
MIL201903300,2019-03-30,MIL,SLN,1,0,3.62,3.35,1e-06,1e-06,MIL,MIL,0.0,3.0,0.338,0.315
SEA201903300,2019-03-30,SEA,BOS,2,0,4.29,3.81,1e-06,1e-06,SEA,SEA,2.0,0.0,0.315,0.335
NYA201903300,2019-03-30,NYA,BAL,0,0,3.82,6.8,1e-06,1e-06,NYA,NYA,0.0,0.0,0.335,0.306
PHI201903300,2019-03-30,PHI,ATL,0,1,3.94,5.45,1e-06,1e-06,PHI,PHI,0.0,1.0,0.331,0.328
SDN201903300,2019-03-30,SDN,SFN,0,0,6.79,5.64,1e-06,1e-06,SDN,SDN,0.0,0.0,0.302,0.313
MIA201903300,2019-03-30,MIA,COL,0,0,5.09,11.76,1e-06,1e-06,MIA,MIA,0.0,0.0,0.306,0.289
TEX201903310,2019-03-31,TEX,CHN,0,0,4.33,4.97,1e-06,1e-06,TEX,TEX,0.0,3.0,0.333,0.319
SEA201903310,2019-03-31,SEA,BOS,0,3,5.71,5.52,1e-06,1e-06,SEA,SEA,2.0,0.0,0.315,0.335
SDN201903310,2019-03-31,SDN,SFN,0,0,5.34,4.43,1e-06,1e-06,SDN,SDN,0.0,0.0,0.302,0.313
TBA201903310,2019-03-31,TBA,HOU,1,0,3.85,3.98,1e-06,1e-06,TBA,TBA,0.0,0.5,0.326,0.341
PHI201903310,2019-03-31,PHI,ATL,0,0,4.64,8.69,1e-06,1e-06,PHI,PHI,0.0,1.0,0.331,0.328
WAS201903310,2019-03-31,WAS,NYN,0,0,4.05,2.54,1e-06,1e-06,WAS,WAS,1.0,3.0,0.35,0.33
OAK201903310,2019-03-31,OAK,ANA,0,0,2.63,4.29,1e-06,1e-06,OAK,OAK,0.0,0.0,0.33,0.322
TOR201903310,2019-03-31,TOR,DET,0,0,6.16,4.34,1e-06,1e-06,TOR,TOR,0.0,0.0,0.3,0.291
KCA201903310,2019-03-31,KCA,CHA,0,0,6.33,3.41,1e-06,1e-06,KCA,KCA,0.0,0.0,0.316,0.316
LAN201903310,2019-03-31,LAN,ARI,3,0,4.24,4.75,1e-06,1e-06,LAN,LAN,0.5,0.5,0.338,0.323
NYA201903310,2019-03-31,NYA,BAL,0,3,4.91,3.6,1e-06,1e-06,NYA,NYA,0.0,0.0,0.335,0.306
MIA201903310,2019-03-31,MIA,COL,0,0,3.88,3.84,1e-06,1e-06,MIA,MIA,0.0,0.0,0.306,0.289
MIN201903310,2019-03-31,MIN,CLE,0,0,5.12,5.29,1e-06,1e-06,MIN,MIN,0.0,0.0,0.336,0.326
MIL201903310,2019-03-31,MIL,SLN,1,0,7.44,3.14,1e-06,1e-06,MIL,MIL,0.5,1.5,0.338,0.315
CIN201903310,2019-03-31,CIN,PIT,0,1,2.87,5.38,1e-06,1e-06,CIN,CIN,0.0,1.0,0.323,0.317
OAK201904010,2019-04-01,OAK,BOS,0,0,5.65,4.28,1e-06,1089.6592015072615,OAK,SEA,0.0,1.0,0.33,0.335
SDN201904010,2019-04-01,SDN,ARI,0,2,4.71,4.42,1e-06,179.52869961196944,SDN,LAN,0.0,0.3333333333333333,0.302,0.323
PIT201904010,2019-04-01,PIT,SLN,3,0,5.16,3.14,415.25842934625814,722.0054120555708,CIN,MIL,3.0,1.0,0.325,0.315
ATL201904010,2019-04-01,ATL,CHN,5,0,5.45,3.46,1071.2330338826837,1179.9161829380423,PHI,TEX,5.0,1.5,0.343,0.319
SEA201904010,2019-04-01,SEA,ANA,4,0,6.4,5.57,1e-06,1089.6592015072615,SEA,OAK,1.3333333333333333,0.0,0.315,0.322
TBA201904010,2019-04-01,TBA,COL,0,0,4.13,6.08,1e-06,319.9354673545946,TBA,MIA,0.3333333333333333,0.0,0.326,0.289
NYA201904010,2019-04-01,NYA,DET,0,0,4.03,6.11,1e-06,550.2922217550002,NYA,TOR,0.0,0.0,0.335,0.291
TEX201904010,2019-04-01,TEX,HOU,0,1,5.89,4.12,1e-06,1496.616116420437,TEX,TBA,0.0,0.3333333333333333,0.333,0.341
LAN201904010,2019-04-01,LAN,SFN,0,0,4.56,4.44,1e-06,179.52869961196944,LAN,SDN,1.3333333333333333,0.0,0.338,0.313
TOR201904010,2019-04-01,TOR,BAL,0,4,4.26,7.09,1e-06,550.2922217550002,TOR,NYA,0.0,1.5,0.3,0.306
CLE201904010,2019-04-01,CLE,CHA,0,0,2.25,7.98,1013.2251113855248,1123.5230318083022,MIN,KCA,0.0,0.0,0.32,0.316
CIN201904010,2019-04-01,CIN,MIL,0,3,4.16,9.53,1e-06,525.1892238126902,CIN,MIL,0.0,3.0,0.323,0.321
MIA201904010,2019-04-01,MIA,NYN,3,0,6.28,5.7,1e-06,1489.628641346009,MIA,WAS,0.0,1.5,0.306,0.33
SEA201904020,2019-04-02,SEA,ANA,0,0,3.99,4.35,1e-06,1e-06,SEA,SEA,2.0,0.0,0.315,0.322
MIA201904020,2019-04-02,MIA,NYN,1,5,5.21,4.51,1e-06,1e-06,MIA,MIA,0.75,1.0,0.306,0.33
TBA201904020,2019-04-02,TBA,COL,2,0,4.29,6.73,1e-06,1e-06,TBA,TBA,0.25,0.0,0.326,0.289
NYA201904020,2019-04-02,NYA,DET,0,0,2.21,4.37,1e-06,1e-06,NYA,NYA,0.0,0.0,0.335,0.291
OAK201904020,2019-04-02,OAK,BOS,1,0,3.9,4.4,1e-06,1e-06,OAK,OAK,0.0,0.75,0.33,0.335
SDN201904020,2019-04-02,SDN,ARI,2,0,4.45,2.93,1e-06,1e-06,SDN,SDN,0.0,0.75,0.302,0.323
LAN201904020,2019-04-02,LAN,SFN,0,0,2.32,3.9,1e-06,1e-06,LAN,LAN,1.0,0.0,0.338,0.313
KCA201904020,2019-04-02,KCA,MIN,1,0,5.4,10.47,1e-06,662.9211681328137,KCA,MIN,0.0,0.0,0.316,0.337
TOR201904020,2019-04-02,TOR,BAL,0,0,3.22,4.68,1e-06,1e-06,TOR,TOR,0.0,2.3333333333333335,0.3,0.306
CIN201904020,2019-04-02,CIN,MIL,0,0,5.01,6.01,1e-06,1e-06,CIN,CIN,0.0,3.0,0.323,0.321
WAS201904020,2019-04-02,WAS,PHI,0,0,2.92,4.13,1e-06,197.2342958595587,WAS,PHI,0.5,0.0,0.35,0.308
TEX201904020,2019-04-02,TEX,HOU,0,1,4.94,5.86,1e-06,1e-06,TEX,TEX,0.0,0.5,0.333,0.341
SDN201904030,2019-04-03,SDN,ARI,0,0,4.18,4.34,1e-06,1e-06,SDN,SDN,0.4,0.6,0.302,0.323
OAK201904030,2019-04-03,OAK,BOS,0,0,5.66,3.78,1e-06,1e-06,OAK,OAK,0.1666666666666666,0.6,0.33,0.335
LAN201904030,2019-04-03,LAN,SFN,2,0,3.63,2.86,1e-06,1e-06,LAN,LAN,0.8,0.0,0.338,0.313
TEX201904030,2019-04-03,TEX,HOU,1,0,3.59,2.5,1e-06,1e-06,TEX,TEX,0.0,0.6,0.333,0.341
