game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP_x,away_OBP_x,home_OBP_y,away_OBP_y
LAN202403210,2024-03-21,LAN,SDN,1,5,3.0,2.95,179.52869961196944,179.52869961196944,SDN,SDN,1.0,5.0,0.33,0.33,0.33,0.33
SEA202403290,2024-03-29,SEA,BOS,0,0,3.53,4.14,1e-06,1e-06,SEA,SEA,0.0,0.0,0.307,0.317,0.307,0.317
SDN202403290,2024-03-29,SDN,SFN,0,3,3.88,4.56,1e-06,1e-06,SDN,SDN,0.0,3.0,0.315,0.304,0.315,0.304
MIA202403290,2024-03-29,MIA,PIT,0,0,3.15,5.66,1e-06,1e-06,MIA,MIA,0.0,0.0,0.308,0.297,0.308,0.297
TBA202403290,2024-03-29,TBA,TOR,0,0,4.36,4.16,1e-06,1e-06,TBA,TBA,0.0,0.0,0.303,0.313,0.303,0.313
LAN202403290,2024-03-29,LAN,SLN,1,0,8.52,9.53,1e-06,1e-06,LAN,LAN,1.0,0.0,0.33,0.309,0.33,0.309
OAK202403290,2024-03-29,OAK,CLE,0,3,6.01,5.73,1e-06,1e-06,OAK,OAK,0.0,3.0,0.3,0.299,0.3,0.299
ARI202403290,2024-03-29,ARI,COL,2,0,4.03,4.98,1e-06,1e-06,ARI,ARI,2.0,0.0,0.347,0.276,0.347,0.276
HOU202403290,2024-03-29,HOU,NYA,1,0,2.23,2.89,1e-06,1e-06,HOU,HOU,1.0,0.0,0.326,0.33,0.326,0.33
ARI202403300,2024-03-30,ARI,COL,2,0,7.04,5.72,1e-06,1e-06,ARI,ARI,2.0,0.0,0.347,0.276,0.347,0.276
MIA202403300,2024-03-30,MIA,PIT,0,0,3.63,4.14,1e-06,1e-06,MIA,MIA,0.0,0.0,0.308,0.297,0.308,0.297
BAL202403300,2024-03-30,BAL,ANA,2,0,3.86,5.19,1e-06,1e-06,BAL,BAL,2.0,0.0,0.313,0.301,0.313,0.301
TEX202403300,2024-03-30,TEX,CHN,0,0,3.54,5.92,1e-06,1e-06,TEX,TEX,0.0,0.0,0.31,0.331,0.31,0.331
CIN202403300,2024-03-30,CIN,WAS,0,0,3.99,4.44,1e-06,1e-06,CIN,CIN,0.0,0.0,0.311,0.308,0.311,0.308
NYN202403300,2024-03-30,NYN,MIL,0,3,3.91,2.98,1e-06,1e-06,NYN,NYN,0.0,3.0,0.325,0.333,0.325,0.333
TBA202403300,2024-03-30,TBA,TOR,0,0,3.63,4.05,1e-06,1e-06,TBA,TBA,0.0,0.0,0.303,0.313,0.303,0.313
KCA202403300,2024-03-30,KCA,MIN,0,0,,2.03,1e-06,1e-06,KCA,KCA,0.0,0.0,0.319,0.303,0.319,0.303
SEA202403300,2024-03-30,SEA,BOS,1,0,3.49,5.93,1e-06,1e-06,SEA,SEA,0.0,0.0,0.307,0.317,0.307,0.317
SDN202403300,2024-03-30,SDN,SFN,0,0,3.47,4.1,1e-06,1e-06,SDN,SDN,0.0,3.0,0.315,0.304,0.315,0.304
LAN202403300,2024-03-30,LAN,SLN,0,0,1.35,2.04,1e-06,1e-06,LAN,LAN,1.0,0.0,0.33,0.309,0.33,0.309
PHI202403300,2024-03-30,PHI,ATL,3,2,3.57,3.13,1e-06,1e-06,PHI,PHI,3.0,2.0,0.33,0.304,0.33,0.304
OAK202403300,2024-03-30,OAK,CLE,0,0,4.38,3.75,1e-06,1e-06,OAK,OAK,0.0,3.0,0.3,0.299,0.3,0.299
HOU202403300,2024-03-30,HOU,NYA,0,0,3.1,4.31,1e-06,1e-06,HOU,HOU,1.0,0.0,0.326,0.33,0.326,0.33
CHA202403300,2024-03-30,CHA,DET,2,3,7.07,4.53,1e-06,1e-06,CHA,CHA,2.0,3.0,0.283,0.299,0.283,0.299
KCA202403310,2024-03-31,KCA,MIN,3,0,3.71,3.98,1e-06,1e-06,KCA,KCA,0.0,0.0,0.319,0.303,0.319,0.303
OAK202403310,2024-03-31,OAK,CLE,2,0,4.91,4.25,1e-06,1e-06,OAK,OAK,0.0,1.5,0.3,0.299,0.3,0.299
BAL202403310,2024-03-31,BAL,ANA,0,2,5.87,6.7,1e-06,1e-06,BAL,BAL,2.0,0.0,0.313,0.301,0.313,0.301
HOU202403310,2024-03-31,HOU,NYA,0,0,3.8,1.86,1e-06,1e-06,HOU,HOU,0.5,0.0,0.326,0.33,0.326,0.33
TBA202403310,2024-03-31,TBA,TOR,1,2,4.86,7.23,1e-06,1e-06,TBA,TBA,0.0,0.0,0.303,0.313,0.303,0.313
CHA202403310,2024-03-31,CHA,DET,0,0,5.71,2.19,1e-06,1e-06,CHA,CHA,2.0,3.0,0.283,0.299,0.283,0.299
SEA202403310,2024-03-31,SEA,BOS,0,0,2.94,1.96,1e-06,1e-06,SEA,SEA,0.5,0.0,0.307,0.317,0.307,0.317
TEX202403310,2024-03-31,TEX,CHN,0,3,4.32,4.1,1e-06,1e-06,TEX,TEX,0.0,0.0,0.31,0.331,0.31,0.331
LAN202403310,2024-03-31,LAN,SLN,0,0,2.57,2.85,1e-06,1e-06,LAN,LAN,0.6666666666666666,0.0,0.33,0.309,0.33,0.309
PHI202403310,2024-03-31,PHI,ATL,1,2,1.87,3.58,1e-06,1e-06,PHI,PHI,3.0,2.0,0.33,0.304,0.33,0.304
ARI202403310,2024-03-31,ARI,COL,3,0,4.71,4.49,1e-06,1e-06,ARI,ARI,2.0,0.0,0.347,0.276,0.347,0.276
CIN202403310,2024-03-31,CIN,WAS,0,0,4.38,3.68,1e-06,1e-06,CIN,CIN,0.0,0.0,0.311,0.308,0.311,0.308
NYN202403310,2024-03-31,NYN,MIL,0,1,4.04,4.29,1e-06,1e-06,NYN,NYN,0.0,3.0,0.325,0.333,0.325,0.333
MIA202403310,2024-03-31,MIA,PIT,5,0,1.75,5.77,1e-06,1e-06,MIA,MIA,0.0,0.0,0.308,0.297,0.308,0.297
SDN202403310,2024-03-31,SDN,SFN,6,0,3.81,9.82,1e-06,1e-06,SDN,SDN,0.0,1.5,0.315,0.304,0.315,0.304
SEA202404010,2024-04-01,SEA,CLE,0,0,4.75,5.11,1e-06,1089.6592015072615,SEA,OAK,0.3333333333333333,1.0,0.307,0.299,0.307,0.299
SDN202404010,2024-04-01,SDN,SLN,0,3,4.91,4.24,1e-06,179.52869961196944,SDN,LAN,2.0,0.0,0.315,0.309,0.315,0.309
TBA202404010,2024-04-01,TBA,TEX,0,3,3.6,5.31,1e-06,1496.616116420437,TBA,TEX,0.3333333333333333,3.0,0.303,0.301,0.303,0.301
CHN202404010,2024-04-01,CHN,COL,0,0,2.91,6.17,1309.650558347085,2336.6124175783,TEX,ARI,0.0,0.0,0.302,0.276,0.302,0.276
PHI202404010,2024-04-01,PHI,CIN,2,0,24.0,3.99,1e-06,807.0437326700402,PHI,CIN,2.0,0.0,0.33,0.298,0.33,0.298
WAS202404010,2024-04-01,WAS,PIT,0,0,4.22,4.35,647.9323389925676,1489.628641346009,CIN,MIA,0.0,0.0,0.309,0.297,0.309,0.297
CHA202404010,2024-04-01,CHA,ATL,0,0,4.95,4.19,1e-06,1068.017024042746,CHA,PHI,1.0,2.0,0.283,0.304,0.283,0.304
NYN202404010,2024-04-01,NYN,DET,0,0,3.63,3.15,1e-06,1144.129935670241,NYN,CHA,0.0,1.5,0.325,0.299,0.325,0.299
OAK202404010,2024-04-01,OAK,BOS,0,1,6.42,3.12,1e-06,1089.6592015072615,OAK,SEA,0.6666666666666666,0.0,0.3,0.317,0.3,0.317
MIA202404010,2024-04-01,MIA,ANA,4,0,1.75,7.03,1e-06,1539.1317139517298,MIA,BAL,1.6666666666666667,1.0,0.308,0.301,0.308,0.301
HOU202404010,2024-04-01,HOU,TOR,3,0,2.8,3.3,1e-06,1270.2138325576016,HOU,TBA,0.3333333333333333,0.6666666666666666,0.326,0.313,0.326,0.313
ARI202404010,2024-04-01,ARI,NYA,0,0,4.24,2.89,1e-06,1630.8590123845936,ARI,HOU,2.3333333333333335,0.0,0.347,0.33,0.347,0.33
LAN202404010,2024-04-01,LAN,SFN,1,0,4.4,7.16,1e-06,179.52869961196944,LAN,SDN,0.5,1.0,0.33,0.304,0.33,0.304
BAL202404010,2024-04-01,BAL,KCA,0,0,5.33,4.04,1e-06,1545.5901214265937,BAL,KCA,1.0,0.0,0.313,0.293,0.313,0.293
ARI202404020,2024-04-02,ARI,NYA,3,0,3.65,3.77,1e-06,1e-06,ARI,ARI,1.75,0.0,0.347,0.33,0.347,0.33
OAK202404020,2024-04-02,OAK,BOS,0,1,4.58,4.14,1e-06,1e-06,OAK,OAK,0.5,0.25,0.3,0.317,0.3,0.317
CHN202404020,2024-04-02,CHN,COL,2,0,3.73,5.24,1e-06,1e-06,CHN,CHN,0.0,0.0,0.302,0.276,0.302,0.276
LAN202404020,2024-04-02,LAN,SFN,1,0,3.19,3.47,1e-06,1e-06,LAN,LAN,0.6,0.75,0.33,0.304,0.33,0.304
PHI202404020,2024-04-02,PHI,CIN,1,0,2.65,5.24,1e-06,1e-06,PHI,PHI,2.0,0.0,0.33,0.298,0.33,0.298
CHA202404020,2024-04-02,CHA,ATL,0,0,3.58,2.62,1e-06,1e-06,CHA,CHA,0.6666666666666666,1.3333333333333333,0.283,0.304,0.283,0.304
MIA202404020,2024-04-02,MIA,ANA,0,0,5.0,3.81,1e-06,1e-06,MIA,MIA,2.25,0.6666666666666666,0.308,0.301,0.308,0.301
MIL202404020,2024-04-02,MIL,MIN,0,0,2.98,7.61,1181.7674036325852,707.8851314063497,NYN,KCA,0.0,0.0,0.317,0.303,0.317,0.303
SEA202404020,2024-04-02,SEA,CLE,0,0,3.64,0.0,1e-06,1e-06,SEA,SEA,0.25,0.75,0.307,0.299,0.307,0.299
TBA202404020,2024-04-02,TBA,TEX,0,0,3.59,4.28,1e-06,1e-06,TBA,TBA,0.25,3.0,0.303,0.301,0.303,0.301
HOU202404020,2024-04-02,HOU,TOR,0,0,3.8,3.21,1e-06,1e-06,HOU,HOU,1.0,0.5,0.326,0.313,0.326,0.313
BAL202404020,2024-04-02,BAL,KCA,0,0,5.11,4.53,1e-06,1e-06,BAL,BAL,0.6666666666666666,0.0,0.313,0.293,0.313,0.293
SDN202404020,2024-04-02,SDN,SLN,0,0,3.31,5.35,1e-06,1e-06,SDN,SDN,1.5,0.75,0.315,0.309,0.315,0.309
TBA202404030,2024-04-03,TBA,TEX,0,0,4.36,3.8,1e-06,1e-06,TBA,TBA,0.2,1.5,0.303,0.301,0.303,0.301
HOU202404030,2024-04-03,HOU,TOR,0,0,3.89,4.16,1e-06,1e-06,HOU,HOU,0.8,0.4,0.326,0.313,0.326,0.313
PHI202404030,2024-04-03,PHI,CIN,0,0,2.57,4.84,1e-06,1e-06,PHI,PHI,1.75,0.0,0.33,0.298,0.33,0.298
SDN202404030,2024-04-03,SDN,SLN,1,0,3.88,9.53,1e-06,1e-06,SDN,SDN,1.2,0.6,0.315,0.309,0.315,0.309
SEA202404030,2024-04-03,SEA,CLE,0,3,3.53,5.73,1e-06,1e-06,SEA,SEA,0.2,0.6,0.307,0.299,0.307,0.299
MIA202404030,2024-04-03,MIA,ANA,0,2,3.15,5.08,1e-06,1e-06,MIA,MIA,1.8,0.5,0.308,0.301,0.308,0.301
WAS202404030,2024-04-03,WAS,PIT,0,0,2.03,4.25,1e-06,1e-06,WAS,WAS,0.0,0.0,0.309,0.297,0.309,0.297
OAK202404030,2024-04-03,OAK,BOS,0,0,6.01,4.14,1e-06,1e-06,OAK,OAK,0.4,0.4,0.3,0.317,0.3,0.317
MIL202404030,2024-04-03,MIL,MIN,0,0,3.05,2.25,1e-06,1e-06,MIL,MIL,0.0,0.0,0.317,0.303,0.317,0.303
ARI202404030,2024-04-03,ARI,NYA,0,0,7.44,3.14,1e-06,1e-06,ARI,ARI,2.0,0.0,0.347,0.33,0.347,0.33
CHN202404030,2024-04-03,CHN,COL,0,0,4.67,5.93,1e-06,1e-06,CHN,CHN,1.0,0.0,0.302,0.276,0.302,0.276
BAL202404030,2024-04-03,BAL,KCA,0,1,3.15,,1e-06,1e-06,BAL,BAL,0.5,0.0,0.313,0.293,0.313,0.293
LAN202404030,2024-04-03,LAN,SFN,0,0,3.49,4.56,1e-06,1e-06,LAN,LAN,0.6666666666666666,0.6,0.33,0.304,0.33,0.304
KCA202404040,2024-04-04,KCA,CHA,0,0,3.0,4.74,1545.5901214265937,663.9206411727051,BAL,CHA,1.5,0.0,0.319,0.273,0.319,0.273
WAS202404040,2024-04-04,WAS,PIT,0,4,14.04,4.53,1e-06,1e-06,WAS,WAS,0.0,0.0,0.309,0.297,0.309,0.297
SLN202404040,2024-04-04,SLN,MIA,0,0,6.53,6.06,2512.7882729547905,1707.3616110149374,SDN,MIA,0.0,0.0,0.315,0.292,0.315,0.292
NYN202404042,2024-04-04,NYN,DET,0,0,3.77,3.61,1e-06,1e-06,NYN,NYN,0.0,1.0,0.325,0.299,0.325,0.299
NYN202404041,2024-04-04,NYN,DET,0,0,3.63,4.53,1e-06,1e-06,NYN,NYN,0.0,0.75,0.325,0.299,0.325,0.299
MIN202404040,2024-04-04,MIN,CLE,0,0,4.08,3.47,476.3851219130703,2238.4089622775527,MIL,SEA,0.0,1.0,0.328,0.299,0.328,0.299
WAS202404050,2024-04-05,WAS,PHI,0,0,5.62,3.57,1e-06,197.2342958595587,WAS,PHI,0.0,0.0,0.309,0.319,0.309,0.319
CHN202404050,2024-04-05,CHN,LAN,0,2,3.84,8.52,1e-06,2804.824680217871,CHN,LAN,0.6666666666666666,2.0,0.302,0.339,0.302,0.339
