feature,importance
home_recent_form,0.23152405
home_avg_prev,0.09045751
hometeam_LAN,0.020923395
vis_era,0.01965933
hometeam_SDN,0.019610973
hometeam_NYA,0.019440882
hometeam_ARI,0.019084828
hometeam_BAL,0.018732702
hometeam_KCA,0.018289909
tz_dir_same_zone,0.018148169
hometeam_TEX,0.018052058
hometeam_PIT,0.017944286
hometeam_ATL,0.017801385
hometeam_DET,0.017551547
tz_dir_eastbound,0.01739256
hometeam_CIN,0.017334271
hometeam_HOU,0.017155476
vis_travel,0.017121173
hometeam_SFN,0.017021587
hometeam_SEA,0.016861683
visitor_travel_km,0.016709484
away_avg_prev,0.016639654
hometeam_WAS,0.016636733
rest_hours_since_last,0.016602414
hometeam_CLE,0.016375035
away_obp,0.016236251
hometeam_TBA,0.016233468
hometeam_CHN,0.01619537
hometeam_PHI,0.015926637
tz_dir_westbound,0.015888682
hometeam_MIA,0.015852476
hometeam_TOR,0.01575313
home_obp,0.015745962
home_travel,0.01568196
hometeam_CHA,0.015467835
hometeam_MIL,0.0152087435
hometeam_MIN,0.014980323
hometeam_OAK,0.014377232
hometeam_ANA,0.013972638
hometeam_BOS,0.01258384
hometeam_COL,0.012571113
hometeam_SLN,0.012452874
hometeam_NYN,0.011800369
umpire_bias_index,0.0
