season,game_pk,game_date,home_team,away_team,top1_elapsed_seconds,visitor_batters_top1,visitor_pitches_top1,n_empty_top1,n_on_top1,home_starter_id,visiting_starter_id,home_runs_bottom1,home_tempo_be,home_tempo_ro,visiting_starter_tempo_be,visiting_starter_tempo_ro,top1_est_seconds,top1_elapsed_seconds_final
2015,446277,2015-11-01,NYM,KC,366.0,4,13,8,5,518774,450172,1,14.928,14.928,18.151,18.151,194.06400000000002,366.0
2015,446276,2015-10-31,NYM,KC,328.0,3,13,9,4,571927,432934,0,12.195,12.195,14.101,14.101,158.535,328.0
2015,446275,2015-10-30,NYM,KC,561.0,5,20,11,9,592789,570649,2,15.287,15.287,14.633,14.633,305.74,561.0
2015,446274,2015-10-28,KC,NYM,237.0,3,10,10,0,456501,594798,0,14.279,14.279,15.249,15.249,142.79,237.0
2015,446273,2015-10-27,KC,NYM,281.0,3,11,11,0,450172,518774,1,18.151,18.151,14.928,14.928,199.661,281.0
2015,446269,2015-10-23,KC,TOR,261.0,4,9,3,6,570649,456034,1,14.633,14.633,18.924,18.924,131.697,261.0
2015,446267,2015-10-21,CHC,NYM,1222.0,9,38,14,24,434628,571927,0,15.373,15.373,12.195,12.195,584.174,1222.0
2015,446266,2015-10-21,TOR,KC,250.0,3,12,12,0,462136,450172,0,15.354,15.354,18.151,18.151,184.248,250.0
2015,446265,2015-10-20,CHC,NYM,527.0,5,18,3,15,543294,594798,1,14.097,14.097,15.249,15.249,253.74599999999998,527.0
2015,446264,2015-10-20,TOR,KC,715.0,7,22,12,10,285079,432934,0,13.136,13.136,14.101,14.101,288.99199999999996,715.0
2015,446263,2015-10-19,TOR,KC,179.0,4,7,6,1,573186,456501,0,13.875,13.875,14.279,14.279,97.125,179.0
2015,446262,2015-10-18,NYM,CHC,487.0,4,20,15,5,592789,453562,3,15.287,15.287,16.517,16.517,305.74,487.0
2015,446261,2015-10-17,NYM,CHC,182.0,3,9,9,0,518774,452657,1,14.928,14.928,15.949,15.949,134.352,182.0
2015,446260,2015-10-17,KC,TOR,241.0,3,12,12,0,570649,456034,0,14.633,14.633,18.924,18.924,175.596,241.0
2015,446259,2015-10-16,KC,TOR,602.0,4,24,18,6,450172,462136,0,18.151,18.151,15.354,15.354,435.624,602.0
2015,446258,2015-10-15,LAD,NYM,657.0,5,19,4,15,425844,594798,2,17.064,17.064,15.249,15.249,324.216,657.0
2015,446256,2015-10-14,KC,HOU,212.0,3,11,11,0,456501,543521,0,14.279,14.279,13.493,13.493,157.069,212.0
2015,446255,2015-10-14,TOR,TEX,363.0,5,15,4,11,573186,430935,0,13.875,13.875,15.814,15.814,208.125,363.0
2015,446254,2015-10-13,NYM,LAD,192.0,3,10,10,0,571927,477132,0,12.195,12.195,13.302,13.302,121.95,192.0
2015,446253,2015-10-13,CHC,STL,366.0,6,15,12,3,434628,407793,0,15.373,15.373,15.958,15.958,230.595,366.0
2015,446252,2015-10-12,NYM,LAD,309.0,3,14,14,0,518774,474463,0,14.928,14.928,12.96,12.96,208.99200000000002,309.0
2015,446251,2015-10-12,CHC,STL,248.0,3,12,12,0,453562,608379,0,16.517,16.517,13.14,13.14,198.204,248.0
2015,446250,2015-10-12,HOU,KC,462.0,4,15,6,9,621121,570649,0,16.025,16.025,14.633,14.633,240.375,462.0
2015,446249,2015-10-12,TEX,TOR,442.0,6,18,16,2,502706,285079,0,15.59,15.59,13.136,13.136,280.62,442.0
2015,446248,2015-10-11,HOU,KC,284.0,4,9,1,8,572971,450172,0,15.141,15.141,18.151,18.151,136.269,284.0
2015,446247,2015-10-11,TEX,TOR,278.0,3,13,13,0,527048,462136,0,13.752,13.752,15.354,15.354,178.776,278.0
2015,446246,2015-10-10,LAD,NYM,403.0,3,16,14,2,425844,592789,0,17.064,17.064,15.287,15.287,273.024,403.0
2015,446245,2015-10-10,STL,CHC,479.0,4,19,9,10,448802,543294,1,15.728,15.728,14.097,14.097,298.832,479.0
2015,446244,2015-10-09,LAD,NYM,613.0,4,22,13,9,477132,594798,0,13.302,13.302,15.249,15.249,292.644,613.0
2015,446243,2015-10-09,STL,CHC,246.0,3,12,12,0,407793,452657,1,15.958,15.958,15.949,15.949,191.496,246.0
2015,446242,2015-10-09,KC,HOU,529.0,6,21,8,13,456501,431148,0,14.279,14.279,14.88,14.88,299.85900000000004,529.0
2015,446241,2015-10-09,TOR,TEX,693.0,6,25,4,21,573186,430935,1,13.875,13.875,15.814,15.814,346.875,693.0
2015,446240,2015-10-08,KC,HOU,743.0,6,24,2,22,570649,543521,0,14.633,14.633,13.493,13.493,351.192,743.0
2015,446239,2015-10-08,TOR,TEX,449.0,4,17,11,6,456034,451596,0,18.924,18.924,16.116,16.116,321.70799999999997,449.0
2015,446238,2015-10-07,PIT,CHC,568.0,5,22,10,12,543037,453562,0,14.302,14.302,16.517,16.517,314.644,568.0
2015,446237,2015-10-06,NYY,HOU,413.0,3,17,17,0,547888,572971,0,17.55,17.55,15.141,15.141,298.35,413.0
2015,416079,2015-10-04,NYM,WSH,253.0,3,14,14,0,594798,543699,0,15.249,15.249,14.588,14.588,213.48600000000002,253.0
2015,416078,2015-10-04,TB,TOR,444.0,4,16,2,14,519043,279824,9,15.183,15.183,12.324,12.324,242.928,444.0
2015,416077,2015-10-04,ATL,STL,221.0,3,12,12,0,571946,407793,2,15.181,15.181,15.958,15.958,182.172,221.0
