game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,htbf,gametype,umplf,umprf
CIN191804160,"""version 7RS(19) of 07/07/92""",PIT,CIN,1918/04/16,CIN07,0,0:00PM,day,false,"""139""","""Cliff Blau""","""Cliff Blau""",2000/12/23 9:57PM,odayh101,byrol901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,80,20000,schnp101,coopw101,,,,,,
CIN191804170,"""version 7RS(19) of 07/07/92""",PIT,CIN,1918/04/17,CIN07,0,0:00PM,day,false,"""139""","""Cliff Blau""","""Cliff Blau""",2000/12/24 3:54PM,byrol901,odayh101,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,127,1500,hamie101,regam101,,,,,,
CIN191804180,"""version 7RS(19) of 07/07/92""",PIT,CIN,1918/04/18,CIN07,0,0:00PM,day,false,"""139""","""Cliff Blau""","""Cliff Blau""",2000/12/24 10:43AM,odayh101,byrol901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,128,1800,conls101,harmb101,,,,,,
CIN191804210,"""version 7RS(19) of 07/07/92""",CHN,CIN,1918/04/21,CIN07,0,0:00PM,day,false,"""487""","""Cliff Blau""","""Cliff Blau""",2015/04/24 7:51PM,quige901,harrp901,(none),(none),park,none,0,unknown,-1,unknown,rain,unknown,110,2000,alexg102,ruetd101,,,,,,
CIN191804220,"""version 7RS(19) of 07/07/92""",CHN,CIN,1918/04/22,CIN07,0,0:00PM,day,false,"""109,487""","""Cliff Blau/Smith""","""Cliff Blau/Smith""",2008/02/20 1:13PM,harrp901,quige901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,120,2200,elleh101,vaugh101,,,,,,
CIN191804230,"""version 7RS(19) of 07/07/92""",CHN,CIN,1918/04/23,CIN07,0,0:00PM,day,false,TSN Box,,,,quige901,harrp901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,100,500,bresr101,tylel101,,,,,,
CIN191804280,"""version 7RS(19) of 07/07/92""",SLN,CIN,1918/04/28,CIN07,0,0:00PM,day,false,"""487""","""Cliff Blau""","""Cliff Blau""",2015/04/25 9:09AM,odayh101,byrol901,(none),(none),park,none,0,unknown,-1,unknown,unknown,cloudy,136,4500,sherb101,schnp101,,,,,,
CIN191804300,"""version 7RS(19) of 07/07/92""",SLN,CIN,1918/04/30,CIN07,0,0:00PM,day,false,"""487""","""Cliff Blau""","""Cliff Blau""",2015/04/25 1:24PM,byrol901,odayh101,(none),(none),park,none,0,unknown,-1,unknown,unknown,cloudy,93,1500,bresr101,packg101,,,,,,
CIN191805010,"""version 7RS(19) of 07/07/92""",SLN,CIN,1918/05/01,CIN07,0,0:00PM,day,false,"""487""","""Cliff Blau""","""Cliff Blau""",2015/04/25 8:02PM,byrol901,odayh101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,124,1000,may-j102,elleh101,,,,,,
CIN191805051,"""version 7RS(19) of 07/07/92""",PIT,CIN,1918/05/05,CIN07,1,0:00PM,day,false,"""139""","""Cliff Blau""","""Cliff Blau""",2000/12/29 8:36PM,odayh101,byrol901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,97,0,tonef101,jacoe101,,,,,,
CIN191805052,"""version 7RS(19) of 07/07/92""",PIT,CIN,1918/05/05,CIN07,2,0:00PM,day,false,"""139""","""Cliff Blau""","""Cliff Blau""",2000/12/30 8:52AM,byrol901,odayh101,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,137,12000,harmb101,schnp101,steeb103,,,,,
