mlbam_pitcher_id,player_name,tempo_be_sec,tempo_ro_sec
608718,"Suter, Brent",11.118,11.118
489119,"Miley, Wade",11.261,11.261
694738,"Roupp, Landen",11.285,11.285
671106,"Allen, Logan",11.516,11.516
681867,"Criswell, Cooper",11.633,11.633
656605,"Keller, Mitch",12.125,12.125
571927,"Matz, Steven",12.195,12.195
596001,"Junis, Jakob",12.245,12.245
663546,"Hjelle, Sean",12.31,12.31
279824,"Buehrle, Mark",12.324,12.324
595307,"Maness, Seth",12.382,12.382
448179,"Hill, Rich",12.518,12.518
660813,"Graterol, Brusdar",12.583,12.583
571945,"Mikolas, Miles",12.601,12.601
676596,"Fleming, Josh",12.603,12.603
592836,"Walker, Taijuan",12.675,12.675
693821,"Elder, Bryce",12.681,12.681
621389,"Blach, Ty",12.715,12.715
663687,"Harris, Hogan",12.735,12.735
669674,"Long, Sam",12.758,12.758
674370,"Bido, Osvaldo",12.761,12.761
686973,"Varland, Louis",12.763,12.763
682990,"Priester, Quinn",12.764,12.764
543045,"Conley, Adam",12.779,12.779
615698,"Quantrill, Cal",12.78,12.78
690986,"Harrison, Kyle",12.793,12.793
641745,"Keller, Brad",12.822,12.822
594835,"Gonzales, Marco",12.837,12.837
502208,"Walters, P.J.",12.887,12.887
593372,"Martinez, Carlos",12.913,12.913
607755,"Vasquez, Andrew",12.92,12.92
657277,"Webb, Logan",12.921,12.921
669373,"Skubal, Tarik",12.926,12.926
622491,"Castillo, Luis",12.93,12.93
594902,"Lively, Ben",12.955,12.955
502624,"Anderson, Chase",12.958,12.958
641540,"Dunning, Dane",12.96,12.96
474463,"Anderson, Brett",12.96,12.96
628452,"Iglesias, Raisel",12.982,12.982
669084,"Hall, DL",12.998,12.998
694363,"Shuster, Jared",13.031,13.031
641482,"Cortes, Nestor",13.035,13.035
622072,"Wood, Alex",13.04,13.04
663903,"Singer, Brady",13.041,13.041
663738,"Lynch IV, Daniel",13.053,13.053
665621,"García, Rony",13.068,13.068
642048,"Saucedo, Tayler",13.098,13.098
682847,"Ortiz, Luis L.",13.126,13.126
285079,"Dickey, R.A.",13.136,13.136
571510,"Boyd, Matthew",13.137,13.137
608379,"Wacha, Michael",13.14,13.14
669854,"Blanco, Ronel",13.143,13.143
450729,"Fister, Doug",13.146,13.146
669432,"Rogers, Trevor",13.147,13.147
607625,"Lugo, Seth",13.153,13.153
445926,"Chavez, Jesse",13.18,13.18
661527,"Martinez, Seth",13.209,13.209
592866,"Williams, Trevor",13.227,13.227
593958,"Rodriguez, Eduardo",13.245,13.245
677960,"Weathers, Ryan",13.27,13.27
445590,"Stults, Eric",13.299,13.299
477132,"Kershaw, Clayton",13.302,13.302
669211,"Akin, Keegan",13.315,13.315
666200,"Luzardo, Jesús",13.323,13.323
543475,"Lyles, Jordan",13.339,13.339
681676,"Fernandez, Ryan",13.364,13.364
694813,"Stone, Gavin",13.371,13.371
