game_id,visteam,hometeam,date,visitor_final,home_final
ANA201304090,OAK,ANA,2013/04/09,0,0
ANA201304100,OAK,ANA,2013/04/10,0,0
ANA201304110,OAK,ANA,2013/04/11,2,0
ANA201304120,HOU,ANA,2013/04/12,0,0
ANA201304130,HOU,ANA,2013/04/13,0,2
ANA201304140,HOU,ANA,2013/04/14,0,2
ANA201304190,DET,ANA,2013/04/19,1,5
ANA201304200,DET,ANA,2013/04/20,0,1
ANA201304210,DET,ANA,2013/04/21,0,1
ANA201304220,TEX,ANA,2013/04/22,1,0
ANA201304230,TEX,ANA,2013/04/23,0,1
ANA201304240,TEX,ANA,2013/04/24,0,0
ANA201305020,BAL,ANA,2013/05/02,2,1
ANA201305030,BAL,ANA,2013/05/03,0,0
ANA201305040,BAL,ANA,2013/05/04,1,0
ANA201305050,BAL,ANA,2013/05/05,0,0
ANA201305130,KCA,ANA,2013/05/13,0,0
ANA201305140,KCA,ANA,2013/05/14,0,1
ANA201305150,KCA,ANA,2013/05/15,0,0
ANA201305160,CHA,ANA,2013/05/16,0,0
ANA201305170,CHA,ANA,2013/05/17,1,0
ANA201305180,CHA,ANA,2013/05/18,0,2
ANA201305190,CHA,ANA,2013/05/19,1,2
ANA201305210,SEA,ANA,2013/05/21,0,1
ANA201305220,SEA,ANA,2013/05/22,0,0
ANA201305290,LAN,ANA,2013/05/29,2,0
ANA201305300,LAN,ANA,2013/05/30,0,0
ANA201305310,HOU,ANA,2013/05/31,0,0
ANA201306010,HOU,ANA,2013/06/01,0,0
ANA201306020,HOU,ANA,2013/06/02,2,2
ANA201306030,HOU,ANA,2013/06/03,0,0
ANA201306040,CHN,ANA,2013/06/04,0,2
ANA201306050,CHN,ANA,2013/06/05,3,1
ANA201306140,NYA,ANA,2013/06/14,0,1
ANA201306150,NYA,ANA,2013/06/15,0,1
ANA201306160,NYA,ANA,2013/06/16,0,5
ANA201306170,SEA,ANA,2013/06/17,0,0
ANA201306180,SEA,ANA,2013/06/18,1,0
ANA201306190,SEA,ANA,2013/06/19,0,0
ANA201306200,SEA,ANA,2013/06/20,0,2
ANA201306210,PIT,ANA,2013/06/21,1,0
ANA201306220,PIT,ANA,2013/06/22,0,0
ANA201306230,PIT,ANA,2013/06/23,4,3
