home_team,fringe_side,first_inning,home_edge_delta
ATL,bottom,0,-0.06764208491110724
ATL,bottom,1,-0.05355001309308233
ATL,left,0,0.0022861502731131855
ATL,left,1,0.038327041162761644
ATL,right,0,-0.03453911367938134
ATL,right,1,0.0920560743196931
ATL,top,0,-0.08282504544212288
ATL,top,1,-0.0033278045684904667
AZ,bottom,0,0.007318980007306686
AZ,bottom,1,-0.003757007937253809
AZ,left,0,-0.03018393351982096
AZ,left,1,-0.0734728204477837
AZ,right,0,0.0017910464683288385
AZ,right,1,0.05444801824714818
AZ,top,0,-0.027281689519856434
AZ,top,1,-0.08793827981140323
BAL,bottom,0,0.053034482053877174
BAL,bottom,1,0.06211290625059751
BAL,left,0,0.014360491182028423
BAL,left,1,-0.11407838514639224
BAL,right,0,0.009940174453290651
BAL,right,1,0.0465992046661059
BAL,top,0,0.025158480614573486
BAL,top,1,-0.09538892699762141
BOS,bottom,0,0.015217446147118174
BOS,bottom,1,-0.28882813751934394
BOS,left,0,0.028085616859549467
BOS,left,1,0.04745668269401121
BOS,right,0,-0.04964681450819164
BOS,right,1,-0.06447006284013601
BOS,top,0,0.014036363340607427
BOS,top,1,-0.04658740298083186
CHC,bottom,0,-0.007161218459347085
CHC,bottom,1,-0.048659980588357965
CHC,left,0,-0.0014277651835968852
CHC,left,1,0.03697470055249524
CHC,right,0,-0.08024654303159034
CHC,right,1,-0.02388696528876655
CHC,top,0,0.03842557287862958
CHC,top,1,-0.17751978500571985
CIN,bottom,0,-0.011037891302996261
CIN,bottom,1,-0.009066434258318934
CIN,left,0,0.0331005024741412
CIN,left,1,0.09149878537434969
CIN,right,0,-0.023143805255525063
CIN,right,1,-0.06007448132402915
CIN,top,0,0.033099791352308894
CIN,top,1,0.08475503408069318
CLE,bottom,0,-0.015231703787629058
CLE,bottom,1,-0.1347509333288684
CLE,left,0,-0.045498833203597266
CLE,left,1,0.12057737575109151
CLE,right,0,-0.0027492285355915635
CLE,right,1,-0.07086561230260152
CLE,top,0,0.01521472961415915
CLE,top,1,0.05352930014363788
COL,bottom,0,0.11282315167847046
COL,bottom,1,-0.058104673541249985
COL,left,0,-0.0171755880586274
COL,left,1,-0.14318497971736266
COL,right,0,0.09077478581359466
COL,right,1,0.06099303285191604
COL,top,0,-0.03761021818856858
COL,top,1,-0.06967349520779031
CWS,bottom,0,0.0398408389818351
CWS,bottom,1,-0.015704642414720305
CWS,left,0,0.05169979984500006
CWS,left,1,-0.09444705734969094
CWS,right,0,-0.0422152015928523
CWS,right,1,0.07563046425919417
CWS,top,0,0.07117891861825532
CWS,top,1,0.1205883169818982
DET,bottom,0,0.00025087534783518883
DET,bottom,1,0.09362656814669912
DET,left,0,-0.01598088068982273
DET,left,1,-0.1293221038154566
DET,right,0,-0.0005319142443167557
DET,right,1,0.06867801079960123
DET,top,0,0.08849512661048231
DET,top,1,0.04949458505239668
HOU,bottom,0,-0.0717875339828078
HOU,bottom,1,-0.021256225697210918
HOU,left,0,0.053521145443426066
HOU,left,1,0.23276467723826844
HOU,right,0,0.037151547442635935
HOU,right,1,0.022250819920315912
HOU,top,0,0.04249258570205061
HOU,top,1,0.11960355635666198
KC,bottom,0,0.0733159207896501
KC,bottom,1,-0.13248006262820877
KC,left,0,0.058648135685555935
KC,left,1,0.06662059653016039
KC,right,0,-0.03205690596152955
KC,right,1,-0.1963911284641795
KC,top,0,0.026035882451113768
KC,top,1,0.0833099219794966
LAA,bottom,0,0.004132383117528393
LAA,bottom,1,-0.047777285254315294
LAA,left,0,0.044870586691261316
LAA,left,1,-0.09352193889054194
LAA,right,0,-0.04571605412776081
LAA,right,1,0.019688776080973525
LAA,top,0,0.024357493236653927
LAA,top,1,-0.048206426069499764
LAD,bottom,0,-0.02089782936946183
LAD,bottom,1,-0.05594136045539516
LAD,left,0,-0.029851556705974558
LAD,left,1,0.020507420923147945
LAD,right,0,0.014201193868549233
LAD,right,1,-0.13864404163176242
LAD,top,0,0.030661466380431435
LAD,top,1,0.01989344759791667
MIA,bottom,0,-0.021707132211956415
MIA,bottom,1,-0.022159355164510453
MIA,left,0,-0.018829843764312293
MIA,left,1,0.10613312235365435
MIA,right,0,0.015695403050662082
MIA,right,1,0.09844041791955527
MIA,top,0,0.02309870761706645
MIA,top,1,-0.08168983719261791
MIL,bottom,0,-0.05460110342534086
MIL,bottom,1,0.043066526688961826
MIL,left,0,-0.08360104855234429
MIL,left,1,0.08325175072579949
MIL,right,0,0.03205391007924652
MIL,right,1,-0.18327809912723458
MIL,top,0,-0.00220519328746438
MIL,top,1,-0.1057226257925491
MIN,bottom,0,-0.043064228114392145
MIN,bottom,1,-0.07753506020728784
MIN,left,0,-0.035351758592786164
MIN,left,1,0.17803614198619566
MIN,right,0,-0.03885909584406011
MIN,right,1,-0.09983482035237523
MIN,top,0,-0.08318332118795202
MIN,top,1,0.03521152391608895
NYM,bottom,0,-0.027718399774624536
NYM,bottom,1,0.22249098924075406
NYM,left,0,-0.05133549451933539
NYM,left,1,0.09796730056635122
NYM,right,0,-0.011830349116666028
NYM,right,1,-0.0759308419605434
NYM,top,0,0.0008536581228868467
NYM,top,1,-0.057520649461851425
NYY,bottom,0,-0.08841017978334509
NYY,bottom,1,-0.09100418196801663
NYY,left,0,-0.016809384351329504
NYY,left,1,-0.033084808132384014
NYY,right,0,-0.020749811933300832
NYY,right,1,-0.17323321030851208
NYY,top,0,0.04189433931030284
NYY,top,1,0.12115292703985392
OAK,bottom,0,0.06211591348823409
OAK,bottom,1,-0.03230375388692186
OAK,left,0,0.04460003740882468
OAK,left,1,0.11952441639050826
OAK,right,0,-0.02624056819317977
OAK,right,1,-0.07998267067452441
OAK,top,0,0.05397183887707613
OAK,top,1,0.06864972851901735
PHI,bottom,0,0.010753373412705103
PHI,bottom,1,0.0964254921164594
PHI,left,0,-0.06263611207505693
PHI,left,1,0.14827607297088558
PHI,right,0,-0.0006910063677814104
PHI,right,1,0.029464276782971477
PHI,top,0,0.04390617593358459
PHI,top,1,0.07440060785737851
PIT,bottom,0,-0.12156386347084858
PIT,bottom,1,-0.13753365897079067
PIT,left,0,-0.0022278722459351252
PIT,left,1,-0.024844966080284414
PIT,right,0,-0.06576131779378608
PIT,right,1,0.15566848268607214
PIT,top,0,0.04619285601975531
PIT,top,1,-0.10381218110660784
SD,bottom,0,-0.010757116922378462
SD,bottom,1,-0.05459923404619227
SD,left,0,0.0018170441239415136
SD,left,1,-1.6074964506895828e-05
SD,right,0,-0.04262735217287128
SD,right,1,-0.165428419418034
SD,top,0,-0.10204149207460733
SD,top,1,-0.09080120946004822
SEA,bottom,0,-0.010944366261911476
SEA,bottom,1,-0.09373687357990423
SEA,left,0,0.014659588590411388
SEA,left,1,0.027368722894819564
SEA,right,0,0.013947313942992423
SEA,right,1,0.04280867468727734
SEA,top,0,-0.045897833388328424
SEA,top,1,0.0624415349986836
SF,bottom,0,-0.022255755905541186
SF,bottom,1,0.03139776861777055
SF,left,0,0.04593367296291373
SF,left,1,0.002094841160674099
SF,right,0,-0.05396305888515185
SF,right,1,-0.13338898526229181
SF,top,0,-5.912206589142599e-05
SF,top,1,0.17062502600572305
STL,bottom,0,0.03204089949439892
STL,bottom,1,0.09631177828387427
STL,left,0,0.011785004546702171
STL,left,1,0.0780932321566371
STL,right,0,-0.05923598050295309
STL,right,1,-0.01776026389826163
STL,top,0,-0.0014856435514424282
STL,top,1,0.057167394503364055
TB,bottom,0,-0.005824504896404736
TB,bottom,1,-0.09465878582671977
TB,left,0,0.038241922949593166
TB,left,1,0.037102082822644655
TB,right,0,0.04849443451334312
TB,right,1,0.10294312929553795
TB,top,0,0.0077687059248489065
TB,top,1,-0.09589393924367318
TEX,bottom,0,-0.03805924328334542
TEX,bottom,1,-0.03851859146200087
TEX,left,0,-0.04285524942730834
TEX,left,1,-0.0697140781457366
TEX,right,0,-0.03652995950723281
TEX,right,1,-0.05362958032397458
TEX,top,0,-0.005602159123102912
TEX,top,1,-0.1592874955216046
TOR,bottom,0,-0.08773633064382003
TOR,bottom,1,-0.00590620289828192
TOR,left,0,-0.0937262780559176
TOR,left,1,-0.22557888113980978
TOR,right,0,0.019160960158487228
TOR,right,1,0.10447742603493432
TOR,top,0,0.02277708462872341
TOR,top,1,0.04438543707487097
WSH,bottom,0,0.14064996200395985
WSH,bottom,1,0.11265078608928536
WSH,left,0,0.06312787461912917
WSH,left,1,-0.09017165667833721
WSH,right,0,0.054183720705308525
WSH,right,1,0.027260882321527624
WSH,top,0,0.04697181259479555
WSH,top,1,0.14867895891324967
