2014
SEA, 52458
OAK, 47204
ANA, 46615
ARI, 45000
LAN, 44623
SDN, 41725
SFN, 40780
HOU, 39802
TEX, 36421
FLO, 36092
NYN, 35740
TBA, 33816
BOS, 32881
ATL, 31778
WAS, 31346
PHI, 30218
COL, 30032
KCA, 29886
MIN, 29498
NYA, 29218
CLE, 28474
TOR, 27707
CHA, 27183
DET, 26660
MIL, 25155
BAL, 24202
PIT, 23596
SLN, 23446
CIN, 23061
CHN, 22942
2015
SEA, 43230
OAK, 41799
SFN, 38183
ANA, 37727
TBA, 37474
TEX, 37163
FLO, 36141
HOU, 35571
LAN, 35363
SDN, 33411
ARI, 33358
BOS, 32154
NYN, 30345
COL, 30303
NYA, 29281
TOR, 27400
BAL, 26591
ATL, 26177
WAS, 25738
PIT, 25716
KCA, 25482
MIL, 25134
PHI, 24765
MIN, 24468
CLE, 24091
DET, 23769
CHA, 23436
CIN, 21650
SLN, 21373
CHN, 21255
2016
SEA, 47649
ANA, 44892
OAK, 42071
TEX, 41080
LAN, 40246
SFN, 39295
HOU, 38509
BOS, 37349
SDN, 37319
TBA, 36873
BAL, 36032
NYA, 35480
ARI, 35271
FLO, 35231
COL, 33248
TOR, 32857
ATL, 29260
KCA, 29044
MIN, 28915
PIT, 28738
PHI, 28318
NYN, 26801
CHA, 26507
SLN, 26420
DET, 26019
CLE, 25787
MIL, 25591
CIN, 25079
WAS, 24635
CHN, 24243
2017
OAK, 47785
ANA, 45872
SEA, 43283
FLO, 42402
SFN, 40917
HOU, 40039
SDN, 38028
LAN, 36868
TBA, 36489
PHI, 35687
TEX, 34645
ARI, 33001
BOS, 32845
COL, 32838
NYN, 32252
ATL, 31384
WAS, 31323
TOR, 29333
CLE, 29312
KCA, 29112
CHA, 28478
MIN, 27164
NYA, 26805
DET, 26160
CIN, 24350
BAL, 24107
SLN, 23986
MIL, 23460
CHN, 22878
PIT, 22595
2018
SEA, 40784
OAK, 39906
ANA, 39134
HOU, 39080
SDN, 38740
FLO, 36507
ARI, 36445
LAN, 36298
TEX, 36276
TBA, 35734
SFN, 35394
COL, 32544
BOS, 32540
TOR, 30297
PHI, 29077
ATL, 28887
NYA, 28738
MIN, 28093
BAL, 27856
NYN, 27660
KCA, 26633
CLE, 26553
WAS, 26058
CHN, 25784
CHA, 25254
SLN, 24200
PIT, 23901
DET, 23685
MIL, 22582
CIN, 20717
2019
OAK, 52792
SEA, 50346
ANA, 45875
TBA, 42374
SFN, 41922
SDN, 41391
FLO, 39782
BOS, 39140
TEX, 38328
HOU, 37724
LAN, 37587
NYA, 36782
TOR, 36050
ARI, 35207
ATL, 34311
NYN, 33776
PIT, 31910
KCA, 31602
WAS, 31217
MIN, 30365
COL, 29918
SLN, 29360
CIN, 29270
PHI, 29255
BAL, 29223
CLE, 29168
MIL, 28851
DET, 28476
CHA, 27801
CHN, 27673
2020
TEX, 14707
SEA, 14012
HOU, 13954
OAK, 12458
COL, 11332
TBA, 10866
ANA, 10458
LAN, 10291
ARI, 9110
SFN, 9000
TOR, 8881
FLO, 8799
SDN, 7668
BOS, 7405
ATL, 7297
KCA, 6726
MIN, 5999
PIT, 5693
NYA, 5396
PHI, 5375
WAS, 5326
NYN, 5322
CLE, 5213
CHA, 4750
CIN, 4626
DET, 4285
SLN, 4132
CHN, 4042
MIL, 3962
BAL, 3931
2021
SEA, 47459
OAK, 44805
ANA, 42389
SFN, 42001
FLO, 39878
SDN, 39435
HOU, 38464
TEX, 37757
LAN, 37001
TBA, 36701
ARI, 36359
COL, 34566
BOS, 33529
MIN, 32339
WAS, 31969
ATL, 31878
TOR, 29925
NYA, 29043
NYN, 28667
KCA, 28633
PIT, 28517
PHI, 28313
BAL, 26974
CIN, 26191
CLE, 25702
DET, 25196
CHN, 25070
MIL, 24835
SLN, 24407
CHA, 23822
2022
SEA, 46386
ANA, 44038
OAK, 42918
TEX, 38945
FLO, 38852
SDN, 38460
HOU, 37977
LAN, 36694
ARI, 35924
SFN, 35027
NYN, 34686
TBA, 34320
PHI, 34313
DET, 34104
WAS, 32999
NYA, 32755
MIN, 31759
BOS, 31572
ATL, 30220
CHA, 30135
TOR, 29880
COL, 29708
CLE, 28771
KCA, 28719
MIL, 28557
BAL, 27734
CHN, 26828
SLN, 26772
CIN, 25574
PIT, 25306
2023
OAK, 51527
SEA, 49036
SFN, 46158
SDN, 44208
ANA, 43942
FLO, 41742
LAN, 41698
ARI, 41091
TBA, 39478
HOU, 38791
BOS, 38029
COL, 37920
SLN, 35524
WAS, 34486
TEX, 34373
PHI, 34307
NYA, 34132
BAL, 33483
ATL, 32872
KCA, 32398
CHN, 31805
NYN, 31659
TOR, 31465
PIT, 30263
MIN, 29077
CIN, 27772
CLE, 27681
CHA, 27672
DET, 26606
MIL, 25426
2024
SDN, 51699
LAN, 49141
SEA, 47438
SFN, 45904
OAK, 45034
ANA, 43004
ARI, 41664
NYN, 41623
FLO, 41073
PHI, 38118
HOU, 37859
TEX, 36033
COL, 34250
TBA, 33754
BOS, 33525
MIN, 32910
TOR, 32333
BAL, 32049
ATL, 31867
DET, 31536
NYA, 30731
CHA, 30052
KCA, 30019
MIL, 28818
WAS, 28709
CIN, 27802
CLE, 27763
CHN, 27180
SLN, 26647
PIT, 25389
